chinese_word,english_translation,chinese_sentence,english_sentence
先生,Mr.; sir,王先生是我们的老师,Mr. Wang is our teacher
想,to think; to want,我想去中国旅游,I want to travel to China
向,towards,他向前走了三步,He walked three steps forward
小,small; little,这是一个小房间,This is a small room
小姐,Miss,李小姐在银行工作,Miss Li works at the bank
笑,to laugh; to smile,她听到笑话就笑了,She laughed when she heard the joke
些,some,请给我一些水,Please give me some water
写,to write,我每天写日记,I write in my diary every day
新,new,这是一本新书,This is a new book
星期,week,一个星期有七天,There are seven days in a week
姓,surname,我姓王,My surname is Wang
休息,to rest,让我们休息一会儿,Let's take a rest
学生,student,他是大学学生,He is a university student
学校,school,我的学校在市中心,My school is in the city center
雪,snow,今天下大雪了,It's snowing heavily today
眼睛,eyes,他的眼睛很大很漂亮,His eyes are big and beautiful
羊肉,mutton,这家饭店的羊肉很好吃,The mutton at this restaurant is delicious
要,want; need to,我要去超市买东西,I need to go to the supermarket to buy things
也,also; too,我也喜欢看电影,I like watching movies too
一,one,这本书一百块钱,This book costs one hundred yuan
衣服,clothes,她买了新衣服,She bought new clothes
医生,doctor,这位医生很有经验,This doctor is very experienced
医院,hospital,医院就在前面,The hospital is just ahead
一起,together,我们一起去吃饭吧,Let's go eat together
意思,meaning,这个词的意思是什么？,What's the meaning of this word?
阴,cloudy,今天天气很阴,The weather is cloudy today
在,at; in,他现在在家,He is at home now
游泳,swim,我每周去游泳,I go swimming every week
有,to have; there is,我有一本新书。,I have a new book.
元,yuan; dollar,这本书五十元。,This book costs fifty yuan.
月,month; moon,我们下个月去北京。,We will go to Beijing next month.
再,again; once more,请再说一遍。,Please say it again.
早上,morning,早上好！,Good morning!
怎么,how; why,你怎么学中文？,How do you study Chinese?
丈夫,husband,我丈夫是医生。,My husband is a doctor.
找,to look for,我在找我的钥匙。,I am looking for my keys.
着,in progress,他正在走着。,He is walking.
真,really; truly,这个菜真好吃。,This dish is really delicious.
正在,in the process of,我正在看电视。,I am watching TV.
知道,to know,我知道他的名字。,I know his name.
中国,China,我想去中国旅游。,I want to travel to China.
中午,noon,中午我们一起吃饭。,Let's have lunch together at noon.
住,to live,我住在北京。,I live in Beijing.
桌子,"table, desk",请把书放在桌子上。,Please put the book on the table.
字,"character, word",我儿子正在学写汉字。,My son is learning to write Chinese characters.
走,"to walk, to go",我们一起走去商店吧。,Let's walk to the store together.
最,"most, -est",这是我最喜欢的电影。,This is my favorite movie.
昨天,yesterday,昨天我去看了医生。,I went to see the doctor yesterday.
坐,"to sit, to take (transport)",请坐在这张椅子上。,Please sit on this chair.
做,"to do, to make",我正在做晚饭。,I am making dinner.
