chinese_word,english_translation,chinese_sentence,english_sentence
地址,address,请告诉我你的地址。,Please tell me your address.
第一,first,他是班上第一名。,He is first in the class.
点,point; spot; o'clock,现在是三点钟。,It's three o'clock now.
掉,to fall; to drop,我的手机掉在地上了。,My phone fell on the ground.
冬,winter,北京的冬天很冷。,Winter in Beijing is very cold.
懂,to understand,我完全懂你的意思。,I completely understand what you mean.
都,"all, both",我们都喜欢吃水果,We all like eating fruit
肚子,"stomach, belly",我的肚子有点疼,My stomach hurts a little
短,short,这条裙子太短了,This skirt is too short
段,"section, segment",这段路很难走,This section of road is difficult to walk
断,"to break, cut off",绳子断了,The rope broke
多,"many, much",这里有很多人,There are many people here
多么,"how, what",今天天气多么好啊,What beautiful weather today
多少,"how many, how much",这本书多少钱,How much is this book
朵,classifier for flowers,桌子上有三朵花,There are three flowers on the table
而,"and, but",他很聪明而且勤奋,He is smart and hardworking
而且,"moreover, furthermore",她会说中文而且会说英文,She can speak Chinese and moreover can speak English
儿童,"child, children",这是儿童公园,This is a children's park
儿子,son,我的儿子今年六岁,My son is six years old this year
耳朵,ear,他的耳朵很大,His ears are big
二,two,我有二个兄弟,I have two brothers
法律,law,我们必须遵守法律。,We must obey the law.
方便,convenient,这个地方交通很方便。,Transportation is very convenient in this area.
方法,method,他找到了解决问题的方法。,He found a method to solve the problem.
方面,aspect,在这方面他很有经验。,He has a lot of experience in this aspect.
方向,direction,请告诉我去图书馆的方向。,Please tell me the direction to the library.
放,to put,请把书放在桌子上。,Please put the book on the table.
放弃,to give up,不要轻易放弃你的梦想。,Don't easily give up your dreams.
放暑假,take summer vacation,学生们下周开始放暑假。,Students will start summer vacation next week.
放心,rest assured,你放心，我会帮你的。,"Don't worry, I will help you."
非常,very,这个电影非常有趣。,This movie is very interesting.
分,to divide,老师把学生分成三组。,The teacher divided students into three groups.
份,portion,我要一份炒饭。,I want one portion of fried rice.
丰富,abundant,这里的水果很丰富。,Fruits are abundant here.
符合,conform to,你的申请符合要求。,Your application conforms to the requirements.
富,rich,他是个富商人。,He is a rich businessman.
附近,nearby,我家附近有一家好吃的餐厅。,There is a good restaurant near my house.
复印,to photocopy,请帮我复印这份文件。,Please help me photocopy this document.
干杯,cheers,让我们一起干杯吧！,Let's all toast together!
干燥,dry,冬天的时候空气很干燥。,The air is very dry in winter.
敢,to dare,你敢吃这么辣的菜吗？,Do you dare to eat such spicy food?
感冒,to catch a cold,我昨天感冒了，今天没去上班。,"I caught a cold yesterday, so I didn't go to work today."
感情,emotion; feelings,他们之间的感情很好。,They have a good relationship.
干,to do; to work,我今天要干很多事。,I have many things to do today.
高,tall; high,这座大楼很高。,This building is very tall.
高兴,happy,听到这个消息我很高兴。,I'm very happy to hear this news.
哥哥,older brother,我哥哥比我大三岁。,My older brother is three years older than me.
各,each; every,各个同学都要交作业。,Each student needs to submit homework.
个,measure word,桌子上有一个苹果。,There is an apple on the table.
个子,height,他的个子很高。,He is very tall.
跟,with,我想跟你一起去。,I want to go with you.
根据,according to,根据天气预报，明天会下雨。,"According to the weather forecast, it will rain tomorrow."
更,more; even more,今天比昨天更冷。,Today is even colder than yesterday.
公斤,kilogram,这个西瓜有五公斤重。,This watermelon weighs five kilograms.
公里,kilometer,从我家到学校有两公里。,It's two kilometers from my home to school.
公司,company,他在一家大公司工作。,He works at a big company.
公园,park,周末我常去公园散步。,I often go for walks in the park on weekends.
工具,tool,我需要一些工具来修理自行车。,I need some tools to repair the bicycle.
工作,work; job,她找到了一份新工作。,She found a new job.
共同,together; joint,这是我们共同的目标。,This is our shared goal.
狗,dog,他养了一只可爱的小狗。,He has a cute little dog.
够,enough,这些钱够买票吗？,Is this money enough to buy the ticket?
鼓励,encourage,老师总是鼓励学生努力学习。,The teacher always encourages students to study hard.
鼓掌,applaud,演出结束后，观众都鼓掌了。,"After the performance, the audience applauded."
故事,story,妈妈给我讲了一个有趣的故事。,Mom told me an interesting story.
故意,intentionally,他不是故意打破杯子的。,He didn't break the cup intentionally.
挂,to hang,请把外套挂在衣架上。,Please hang the coat on the hanger.
关,to close; to shut,别忘了关门。,Don't forget to close the door.
关系,relationship,他们两个的关系很好。,They have a good relationship.
关心,to care about,妈妈很关心我的健康。,Mom cares a lot about my health.
关于,about; regarding,我想问一个关于考试的问题。,I want to ask a question about the exam.
管理,to manage,他负责管理这个部门。,He is responsible for managing this department.
光,light,房间里的光太暗了。,The light in the room is too dim.
广播,broadcast,早上我常常听广播。,I often listen to the radio in the morning.
广告,advertisement,这是一个新产品的广告。,This is an advertisement for a new product.
逛,to stroll; to shop,周末我喜欢逛商场。,I like to go shopping at the mall on weekends.
国家,country,中国是一个大国家。,China is a big country.
果然,as expected,他果然通过了考试。,"As expected, he passed the exam."
果汁,fruit juice,这杯果汁很好喝。,This fruit juice tastes good.
孩子,child,那个孩子在玩玩具。,That child is playing with toys.
海洋,ocean,海洋里有很多鱼。,There are many fish in the ocean.
害怕,"afraid, scared",小孩子害怕黑暗,Children are afraid of the dark
害羞,shy,她见到陌生人就害羞,She becomes shy when meeting strangers
寒假,winter vacation,寒假我要回家看父母,I'll go home to see my parents during winter vacation
汗,sweat,运动后他满身是汗,He was covered in sweat after exercising
航班,flight,我的航班在下午两点,My flight is at 2 PM
好,good,今天天气很好,The weather is good today
好吃,delicious,这个餐厅的菜很好吃,The food at this restaurant is delicious
好像,seems like,好像要下雨了,It seems like it's going to rain
号,"number, date",今天是三号,Today is the third
喝,to drink,我想喝杯咖啡,I want to drink a cup of coffee
和,and,我和我妈妈去商店,My mother and I go to the store
河,river,这条河很长,This river is very long
合格,qualified,他的考试成绩合格了,His test score met the requirements
合适,suitable,这件衣服很合适你,This piece of clothing suits you well
盒子,box,请把东西放在盒子里,Please put the items in the box
黑,black,他的头发是黑色的。,His hair is black.
黑板,blackboard,老师在黑板上写字。,The teacher is writing on the blackboard.
很,very,这本书很有趣。,This book is very interesting.
猴子,monkey,猴子喜欢吃香蕉。,Monkeys like to eat bananas.
厚,thick,冬天要穿厚衣服。,We need to wear thick clothes in winter.
后悔,regret,我后悔没听妈妈的话。,I regret not listening to my mother.
后来,afterwards; later,后来他成为了一名医生。,Later he became a doctor.
后面,behind,我的书包在椅子后面。,My backpack is behind the chair.
忽然,suddenly,他忽然站了起来。,He suddenly stood up.
互相,each other,我们要互相帮助。,We should help each other.
花,flower,她在花园里种了很多花。,She planted many flowers in the garden.
花园,garden,这个花园很漂亮。,This garden is very beautiful.
画,to draw; painting,她喜欢画画。,She likes to draw.
坏,bad; broken,我的手机坏了。,My phone is broken.
黄,yellow,这朵花是黄色的。,This flower is yellow.
回,to return; to go back,他明天回家看父母。,He will return home tomorrow to see his parents.
回答,to answer; to reply,请回答我的问题。,Please answer my question.
会,can; will; to be able to,我会说中文。,I can speak Chinese.
火,fire,厨房里的火还没关。,The fire in the kitchen hasn't been turned off.
或者,or; perhaps,我们可以去公园或者去电影院。,We can go to the park or the cinema.
机会,opportunity; chance,这是一个很好的机会。,This is a good opportunity.
几乎,almost; nearly,我几乎每天都运动。,I exercise almost every day.
极,extremely,这件事极为重要。,This matter is extremely important.
极其,extremely,今天的天气极其热。,The weather today is extremely hot.
集合,to gather; to assemble,学生们在操场上集合。,The students gathered on the playground.
即使,even if,即使下雨我也要去。,"Even if it rains, I will still go."
几,how many; several,你有几本书？,How many books do you have?
寄,to send; to mail,我要寄一封信给妈妈。,I want to mail a letter to my mother.
既然,since; given that,既然你同意，我们就开始吧。,"Since you agree, let's begin."
家,home; family,我的家在北京。,My home is in Beijing.
家具,furniture,我们需要买新的家具。,We need to buy new furniture.
加班,to work overtime,他今晚要加班。,He needs to work overtime tonight.
加油站,gas station,前面有一个加油站。,There's a gas station ahead.
假,fake,这个包是假的。,This bag is fake.
价格,price,这个价格太贵了。,This price is too expensive.
减肥,to lose weight,她正在努力减肥。,She is trying hard to lose weight.
减少,to reduce,我们要减少垃圾。,We need to reduce waste.
件,item,我买了三件衣服。,I bought three items of clothing.
健康,healthy,保持健康很重要。,Staying healthy is important.
将来,future,将来我想当医生。,"In the future, I want to be a doctor."
降低,to lower,商店降低了商品价格。,The store lowered product prices.
教,to teach,她教我中文。,She teaches me Chinese.
交,to hand over,请把作业交给老师。,Please hand in the homework to the teacher.
交流,to exchange,我们经常交流想法。,We often exchange ideas.
交通,traffic,北京的交通很拥挤。,Beijing's traffic is very congested.
角,corner; angle,我在街角等你。,I'll wait for you at the street corner.
脚,foot; leg,她的脚扭伤了。,She twisted her foot.
叫,to call; to be called,我叫王明。,My name is Wang Ming.
教室,classroom,学生们都在教室里学习。,The students are all studying in the classroom.
教授,professor,这位教授很有名。,This professor is very famous.
教育,education; to educate,教育对每个人都很重要。,Education is important for everyone.
接,to receive; to meet,我去机场接他。,I'll go to the airport to pick him up.
接受,to accept,我接受你的建议。,I accept your suggestion.
街道,street,这条街道很干净。,This street is very clean.
姐姐,older sister,我姐姐比我大三岁。,My older sister is three years older than me.
解决,to solve,我们需要解决这个问题。,We need to solve this problem.
借,to borrow,我想借一本书。,I want to borrow a book.
今天,today,今天天气很好。,The weather is nice today.
尽管,although,尽管下雨，他还是去上学了。,"Although it was raining, he still went to school."
近,near; close,他家离学校很近。,His house is very close to school.
禁止,to prohibit,这里禁止吸烟。,Smoking is prohibited here.
精彩,brilliant/splendid,这个电影很精彩。,This movie is brilliant.
精神,spirit/mental state,他今天的精神很好。,His spirit is good today.
警察,police/police officer,警察在帮助市民。,The police are helping citizens.
竟然,unexpectedly,他竟然没来上课。,He unexpectedly didn't come to class.
究竟,actually/after all,你究竟想要什么？,What do you actually want?
九,nine,我九点上班。,I start work at nine o'clock.
久,long time,我们很久没见了。,We haven't seen each other for a long time.
旧,old,这是我的旧手机。,This is my old phone.
就,right away/just,我就来了。,I'm coming right away.
距离,distance,学校距离这里很近。,The school is a short distance from here.
句子,sentence,这个句子很简单。,This sentence is very simple.
决定,to decide,我决定明天去北京。,I decided to go to Beijing tomorrow.
咖啡,coffee,我每天喝咖啡。,I drink coffee every day.
开,to open/to start,请开门。,Please open the door.
开始,to begin; to start,我们什么时候开始上课？,When do we start class?
开玩笑,to joke; to kid,我只是开玩笑，别当真。,"I was just kidding, don't take it seriously."
看,to look; to watch,我喜欢看电影。,I like watching movies.
看法,opinion; view,你对这个问题有什么看法？,What's your opinion on this issue?
棵,classifier for trees/plants,院子里有三棵大树。,There are three trees in the yard.
科学,science,他很喜欢学习科学。,He really likes studying science.
咳嗽,to cough,他感冒了，一直在咳嗽。,He has a cold and keeps coughing.
渴,thirsty,跑步后我很渴。,I'm very thirsty after running.
可怜,pitiful,那只小猫很可怜。,That little kitten is pitiful.
可能,possible; maybe,明天可能会下雨。,It might rain tomorrow.
可是,but; however,我想去，可是没有时间。,"I want to go, but I don't have time."
可惜,what a pity,可惜我没去那个派对。,It's a pity I didn't go to that party.
可以,can; may,我可以帮你吗？,Can I help you?
刻,quarter hour; to carve,现在是三点一刻。,It's quarter past three.
客人,guest; visitor,今天有客人要来。,We have guests coming today.
肯定,"certainly, definitely",他肯定会来参加派对。,He will definitely come to the party.
空气,air,今天的空气很新鲜。,The air today is very fresh.
恐怕,I'm afraid that,恐怕我明天不能去上课。,I'm afraid I can't go to class tomorrow.
口,mouth,这个家有三口人。,This family has three members.
哭,to cry,小孩子摔倒了就哭了。,The child fell down and cried.
苦,bitter,这个药很苦。,This medicine is very bitter.
快,"fast, quick",他跑得很快。,He runs very fast.
筷子,chopsticks,请给我一双筷子。,Please give me a pair of chopsticks.
困,"sleepy, tired",我现在很困。,I'm very sleepy now.
拉,to pull,他拉开了门。,He pulled open the door.
垃圾桶,trash can,请把垃圾扔进垃圾桶。,Please throw the garbage in the trash can.
辣,spicy,这个菜太辣了。,This dish is too spicy.
来,to come,他明天来北京。,He's coming to Beijing tomorrow.
来不及,"too late, no time",我来不及赶火车了。,I don't have time to catch the train.
来得及,have enough time,我们来得及看电影。,We have enough time to watch the movie.
浪漫,romantic,这家餐厅的气氛很浪漫,The atmosphere in this restaurant is very romantic
老,old; prefix for respect,老师教我们中文,The teacher teaches us Chinese
老虎,tiger,动物园里有一只大老虎,There is a big tiger in the zoo
了,particle indicating completion,我吃了早饭,I ate breakfast
累,tired,工作一天后我很累,I'm very tired after working all day
冷,cold,今天天气很冷,The weather is very cold today
冷静,calm,遇到问题要保持冷静,Stay calm when facing problems
离,away from,公司离我家很近,The company is close to my home
离开,to leave,他明天要离开北京,He will leave Beijing tomorrow
里,inside,钱包在包里,The wallet is inside the bag
理解,to understand,我完全理解你的想法,I completely understand your thoughts
理想,ideal,这是我理想的工作,This is my ideal job
礼貌,polite,他是个很有礼貌的人,He is a very polite person
礼物,gift,我给妈妈买了一个礼物,I bought a gift for my mother
厉害,impressive; severe,你的中文说得真厉害,Your Chinese is really impressive
力气,"strength, physical power",他的力气很大，可以搬动这个箱子。,He is strong and can move this box.
例如,for example,很多水果都含有维生素C，例如橙子和草莓。,"Many fruits contain vitamin C, for example oranges and strawberries."
凉快,"cool, refreshing",夏天晚上比较凉快。,Summer evenings are quite cool.
两,two,我买了两本书。,I bought two books.
亮,bright,这个房间很亮。,This room is very bright.
聊天,to chat,我们经常在网上聊天。,We often chat online.
了解,to understand,我完全了解你的想法。,I completely understand your thoughts.
零,zero,现在是零度。,It's zero degrees now.
另外,"in addition, besides",我要买这本书，另外还要一本词典。,"I want to buy this book, and also a dictionary."
留,"to stay, to keep",请留下你的电话号码。,Please leave your phone number.
留学,to study abroad,他去美国留学了。,He went to study abroad in America.
流泪,"to cry, shed tears",这个电影太感人了，她看着看着就流泪了。,The movie was so touching that she started crying while watching it.
流利,fluent,她说得一口流利的中文。,She speaks fluent Chinese.
流行,popular,这首歌现在很流行。,This song is very popular now.
六,six,我们班有六个学生。,There are six students in our class.
楼,"building, floor",这个商场有五楼。,This shopping mall has five floors.
路,"road, street",这条路通向公园。,This road leads to the park.
乱,"messy, chaotic",我的房间很乱。,My room is very messy.
旅游,"to travel, tourism",我喜欢去中国旅游。,I like traveling in China.
慢,slow,他走路很慢。,He walks very slowly.
忙,busy,我今天很忙。,I am very busy today.
猫,cat,我家有一只黑猫。,I have a black cat at home.
毛巾,towel,请给我一条干净的毛巾。,Please give me a clean towel.
帽子,hat,她戴着一顶红帽子。,She is wearing a red hat.
没,"not have, haven't",我没有时间。,I don't have time.
没关系,"it's okay, no problem",你迟到了？没关系。,You're late? It's okay.
每,"every, each",每天我都喝咖啡。,I drink coffee every day.
妹妹,younger sister,我的妹妹今年十岁。,My younger sister is ten years old this year.
门,door,请关上门。,Please close the door.
梦,dream,我昨晚做了一个梦。,I had a dream last night.
米,rice; meter,我要买两公斤米,I want to buy two kilograms of rice
面包,bread,早餐我喜欢吃面包,I like to eat bread for breakfast
面条,noodles,这家餐馆的面条很好吃,The noodles at this restaurant are delicious
民族,nationality; ethnic group,中国有很多民族,China has many ethnic groups
明白,understand; clear,我完全明白你的意思,I completely understand what you mean
明天,tomorrow,明天我们去公园,We'll go to the park tomorrow
名字,name,请告诉我你的名字,Please tell me your name
目的,purpose; goal,学习的目的是提高自己,The purpose of studying is to improve oneself
拿,to take; to hold,请拿着这本书,Please hold this book
哪,which,你喜欢哪个颜色？,Which color do you like?
哪儿,where,你的手机在哪儿？,Where is your phone?
那,that,我想要那本书,I want that book
那儿,there,你的包在那儿,Your bag is over there
奶奶,grandmother,我的奶奶今年七十岁,My grandmother is seventy years old this year
耐心,patient,老师对学生很耐心,The teacher is very patient with the students
南,south,我家在南边。,My house is in the south.
男人,man,那个男人是我的老师。,That man is my teacher.
呢,particle indicating question,你呢？你去不去？,How about you? Are you going?
内,inside,请把书放在柜子内。,Please put the book inside the cabinet.
内容,content,这本书的内容很有趣。,The content of this book is very interesting.
能,can; be able to,我能说中文。,I can speak Chinese.
能力,ability,他的学习能力很强。,His learning ability is very strong.
你,you (informal),你今天好吗？,How are you today?
年,year,今年是2024年。,This year is 2024.
您,you (polite),您好，请进。,"Hello, please come in."
牛奶,milk,我每天早上喝牛奶。,I drink milk every morning.
弄,to do; to handle,我不知道怎么弄这个。,I don't know how to handle this.
努力,to work hard,他很努力地学习。,He studies very hard.
暖和,warm,今天天气很暖和。,The weather is warm today.
女儿,daughter,我的女儿今年五岁。,My daughter is five years old this year.
女人,woman,那个女人很优雅,That woman is very elegant
偶尔,occasionally,我偶尔去游泳,I occasionally go swimming
爬山,to climb mountains,周末我喜欢和朋友一起爬山,I like climbing mountains with friends on weekends
排列,to arrange,请把书按大小排列,Please arrange the books by size
判断,to judge,他能快速判断情况,He can quickly judge the situation
胖,fat,我最近变胖了,I've gotten fat recently
跑步,to run,每天早上我都去跑步,I go running every morning
陪,to accompany,我陪妈妈去买菜,I accompanied my mother to buy groceries
朋友,friend,他是我最好的朋友,He is my best friend
皮肤,skin,她的皮肤很好,Her skin is very good
啤酒,beer,他喝了一瓶啤酒,He drank a bottle of beer
脾气,temper,这个人脾气很好,This person has a good temper
便宜,cheap,这件衣服很便宜,This piece of clothing is very cheap
票,ticket,我买了两张电影票,I bought two movie tickets
漂亮,beautiful,这朵花很漂亮,This flower is beautiful
苹果,apple,这个苹果很甜。,This apple is very sweet.
瓶子,bottle,请把瓶子放在桌子上。,Please put the bottle on the table.
破,broken,我的手机屏幕破了。,My phone screen is broken.
葡萄,grape,她买了一串新鲜的葡萄。,She bought a bunch of fresh grapes.
普遍,common,这种现象很普遍。,This phenomenon is very common.
七,seven,我有七本书。,I have seven books.
妻子,wife,他的妻子是一名老师。,His wife is a teacher.
其次,secondly,首先要学习，其次要运动。,"First study, secondly exercise."
其他,other,其他同学都来了。,The other students have all arrived.
其中,among,其中有三个是我的朋友。,"Among them, three are my friends."
奇怪,strange,这件事很奇怪。,This matter is very strange.
起床,get up,我每天七点起床。,I get up at 7 o'clock every day.
起来,get up; start,天气开始变冷起来了。,The weather is starting to get cold.
气候,climate,这里的气候很好。,The climate here is very good.
千,thousand,这本书要一千元。,This book costs one thousand yuan.
千万,absolutely must; many,你千万不要忘记带护照。,You absolutely must not forget to bring your passport.
前面,ahead; in front,前面那家店是我最喜欢的餐厅。,That store ahead is my favorite restaurant.
敲,to knock,有人在敲门。,Someone is knocking at the door.
巧克力,chocolate,这个巧克力蛋糕很好吃。,This chocolate cake is delicious.
清楚,clear; distinct,我现在明白得很清楚了。,I understand it very clearly now.
晴,sunny,今天是晴天。,Today is a sunny day.
情况,situation,请告诉我具体情况。,Please tell me the specific situation.
秋,autumn,秋天是我最喜欢的季节。,Autumn is my favorite season.
区别,difference,这两种颜色有很大的区别。,There is a big difference between these two colors.
取,to take; to get,我去银行取钱。,I'm going to the bank to withdraw money.
去,to go,我们一起去公园吧。,Let's go to the park together.
去年,last year,去年我去了北京。,I went to Beijing last year.
全部,all; entire,我把作业全部做完了。,I finished all my homework.
缺点,shortcoming,每个人都有缺点。,Everyone has shortcomings.
缺少,to lack,我们缺少一些重要的信息。,We lack some important information.
却,however,他很累却还在工作,"He is tired, however he's still working"
群,group,一群学生在操场上玩,A group of students are playing on the playground
裙子,skirt,她今天穿了一条新裙子,She wore a new skirt today
然而,however,天气很冷，然而他没穿外套,"It's very cold, however he didn't wear a coat"
然后,then,我先吃饭然后去看电影,I'll eat first then go watch a movie
人,person,房间里有三个人,There are three people in the room
任何,any,任何人都可以参加这个活动,Anyone can participate in this activity
仍然,still,下雨了，他仍然去跑步,"It's raining, but he still went running"
日,day,今日天气很好,The weather is nice today
容易,easy,这道题很容易,This question is very easy
如果,if,如果下雨我就不去了,"If it rains, I won't go"
入口,entrance,商场入口在右边,The mall entrance is on the right
三,three,我有三本书,I have three books
散步,take a walk,我每天晚上都去散步,I take a walk every evening
森林,forest,这片森林很大,This forest is very large
商店,"store, shop",这家商店的东西很便宜。,The items in this store are very cheap.
商量,"to discuss, consult",我们商量一下去哪里吃饭。,Let's discuss where to eat.
上,"on, up",书在桌子上。,The book is on the table.
上班,to go to work,我每天八点上班。,I go to work at 8 o'clock every day.
上网,to use the internet,我喜欢在家上网。,I like to browse the internet at home.
上午,morning,上午我去买菜了。,I went grocery shopping in the morning.
稍微,a little bit,今天稍微冷一点。,It's a little bit cold today.
少,"few, little",我的朋友很少。,I have few friends.
社会,society,我们生活在一个现代社会。,We live in a modern society.
深,deep,这个湖很深。,This lake is very deep.
身体,"body, health",你的身体怎么样？,How is your health?
什么,what,你想吃什么？,What do you want to eat?
甚至,even,他甚至没说再见就走了。,He left without even saying goodbye.
生病,to get sick,我昨天生病了。,I got sick yesterday.
生活,life,我在北京生活了三年。,I have lived in Beijing for three years.
生命,life,生命是很珍贵的。,Life is precious.
生气,angry,别生气，我跟你道歉。,"Don't be angry, I apologize to you."
生日,birthday,今天是我的生日。,Today is my birthday.
声音,sound; voice,你的声音很好听。,Your voice sounds beautiful.
省,to save,我们要省一点钱。,We need to save some money.
