chinese_word,english_translation,chinese_sentence,english_sentence
医生,doctor 位[wèi]名[míng],我有一个医生。,I have a doctor 位[wèi]名[míng].
医院,hospital 家[jiā]座[zuò],这个医院很贵。,This hospital 家[jiā]座[zuò] is expensive.
一起,in the same place together with altogether (in,这个一起很漂亮。,This in the same place together with altogether (in is beautiful.
意思,idea opinion meaning wish desire,我喜欢这个意思。,I like this idea opinion meaning wish desire.
阴,overcast  cloudy shady Yin (the,我有一个阴。,I have a overcast  cloudy shady Yin (the.
在,at  in to exist in the middle of,我有一个在。,I have a at  in to exist in the middle of.
游泳,swim,这个游泳很好。,This swim is good.
有,to have there is there are to exist to be,我有一个有。,I have a to have there is there are to exist to be.
元,Chinese monetary unit dollar primary first the,这个元很贵。,This Chinese monetary unit dollar primary first the is expensive.
月,moon month 輪|[lún],我喜欢这个月。,I like this moon month 輪|[lún].
再,again once more re- second another then (after,这个再很漂亮。,This again once more re- second another then (after is beautiful.
早上,early morning  Good morning!,这个早上很好。,This early morning  Good morning! is good.
怎么,how? what? why?,这个怎么很贵。,This how? what? why? is expensive.
丈夫,husband,这个丈夫很漂亮。,This husband is beautiful.
找,to try to find to look for to call on sb to find to,这个找很好。,This to try to find to look for to call on sb to find to is good.
着,particle attached after verb to indicate action in,这个着很漂亮。,This particle attached after verb to indicate action in is beautiful.
真,really truly indeed real true genuine,这个真很好。,This really truly indeed real true genuine is good.
正在,in the process of,我喜欢这个正在。,I like this in the process of.
知道,to know to be aware of,这个知道很贵。,This to know to be aware of is expensive.
中国,China Middle Kingdom,这个中国很贵。,This China Middle Kingdom is expensive.
中午,noon midday,这个中午很漂亮。,This noon midday is beautiful.
住,to live to dwell to stay to reside to stop,这个住很贵。,This to live to dwell to stay to reside to stop is expensive.
桌子,table desk 套[tào],这个桌子很贵。,This table desk 套[tào] is expensive.
字,letter symbol character word,我有一个字。,I have a letter symbol character word.
走,to walk to go to run to move  to visit,这个走很贵。,This to walk to go to run to move  to visit is expensive.
最,most the most -est,这个最很漂亮。,This most the most -est is beautiful.
昨天,yesterday,我有一个昨天。,I have a yesterday.
坐,to sit to take a seat to take  to,这个坐很贵。,This to sit to take a seat to take  to is expensive.
做,to do to make to produce to write to compose to,这个做很好。,This to do to make to produce to write to compose to is good.
