chinese_word,english_translation,chinese_sentence,english_sentence
到底,finally in the end when all is said and done after,这个到底很漂亮。,This finally in the end when all is said and done after is beautiful.
道歉,to apologize to make an apology,这个道歉很漂亮。,This to apologize to make an apology is beautiful.
得意,proud of oneself pleased with oneself,这个得意很好。,This proud of oneself pleased with oneself is good.
地,-ly structural particle: used before a verb or,这个地很漂亮。,This -ly structural particle: used before a verb or is beautiful.
的,of structural particle: used before a noun linking,这个的很好。,This of structural particle: used before a noun linking is good.
得,structural particle: used after a verb (or adjective as,这个得很好。,This structural particle: used after a verb (or adjective as is good.
得,to have to must ought to to need to,这个得很好。,This to have to must ought to to need to is good.
灯,lamp light lantern,这个灯很漂亮。,This lamp light lantern is beautiful.
等,wait for await,我喜欢这个等。,I like this wait for await.
等,et cetera and so on et al.,我喜欢这个等。,I like this et cetera and so on et al..
低,low beneath to lower  to let droop,我有一个低。,I have a low beneath to lower  to let droop.
底,background bottom base the end of a period of,这个底很好。,This background bottom base the end of a period of is good.
弟弟,younger brother 位[wèi],这个弟弟很好。,This younger brother 位[wèi] is good.
地方,region regional (away from the central,这个地方很好。,This region regional (away from the central is good.
地球,the Earth planet,我有一个地球。,I have a the Earth planet.
地址,address,这个地址很贵。,This address is expensive.
第一,first number one,这个第一很好。,This first number one is good.
点,drop  stain spot speck jot dot stroke,这个点很好。,This drop  stain spot speck jot dot stroke is good.
掉,to fall to drop to lag behind to lose to go,这个掉很漂亮。,This to fall to drop to lag behind to lose to go is beautiful.
冬,winter,这个冬很好。,This winter is good.
懂,to understand to know,这个懂很好。,This to understand to know is good.
都,all both entirely  each even already,我有一个都。,I have a all both entirely  each even already.
肚子,belly abdomen stomach,这个肚子很好。,This belly abdomen stomach is good.
短,short or brief to lack weak point fault,这个短很贵。,This short or brief to lack weak point fault is expensive.
段,paragraph section segment stage,我喜欢这个段。,I like this paragraph section segment stage.
断,to break to snap to cut off to give up or abstain,我喜欢这个断。,I like this to break to snap to cut off to give up or abstain.
多,many much a lot of numerous multi-,这个多很贵。,This many much a lot of numerous multi- is expensive.
多么,how  what,我有一个多么。,I have a how  what.
多少,number amount somewhat,我有一个多少。,I have a number amount somewhat.
朵,flower earlobe fig. item on both sides classifier,我有一个朵。,I have a flower earlobe fig. item on both sides classifier.
而,and as well as and so but  yet,这个而很好。,This and as well as and so but  yet is good.
而且,but also moreover in addition,我喜欢这个而且。,I like this but also moreover in addition.
儿童,child,这个儿童很好。,This child is good.
儿子,son,这个儿子很好。,This son is good.
耳朵,ear 個|个[gè]對|[duì],我有一个耳朵。,I have a ear 個|个[gè]對|[duì].
二,two 2 stupid,这个二很贵。,This two 2 stupid is expensive.
法律,law  套[tào] 個|个[gè],我有一个法律。,I have a law  套[tào] 個|个[gè].
方便,convenient to help out to make things easy for,我有一个方便。,I have a convenient to help out to make things easy for.
方法,method way means,我有一个方法。,I have a method way means.
方面,respect aspect field side,我喜欢这个方面。,I like this respect aspect field side.
方向,direction orientation path to follow CL:個|个,这个方向很漂亮。,This direction orientation path to follow CL:個|个 is beautiful.
放,to release to free to let go to put to place to let,这个放很贵。,This to release to free to let go to put to place to let is expensive.
放弃,to renounce to abandon to give up,我喜欢这个放弃。,I like this to renounce to abandon to give up.
放暑假,take summer vacation,这个放暑假很贵。,This take summer vacation is expensive.
放心,to set one's mind at rest to be at ease to rest,我喜欢这个放心。,I like this to set one's mind at rest to be at ease to rest.
非常,unusual extraordinary extreme very exceptional,我喜欢这个非常。,I like this unusual extraordinary extreme very exceptional.
分,to divide to separate to allocate to distinguish,我有一个分。,I have a to divide to separate to allocate to distinguish.
份,part share portion copy classifier for gifts,这个份很漂亮。,This part share portion copy classifier for gifts is beautiful.
丰富,rich plentiful abundant,我喜欢这个丰富。,I like this rich plentiful abundant.
符合,in keeping with in accordance with tallying with,这个符合很漂亮。,This in keeping with in accordance with tallying with is beautiful.
富,rich surname Fu,这个富很漂亮。,This rich surname Fu is beautiful.
附近,vicinity nearby neighboring next to,我喜欢这个附近。,I like this vicinity nearby neighboring next to.
复印,to photocopy to duplicate a document,这个复印很漂亮。,This to photocopy to duplicate a document is beautiful.
干杯,to drink a toast Cheers!  Here's,我有一个干杯。,I have a to drink a toast Cheers!  Here's.
干燥,to dry  desiccation,这个干燥很好。,This to dry  desiccation is good.
敢,to dare daring  may I venture,我喜欢这个敢。,I like this to dare daring  may I venture.
感冒,to catch cold  cold,我有一个感冒。,I have a to catch cold  cold.
感情,feeling emotion sensation likes and dislikes,这个感情很贵。,This feeling emotion sensation likes and dislikes is expensive.
干,to work to do to manage,我有一个干。,I have a to work to do to manage.
高,high tall above average loud your,我喜欢这个高。,I like this high tall above average loud your.
高兴,happy glad willing  in a cheerful,我喜欢这个高兴。,I like this happy glad willing  in a cheerful.
哥哥,older brother 位[wèi],我喜欢这个哥哥。,I like this older brother 位[wèi].
各,each every,这个各很好。,This each every is good.
个,individual this that size classifier for people or,这个个很贵。,This individual this that size classifier for people or is expensive.
个子,height stature build size,我有一个个子。,I have a height stature build size.
跟,heel to follow closely to go with to marry sb (of,我有一个跟。,I have a heel to follow closely to go with to marry sb (of.
根据,according to based on basis foundation CL:個|,我有一个根据。,I have a according to based on basis foundation CL:個|.
更,to change or replace to experience one of the five,这个更很贵。,This to change or replace to experience one of the five is expensive.
公斤,kilogram,这个公斤很漂亮。,This kilogram is beautiful.
公里,kilometer,这个公里很贵。,This kilometer is expensive.
公司,company company firm corporation,这个公司很贵。,This company company firm corporation is expensive.
公园,public park,这个公园很好。,This public park is good.
工具,tool instrument utensil means (to achieve a goal,我喜欢这个工具。,I like this tool instrument utensil means (to achieve a goal.
工作,job work construction task 份,这个工作很好。,This job work construction task 份 is good.
共同,common joint jointly together collaborative,我有一个共同。,I have a common joint jointly together collaborative.
狗,dog 條|条[tiáo],我有一个狗。,I have a dog 條|条[tiáo].
够,to reach to be enough,我喜欢这个够。,I like this to reach to be enough.
鼓励,to encourage,我有一个鼓励。,I have a to encourage.
鼓掌,to applaud to clap,我喜欢这个鼓掌。,I like this to applaud to clap.
故事,old practice,这个故事很漂亮。,This old practice is beautiful.
故意,deliberately on purpose,这个故意很漂亮。,This deliberately on purpose is beautiful.
挂,to hang or suspend  (of a,这个挂很贵。,This to hang or suspend  (of a is expensive.
关,mountain pass to close to shut to turn off to,我喜欢这个关。,I like this mountain pass to close to shut to turn off to.
关系,relation relationship to concern to affect to have,这个关系很贵。,This relation relationship to concern to affect to have is expensive.
关心,to care for sth caring concerned,我有一个关心。,I have a to care for sth caring concerned.
关于,pertaining to concerning regarding with regards,这个关于很好。,This pertaining to concerning regarding with regards is good.
管理,to supervise to manage to administer,我有一个管理。,I have a to supervise to manage to administer.
光,light ray  bright only merely to use,这个光很漂亮。,This light ray  bright only merely to use is beautiful.
广播,broadcast widely spread,我有一个广播。,I have a broadcast widely spread.
广告,to advertise a commercial advertisement CL:項|,这个广告很贵。,This to advertise a commercial advertisement CL:項| is expensive.
逛,to stroll to visit,这个逛很贵。,This to stroll to visit is expensive.
国家,country nation state,这个国家很漂亮。,This country nation state is beautiful.
果然,really sure enough as expected,我有一个果然。,I have a really sure enough as expected.
果汁,fruit juice,这个果汁很贵。,This fruit juice is expensive.
孩子,child,我喜欢这个孩子。,I like this child.
海洋,ocean,我喜欢这个海洋。,I like this ocean.
害怕,to be afraid to be scared,这个害怕很好。,This to be afraid to be scared is good.
害羞,blush shy,这个害羞很漂亮。,This blush shy is beautiful.
寒假,winter vacation,我有一个寒假。,I have a winter vacation.
汗,perspiration sweat 頭|[tóu]身,这个汗很好。,This perspiration sweat 頭|[tóu]身 is good.
航班,scheduled flight flight number plane scheduled,这个航班很贵。,This scheduled flight flight number plane scheduled is expensive.
好,good well proper good to easy to very so,这个好很漂亮。,This good well proper good to easy to very so is beautiful.
好吃,tasty delicious,这个好吃很贵。,This tasty delicious is expensive.
好像,as if to seem like,这个好像很好。,This as if to seem like is good.
号,day of a month  name of a ship,我有一个号。,I have a day of a month  name of a ship.
喝,to drink to shout  My goodness!,这个喝很好。,This to drink to shout  My goodness! is good.
和,and together with with sum union peace,这个和很贵。,This and together with with sum union peace is expensive.
河,river 道[dào],这个河很好。,This river 道[dào] is good.
合格,qualified meeting a standard eligible,我喜欢这个合格。,I like this qualified meeting a standard eligible.
合适,suitable fitting decent to fit,这个合适很好。,This suitable fitting decent to fit is good.
盒子,case,这个盒子很贵。,This case is expensive.
黑,black dark abbr. for Heilongjiang 黑龍江|黑,这个黑很好。,This black dark abbr. for Heilongjiang 黑龍江|黑 is good.
黑板,blackboard 個|个[gè],这个黑板很漂亮。,This blackboard 個|个[gè] is beautiful.
很,quite very awfully,这个很很贵。,This quite very awfully is expensive.
猴子,monkey,我喜欢这个猴子。,I like this monkey.
厚,thick deep or profound kind generous rich or,我有一个厚。,I have a thick deep or profound kind generous rich or.
后悔,to regret to repent,这个后悔很好。,This to regret to repent is good.
后来,afterwards later,这个后来很贵。,This afterwards later is expensive.
后面,rear back behind later afterwards,这个后面很贵。,This rear back behind later afterwards is expensive.
忽然,suddenly all of a sudden,我有一个忽然。,I have a suddenly all of a sudden.
互相,each other mutually mutual,我喜欢这个互相。,I like this each other mutually mutual.
花,flower blossom fancy pattern 支,我有一个花。,I have a flower blossom fancy pattern 支.
花园,garden 個|个[gè],我有一个花园。,I have a garden 個|个[gè].
画,to draw picture painting 張|[zhāng],这个画很贵。,This to draw picture painting 張|[zhāng] is expensive.
坏,bad spoiled broken to break down,这个坏很贵。,This bad spoiled broken to break down is expensive.
黄,yellow pornographic to fall through,我有一个黄。,I have a yellow pornographic to fall through.
回,to circle to go back to turn around to answer to,我有一个回。,I have a to circle to go back to turn around to answer to.
回答,to reply to answer the answer,我喜欢这个回答。,I like this to reply to answer the answer.
会,can be possible be able to will be likely to be,这个会很好。,This can be possible be able to will be likely to be is good.
火,fire,这个火很漂亮。,This fire is beautiful.
或者,or possibly maybe perhaps,这个或者很贵。,This or possibly maybe perhaps is expensive.
机会,opportunity chance occasion,我喜欢这个机会。,I like this opportunity chance occasion.
几乎,almost nearly practically,我有一个几乎。,I have a almost nearly practically.
极,extremely pole  utmost top,我有一个极。,I have a extremely pole  utmost top.
极其,extremely,我喜欢这个极其。,I like this extremely.
集合,a congregation to gather a set,我有一个集合。,I have a a congregation to gather a set.
即使,even if even though given that,这个即使很好。,This even if even though given that is good.
几,how much how many several a few,这个几很好。,This how much how many several a few is good.
寄,to live  to lodge to mail to send to,这个寄很漂亮。,This to live  to lodge to mail to send to is beautiful.
既然,since as this being the case,这个既然很漂亮。,This since as this being the case is beautiful.
家,home family classifier for families or businesses,这个家很好。,This home family classifier for families or businesses is good.
家具,furniture 套[tào],我喜欢这个家具。,I like this furniture 套[tào].
加班,to work overtime,我有一个加班。,I have a to work overtime.
加油站,gas station,这个加油站很漂亮。,This gas station is beautiful.
假,fake false artificial to borrow if suppose,我有一个假。,I have a fake false artificial to borrow if suppose.
价格,price,这个价格很好。,This price is good.
减肥,to lose weight,我有一个减肥。,I have a to lose weight.
减少,to lessen to decrease to reduce to lower,这个减少很贵。,This to lessen to decrease to reduce to lower is expensive.
件,item component classifier for events things,我喜欢这个件。,I like this item component classifier for events things.
健康,health healthy,这个健康很贵。,This health healthy is expensive.
将来,in the future future the future,我有一个将来。,I have a in the future future the future.
降低,to reduce to lower to bring down,这个降低很好。,This to reduce to lower to bring down is good.
教,to teach,我有一个教。,I have a to teach.
交,to hand over to deliver to pay  to turn,这个交很好。,This to hand over to deliver to pay  to turn is good.
交流,exchange give-and-take to exchange to alternate,这个交流很好。,This exchange give-and-take to exchange to alternate is good.
交通,to be connected traffic communications liaison,这个交通很贵。,This to be connected traffic communications liaison is expensive.
角,angle corner horn horn-shaped unit of money,这个角很漂亮。,This angle corner horn horn-shaped unit of money is beautiful.
脚,foot leg base kick 隻|只[zhī],我有一个脚。,I have a foot leg base kick 隻|只[zhī].
叫,to shout to call to order to ask to be called by,我有一个叫。,I have a to shout to call to order to ask to be called by.
教室,classroom,这个教室很漂亮。,This classroom is beautiful.
教授,professor to instruct to lecture on,这个教授很贵。,This professor to instruct to lecture on is expensive.
教育,to educate to teach education,这个教育很漂亮。,This to educate to teach education is beautiful.
接,to receive to answer  to meet or,这个接很漂亮。,This to receive to answer  to meet or is beautiful.
接受,to accept to receive,这个接受很贵。,This to accept to receive is expensive.
街道,street,我喜欢这个街道。,I like this street.
姐姐,older sister,这个姐姐很贵。,This older sister is expensive.
解决,to settle  to resolve to solve,我有一个解决。,I have a to settle  to resolve to solve.
借,to lend to borrow excuse pretext by means of,我有一个借。,I have a to lend to borrow excuse pretext by means of.
今天,today at the present now,我喜欢这个今天。,I like this today at the present now.
尽管,despite although even though in spite of,这个尽管很贵。,This despite although even though in spite of is expensive.
近,near close to approximately,我喜欢这个近。,I like this near close to approximately.
禁止,to prohibit to forbid to ban,这个禁止很贵。,This to prohibit to forbid to ban is expensive.
精彩,brilliant splendid,这个精彩很好。,This brilliant splendid is good.
精神,spirit mind consciousness thought mental,这个精神很好。,This spirit mind consciousness thought mental is good.
警察,police policeman policewoman,这个警察很漂亮。,This police policeman policewoman is beautiful.
竟然,unexpectedly to one's surprise in spite of,我有一个竟然。,I have a unexpectedly to one's surprise in spite of.
究竟,after all  actually,我喜欢这个究竟。,I like this after all  actually.
九,nine 9,我喜欢这个九。,I like this nine 9.
久,time  duration of time,这个久很好。,This time  duration of time is good.
旧,old opposite: new 新 former worn,这个旧很贵。,This old opposite: new 新 former worn is expensive.
就,at once right away only just  as early,这个就很好。,This at once right away only just  as early is good.
距离,distance to be apart,这个距离很好。,This distance to be apart is good.
句子,sentence,我有一个句子。,I have a sentence.
决定,to decide  to resolve decision,我有一个决定。,I have a to decide  to resolve decision.
咖啡,coffee,这个咖啡很好。,This coffee is good.
开,to open to start to turn on to boil to write out (a,我有一个开。,I have a to open to start to turn on to boil to write out (a.
开始,to begin beginning to start initial,这个开始很贵。,This to begin beginning to start initial is expensive.
开玩笑,to play a joke to make fun of to joke,这个开玩笑很好。,This to play a joke to make fun of to joke is good.
看,to see to look at to read to watch to consider to,我喜欢这个看。,I like this to see to look at to read to watch to consider to.
看法,way of looking at a thing view opinion CL:個|,我有一个看法。,I have a way of looking at a thing view opinion CL:個|.
棵,classifier for trees cabbages plants etc,我有一个棵。,I have a classifier for trees cabbages plants etc.
科学,science scientific knowledge scientific CL:門|门,这个科学很贵。,This science scientific knowledge scientific CL:門|门 is expensive.
咳嗽,to cough,我喜欢这个咳嗽。,I like this to cough.
渴,thirsty,我有一个渴。,I have a thirsty.
可怜,pitiful pathetic,这个可怜很贵。,This pitiful pathetic is expensive.
可能,might  possible probable possibility,我喜欢这个可能。,I like this might  possible probable possibility.
可是,but however,这个可是很贵。,This but however is expensive.
可惜,it is a pity what a pity  too bad,我喜欢这个可惜。,I like this it is a pity what a pity  too bad.
可以,can may possible able to,这个可以很好。,This can may possible able to is good.
刻,quarter  moment to carve to engrave to,我有一个刻。,I have a quarter  moment to carve to engrave to.
客人,visitor guest customer client,我喜欢这个客人。,I like this visitor guest customer client.
肯定,to be sure to be certain sure certain definite to,我喜欢这个肯定。,I like this to be sure to be certain sure certain definite to.
空气,air atmosphere,我有一个空气。,I have a air atmosphere.
恐怕,fear to dread I'm afraid that... perhaps maybe,这个恐怕很漂亮。,This fear to dread I'm afraid that... perhaps maybe is beautiful.
口,mouth classifier for things with mouths (people,这个口很好。,This mouth classifier for things with mouths (people is good.
哭,to cry to weep,这个哭很好。,This to cry to weep is good.
苦,bitter hardship pain to suffer painstaking,这个苦很贵。,This bitter hardship pain to suffer painstaking is expensive.
快,rapid quick speed rate soon almost to make,这个快很好。,This rapid quick speed rate soon almost to make is good.
筷子,chopsticks 根[gēn]把[bǎ]雙|双,这个筷子很漂亮。,This chopsticks 根[gēn]把[bǎ]雙|双 is beautiful.
困,to trap to surround hard-pressed stranded,我喜欢这个困。,I like this to trap to surround hard-pressed stranded.
拉,to pull to play  to drag to,我有一个拉。,I have a to pull to play  to drag to.
垃圾桶,rubbish bin,我有一个垃圾桶。,I have a rubbish bin.
辣,hot  pungent,我有一个辣。,I have a hot  pungent.
来,to come to arrive to come round ever since next,我喜欢这个来。,I like this to come to arrive to come round ever since next.
来不及,there's not enough time  it's too late (to,我有一个来不及。,I have a there's not enough time  it's too late (to.
来得及,there's still time able to do sth in time,这个来得及很好。,This there's still time able to do sth in time is good.
浪漫,romantic,这个浪漫很漂亮。,This romantic is beautiful.
老,prefix used before the surname of a person or a,这个老很贵。,This prefix used before the surname of a person or a is expensive.
老虎,tiger,这个老虎很贵。,This tiger is expensive.
了,,这个了很贵。,This  is expensive.
累,tired weary to strain to wear out to work hard,这个累很好。,This tired weary to strain to wear out to work hard is good.
冷,cold,这个冷很好。,This cold is good.
冷静,calm cool-headed,这个冷静很漂亮。,This calm cool-headed is beautiful.
离,to leave to part from to be away from (in giving,这个离很漂亮。,This to leave to part from to be away from (in giving is beautiful.
离开,to depart to leave,这个离开很好。,This to depart to leave is good.
里,lining interior inside internal also written 裡|里,这个里很好。,This lining interior inside internal also written 裡|里 is good.
理解,to comprehend to understand comprehension,这个理解很贵。,This to comprehend to understand comprehension is expensive.
理想,a dream an ideal perfection ideal perfect,这个理想很贵。,This a dream an ideal perfection ideal perfect is expensive.
礼貌,courtesy manners,这个礼貌很漂亮。,This courtesy manners is beautiful.
礼物,gift present 個|个[gè]份[fèn],这个礼物很好。,This gift present 個|个[gè]份[fèn] is good.
厉害,difficult to deal with difficult to endure,这个厉害很漂亮。,This difficult to deal with difficult to endure is beautiful.
力气,strength,我喜欢这个力气。,I like this strength.
例如,for example for instance such as,这个例如很贵。,This for example for instance such as is expensive.
凉快,nice and cold pleasantly cool,这个凉快很贵。,This nice and cold pleasantly cool is expensive.
两,both two ounce some a few tael weight equal,这个两很贵。,This both two ounce some a few tael weight equal is expensive.
亮,bright clear resonant to shine to show to reveal,这个亮很漂亮。,This bright clear resonant to shine to show to reveal is beautiful.
聊天,to chat to gossip,我有一个聊天。,I have a to chat to gossip.
了解,to understand to realize to find out,这个了解很漂亮。,This to understand to realize to find out is beautiful.
零,zero nought zero sign fractional fragmentary,这个零很好。,This zero nought zero sign fractional fragmentary is good.
另外,additional in addition besides separate other,这个另外很漂亮。,This additional in addition besides separate other is beautiful.
留,to leave  to retain to stay to,这个留很好。,This to leave  to retain to stay to is good.
留学,to study abroad,这个留学很贵。,This to study abroad is expensive.
流泪,to shed tears,这个流泪很漂亮。,This to shed tears is beautiful.
流利,fluent,这个流利很漂亮。,This fluent is beautiful.
流行,to spread to rage  popular,这个流行很漂亮。,This to spread to rage  popular is beautiful.
六,six 6,这个六很贵。,This six 6 is expensive.
楼,house with more than 1 story storied building,这个楼很贵。,This house with more than 1 story storied building is expensive.
路,road path way,我有一个路。,I have a road path way.
乱,in confusion or disorder in a confused state of,这个乱很漂亮。,This in confusion or disorder in a confused state of is beautiful.
旅游,trip journey tourism travel tour,我喜欢这个旅游。,I like this trip journey tourism travel tour.
慢,slow,这个慢很贵。,This slow is expensive.
忙,busy hurriedly,我喜欢这个忙。,I like this busy hurriedly.
猫,cat,这个猫很贵。,This cat is expensive.
毛巾,towel,我喜欢这个毛巾。,I like this towel.
帽子,hat cap,我喜欢这个帽子。,I like this hat cap.
没,have not not,这个没很漂亮。,This have not not is beautiful.
没关系,it doesn't matter,这个没关系很好。,This it doesn't matter is good.
每,each every,这个每很好。,This each every is good.
妹妹,younger sister fig. younger woman (esp. girl,我有一个妹妹。,I have a younger sister fig. younger woman (esp. girl.
门,gate door  gateway doorway CL:,我喜欢这个门。,I like this gate door  gateway doorway CL:.
梦,dream 個|个[gè],这个梦很漂亮。,This dream 個|个[gè] is beautiful.
米,rice  meter,我有一个米。,I have a rice  meter.
