target_word,similar_words_with_scores
accaparer,"accabler (0.538), accélérer (0.517), accepter (0.476), acclamer (0.476)"
accentuer,"accoutumer (0.501), accoter (0.484), accoster (0.476)"
acceptable,accessible (0.557)
acceptation,"accusation (0.580), acclamation (0.571)"
accepter,"accoler (0.488), acculer (0.488), accuser (0.488), accéder (0.488), accabler (0.479)"
accessible,"accessoire (0.577), acceptable (0.557)"
accessoire,accessible (0.577)
accident,"accidenté (0.813), accidentel (0.743)"
accidentel,"accident (0.743), accidenté (0.727)"
accidenté,"accident (0.813), accidentel (0.727)"
acclamation,"accusation (0.580), acceptation (0.571), accélération (0.563)"
acclamer,"acclimater (0.530), accoler (0.488), accoter (0.488), acculer (0.488), accuser (0.488)"
acclimater,acclamer (0.530)
accolade,accalmie (0.423)
accoler,"accoter (0.686), acculer (0.671), accoupler (0.648), accoucher (0.549), accumuler (0.538)"
accommoder,"accorder (0.578), accouder (0.578)"
accompli,"accomplir (0.813), accroupi (0.423)"
accomplir,"accompli (0.813), accourir (0.538), accoudoir (0.528), accoler (0.495), accroupir (0.468)"
accord,accorder (0.700)
accorder,"accouder (0.702), accord (0.700), accommoder (0.578), accoucher (0.538), accoupler (0.538)"
accoster,"accoter (0.718), accoucher (0.538), accoupler (0.538), accoutumer (0.530), accourir (0.491)"
accoter,"accoster (0.718), accoler (0.686), accoucher (0.549), accoupler (0.549), accoutumer (0.540)"
accouchement,"accouplement (0.677), accoutrement (0.677), attouchement (0.643)"
accoucher,"accoutumer (0.576), accoler (0.549), accoter (0.549), accourir (0.549), accoudoir (0.539)"
accouder,"accorder (0.702), accoutumer (0.588), accommoder (0.578), accabler (0.479), accepter (0.479)"
accoudoir,"accoucher (0.539), accoupler (0.539), accomplir (0.528), accroupir (0.506), accorder (0.487)"
accouplement,"accouchement (0.677), accoutrement (0.677), accablement (0.600)"
accoupler,"accoler (0.648), accoutumer (0.576), accoter (0.549), accourir (0.549), accoudoir (0.539)"
accourir,"accoucher (0.549), accoupler (0.549), accomplir (0.538), accoler (0.501), accoter (0.501)"
accoutrement,"accouchement (0.677), accouplement (0.677)"
accoutumer,"accoutumé (0.727), accouder (0.588), accoucher (0.576), accoupler (0.576), accoter (0.540)"
accoutumé,accoutumer (0.727)
accroc,accroché (0.700)
accrocher,"accroché (0.707), accroupir (0.539), accoler (0.484), accoter (0.484), accorder (0.476)"
accroché,"accrocher (0.707), accroc (0.700)"
accroupi,"accroupir (0.813), accompli (0.423)"
accroupir,"accroupi (0.813), accrocher (0.539), accoudoir (0.506), accoupler (0.494), accomplir (0.468)"
acculer,"accumuler (0.702), accuser (0.686), accoler (0.671), accepter (0.488), acclamer (0.488)"
accumulation,accusation (0.618)
accumuler,"acculer (0.702), accuser (0.549), accoler (0.538), accabler (0.527), accoupler (0.517)"
accusateur,"accuser (0.550), accoster (0.462)"
accusation,"accumulation (0.618), acceptation (0.580), acclamation (0.580)"
accuser,"acculer (0.686), accusé (0.647), accusateur (0.550), accumuler (0.549), accabler (0.488)"
accusé,"accuser (0.647), accablé (0.438)"
accès,abcès (0.570)
accéder,"accélérer (0.549), accabler (0.488), accepter (0.488), acclamer (0.488), accoster (0.488)"
accélérateur,accélérer (0.614)
accélération,acclamation (0.563)
accélérer,"accéléré (0.707), accélérateur (0.614), accéder (0.549), accaparer (0.517), accoler (0.484)"
accéléré,accélérer (0.707)
acharnement,achèvement (0.580)
acharner,"acharné (0.681), acheminer (0.527), acheter (0.488), achever (0.488)"
acharné,"acharner (0.681), achevé (0.438)"
acheminer,"acheter (0.549), achever (0.549), acharner (0.527)"
acheter,"acheteur (0.743), achever (0.686), acheminer (0.549), acharner (0.488)"
acheteur,acheter (0.743)
achever,"acheter (0.686), achevé (0.647), acheminer (0.549), acharner (0.488)"
achevé,"achever (0.647), acharné (0.438)"
achèvement,acharnement (0.580)
acide,"aide (0.591), aride (0.570), avide (0.570)"
acquiescer,acquitter (0.576)
acquis,acquit (0.740)
acquit,acquis (0.740)
acquitter,acquiescer (0.576)
acrobate,acrobatie (0.762)
acrobatie,acrobate (0.762)
acte,"acteur (0.625), apte (0.500)"
acteur,"acte (0.625), auteur (0.613), activer (0.438)"
actionner,activer (0.549)
activer,"actionner (0.549), acteur (0.438)"
activité,actualité (0.527)
actualité,activité (0.527)
acéré,aéré (0.591)
adapter,adopter (0.657)
addition,audition (0.664)
adjoint,adjudant (0.488)
adjudant,adjoint (0.488)
administrateur,administrer (0.659)
administratif,administration (0.778)
administration,administratif (0.778)
administrer,"administré (0.744), administrateur (0.659)"
administré,administrer (0.744)
admirateur,"adorateur (0.632), admirer (0.550)"
admiratif,admiration (0.727)
admiration,"admiratif (0.727), adoration (0.632), admission (0.566)"
admirer,admirateur (0.550)
admission,admiration (0.566)
adolescence,adolescent (0.758)
adolescent,adolescence (0.758)
adonner,"abonner (0.643), amidonner (0.614), adoucir (0.429)"
adopter,"adapter (0.657), adopté (0.647), adorateur (0.473), adoucir (0.429)"
adoptif,"adoption (0.681), adopté (0.647)"
adoption,adoptif (0.681)
adopté,"adopter (0.647), adoptif (0.647)"
adorateur,"admirateur (0.632), adorer (0.505), adopter (0.473)"
adoration,admiration (0.632)
adorer,"adorateur (0.505), adoucir (0.438)"
adosser,adoucir (0.429)
adoucir,"adorer (0.438), adonner (0.429), adopter (0.429), adosser (0.429)"
adresse,adresser (0.802)
adresser,"adresse (0.802), agresser (0.664)"
advenir,avenir (0.661)
adversaire,adverse (0.610)
adverse,"averse (0.661), adversaire (0.610)"
affable,"affre (0.449), affiche (0.429)"
affaibli,affaiblir (0.813)
affaiblir,"affaibli (0.813), affairer (0.589), affaisser (0.539), affaler (0.495), affubler (0.464)"
affaire,"affairer (0.802), affairé (0.764), affiche (0.429)"
affairer,"affaire (0.802), affairé (0.681), affaiblir (0.589), affleurer (0.527), affluer (0.488)"
affairé,"affaire (0.764), affairer (0.681), affolé (0.438), affinité (0.430), affecté (0.429)"
affaisser,"affaler (0.549), affamer (0.549), affaiblir (0.539), affiner (0.484), afficher (0.476)"
affaler,"affamer (0.686), affoler (0.671), affaisser (0.549), affaiblir (0.495), affecter (0.488)"
affamer,"affaler (0.686), affamé (0.647), affaisser (0.549), affecter (0.488), afficher (0.488)"
affamé,"affamer (0.647), affecté (0.438)"
affectation,"affection (0.739), affirmation (0.571)"
affecter,"affecté (0.681), affectif (0.664), affermir (0.534), affronter (0.527), affaler (0.488)"
affectif,"affection (0.707), affecté (0.681), affecter (0.664)"
affection,"affectation (0.739), affectif (0.707), affliction (0.642)"
affecté,"affecter (0.681), affectif (0.681), affinité (0.488), affamé (0.438), affilé (0.438)"
affermir,"affirmer (0.602), affecter (0.534), affamer (0.476)"
affiche,"afficher (0.802), affre (0.449), affable (0.429), affaire (0.429)"
afficher,"affiche (0.802), affaler (0.488), affamer (0.488), affluer (0.488), affoler (0.488)"
affilé,"affolé (0.647), affinité (0.512), affecté (0.438)"
affiner,"affecter (0.488), affubler (0.488), affaisser (0.484), affronter (0.484)"
affinité,"affilé (0.512), affecté (0.488), affairé (0.430)"
affirmatif,affirmation (0.744)
affirmation,"affirmatif (0.744), affectation (0.571)"
affirmer,"affermir (0.602), affaler (0.488), affluer (0.488), affoler (0.488), affûter (0.488)"
affleurer,"affliger (0.538), affairer (0.527), affecter (0.476)"
affliction,affection (0.642)
affliger,"affleurer (0.538), affaler (0.488), affamer (0.488), affoler (0.488), affûter (0.488)"
affluer,"afflux (0.647), affairer (0.488), affecter (0.488), afficher (0.488), affirmer (0.488)"
afflux,affluer (0.647)
affolant,"affolement (0.588), affront (0.488)"
affolement,"affolant (0.588), affrontement (0.581)"
affoler,"affaler (0.671), affolé (0.647), affairer (0.488), affecter (0.488), afficher (0.488)"
affolé,"affoler (0.647), affilé (0.647), affairé (0.438), affecté (0.438)"
affranchi,affranchir (0.822)
affranchir,affranchi (0.822)
affre,"affreux (0.669), affable (0.449), affiche (0.449)"
affreusement,affrontement (0.608)
affreux,affre (0.669)
affront,"affronter (0.724), affolant (0.488), affût (0.449)"
affrontement,"affreusement (0.608), affolement (0.581)"
affronter,"affront (0.724), affûter (0.538), affecter (0.527), affiner (0.484), affoler (0.484)"
affubler,"affamer (0.488), affiner (0.488), affluer (0.488), affûter (0.488), affairer (0.479)"
affût,"affûter (0.669), affront (0.449)"
affûter,"affût (0.669), affronter (0.538), affairer (0.488), afficher (0.488), affirmer (0.488)"
agacement,agencement (0.645)
agence,agencer (0.787)
agencement,"agacement (0.645), avancement (0.622)"
agencer,agence (0.787)
agenouiller,agenouillé (0.744)
agenouillé,agenouiller (0.744)
agent,argent (0.633)
agile,"argile (0.633), aile (0.591), asile (0.570), aigle (0.475)"
agilité,agité (0.654)
agitateur,agiter (0.551)
agiter,agitateur (0.551)
agité,agilité (0.654)
agneau,anneau (0.613)
agrafe,"agrafer (0.787), agréable (0.438)"
agrafer,"agrafe (0.787), agrandir (0.501), agresser (0.488), agripper (0.488)"
agrandir,agrafer (0.501)
agresser,"agresseur (0.762), adresser (0.664), agressif (0.664), agréer (0.500), agrafer (0.488)"
agresseur,agresser (0.762)
agressif,"agression (0.707), agresser (0.664)"
agression,agressif (0.707)
agricole,agréable (0.479)
agriculteur,agriculture (0.713)
agriculture,agriculteur (0.713)
agripper,"agréer (0.500), agrafer (0.488), agresser (0.479)"
agréable,"agricole (0.479), agrafe (0.438)"
agréer,"agresser (0.500), agripper (0.500)"
agrément,agrémenter (0.743)
agrémenter,agrément (0.743)
ahuri,ahurir (0.767)
ahurir,ahuri (0.767)
ahurissant,ahurissement (0.643)
ahurissement,ahurissant (0.643)
aide,"aider (0.737), acide (0.591), aride (0.591), avide (0.591), aile (0.525)"
aider,"aide (0.737), aimer (0.590)"
aigle,"aile (0.611), aigre (0.610), angle (0.570), aiguille (0.514), agile (0.475)"
aigre,"aigri (0.705), aigreur (0.669), aire (0.611), aigle (0.610), aigrette (0.606)"
aigrelet,aigrette (0.639)
aigrette,"aigrelet (0.639), aigre (0.606)"
aigreur,aigre (0.669)
aigri,"aigrir (0.767), aigre (0.705), amaigri (0.626)"
aigrir,"aigri (0.767), aiguiser (0.438)"
aiguillage,aiguille (0.695)
aiguille,"aiguiller (0.813), aiguillon (0.707), aiguillage (0.695), anguille (0.664), aigle (0.514)"
aiguiller,"aiguille (0.813), aiguillon (0.692)"
aiguillon,"aiguille (0.707), aiguiller (0.692)"
aiguiser,"aiguisé (0.681), aigrir (0.438)"
aiguisé,aiguiser (0.681)
aile,"ailé (0.650), aigle (0.611), agile (0.591), asile (0.591), aide (0.525)"
ailé,"aile (0.650), aimé (0.525), aisé (0.525)"
aimable,amiable (0.579)
aimant,"aimanter (0.700), amant (0.633)"
aimanter,"aimant (0.700), aimer (0.514)"
aimer,"animer (0.633), amer (0.591), aider (0.590), armer (0.570), aimanter (0.514)"
aimé,"animé (0.591), ailé (0.525), aisé (0.525), armé (0.500)"
aine,"aide (0.525), aile (0.525), aire (0.525), aise (0.525), aîné (0.250)"
aire,"aigre (0.611), aide (0.525), aile (0.525), aine (0.525), aise (0.525)"
aisance,aise (0.462)
aise,"aisé (0.650), aide (0.525), aile (0.525), aine (0.525), aire (0.525)"
aisé,"aise (0.650), avisé (0.591), ailé (0.525), aimé (0.525)"
ajuster,ajusté (0.647)
ajusté,ajuster (0.647)
alangui,alanguir (0.802)
alanguir,alangui (0.802)
alarme,"alarmer (0.787), arme (0.592)"
alarmer,"alarme (0.787), armer (0.626)"
alchimie,alchimiste (0.695)
alchimiste,alchimie (0.695)
alentour,alerter (0.438)
alerte,"alerter (0.814), alerté (0.740)"
alerter,"alerte (0.814), alerté (0.669), alentour (0.438)"
alerté,"alerte (0.740), alerter (0.669)"
algue,algèbre (0.449)
algèbre,algue (0.449)
alignement,aliment (0.580)
aligner,"aliéner (0.671), aligné (0.647), alimenter (0.484)"
aligné,aligner (0.647)
aliment,"alimenter (0.724), alignement (0.580)"
alimentation,augmentation (0.643)
alimenter,"aliment (0.724), aligner (0.484), aliéner (0.484)"
aliéner,"aligner (0.671), alimenter (0.484)"
allant,alléchant (0.551)
aller,"allier (0.667), allonger (0.514), allécher (0.514), alléguer (0.514)"
allier,"aller (0.667), altier (0.630), allonger (0.500), allécher (0.500), alléguer (0.500)"
allié,allongé (0.449)
allo,allô (0.650)
allocution,allusion (0.520)
allonger,"allongé (0.681), aller (0.514), allier (0.500), allumer (0.488), allécher (0.479)"
allongé,"allonger (0.681), allié (0.449), allumé (0.438)"
allouer,allécher (0.488)
allumer,"allumé (0.647), allonger (0.488), allécher (0.488), alléguer (0.488)"
allumé,"allumer (0.647), allongé (0.438)"
allusion,allocution (0.520)
allègre,"allée (0.449), allégorie (0.430)"
allègrement,allégrement (0.722)
alléchant,allant (0.551)
allécher,"aller (0.514), allier (0.500), allouer (0.488), allumer (0.488), allonger (0.479)"
allée,allègre (0.449)
alléger,alléguer (0.731)
allégorie,allègre (0.430)
allégrement,allègrement (0.722)
alléguer,"alléger (0.731), aller (0.514), allier (0.500), allumer (0.488), allonger (0.479)"
allô,allo (0.650)
aloi,aboi (0.500)
alternance,alternative (0.617)
alternative,alternance (0.617)
alterner,altier (0.514)
altier,"allier (0.630), alterner (0.514)"
altitude,"aptitude (0.664), attitude (0.664)"
amadou,amadouer (0.700)
amadouer,"amadou (0.700), amarrer (0.488), amasser (0.488), amandier (0.479), amateur (0.430)"
amaigri,aigri (0.626)
amande,"amante (0.663), amende (0.630), amazone (0.438)"
amandier,"amarrer (0.488), amasser (0.488), amadouer (0.479)"
amant,"amante (0.767), aimant (0.633), amont (0.590), avant (0.570)"
amante,"amant (0.767), amande (0.663), amazone (0.438)"
amarre,"amarrer (0.787), amazone (0.438)"
amarrer,"amarre (0.787), amadouer (0.488), amandier (0.488), amateur (0.429)"
amasser,"amadouer (0.488), amandier (0.488), amateur (0.429)"
amateur,"armateur (0.681), animateur (0.614), amadouer (0.430), amarrer (0.429), amasser (0.429)"
amazone,"amande (0.438), amante (0.438), amarre (0.438)"
ambassade,ambassadeur (0.758)
ambassadeur,ambassade (0.758)
ambiance,ambiant (0.681)
ambiant,ambiance (0.681)
ambre,"ambré (0.705), arbre (0.570)"
ambré,ambre (0.705)
ambulance,"ambulant (0.707), ambulancier (0.706)"
ambulancier,ambulance (0.706)
ambulant,ambulance (0.707)
amen,"amer (0.650), amende (0.625)"
amende,"amande (0.630), amen (0.625)"
amenuiser,ameuter (0.484)
amer,"amen (0.650), aimer (0.591), armer (0.591), ameuter (0.543)"
ameuter,"amputer (0.657), amer (0.543), amenuiser (0.484)"
amiable,aimable (0.579)
amical,"amicale (0.787), amiral (0.647)"
amicale,amical (0.787)
amidonner,adonner (0.614)
amiral,amical (0.647)
amocher,"amonceler (0.484), amour (0.449), amollir (0.429), amortir (0.429)"
amollir,"amour (0.449), amocher (0.429), amorcer (0.429)"
amonceler,"amorcer (0.527), amocher (0.484)"
amont,amant (0.590)
amorce,amorcer (0.787)
amorcer,"amorce (0.787), amonceler (0.527), amour (0.449), amollir (0.429)"
amorti,amortir (0.787)
amortir,"amorti (0.787), amour (0.449), amocher (0.429)"
amour,"amocher (0.449), amollir (0.449), amorcer (0.449), amortir (0.449)"
ample,ampleur (0.669)
ampleur,"ample (0.669), amputer (0.429)"
amputer,"ameuter (0.657), amputé (0.647), ampleur (0.429)"
amputé,amputer (0.647)
amusant,amusement (0.549)
amusement,amusant (0.549)
amuser,abuser (0.613)
analogie,"analogue (0.727), analyse (0.501), anarchie (0.479)"
analogue,"analogie (0.727), analyse (0.501), anatomie (0.423)"
analyse,"analyser (0.802), analogie (0.501), analogue (0.501)"
analyser,analyse (0.802)
anarchie,"anarchiste (0.695), analogie (0.479), anatomie (0.479)"
anarchiste,anarchie (0.695)
anatomie,"anatomique (0.695), anarchie (0.479), analogue (0.423)"
anatomique,"anatomie (0.695), atomique (0.683)"
ancre,"ancrer (0.767), antre (0.590)"
ancrer,ancre (0.767)
ange,"angle (0.631), anse (0.525), auge (0.500)"
angine,"angoisse (0.438), anguille (0.438)"
angle,"ange (0.631), aigle (0.570), anguille (0.514)"
angoisse,"angoisser (0.813), angoissé (0.782), angine (0.438), anguille (0.423)"
angoisser,"angoisse (0.813), angoissé (0.707)"
angoissé,"angoisse (0.782), angoisser (0.707)"
anguille,"aiguille (0.664), angle (0.514), angine (0.438), angoisse (0.423)"
animal,animaux (0.647)
animateur,"amateur (0.614), animer (0.505)"
animaux,animal (0.647)
animer,"aimer (0.633), animateur (0.505)"
animé,aimé (0.591)
anis,"anus (0.525), avis (0.500)"
anneau,agneau (0.613)
annexe,"annexer (0.787), annonce (0.438)"
annexer,"annexe (0.787), annoncer (0.488)"
annonce,"annoncer (0.802), année (0.449), annexe (0.438)"
annoncer,"annonce (0.802), annexer (0.488), annuler (0.488)"
annuaire,annulaire (0.729)
annulaire,annuaire (0.729)
annuler,annoncer (0.488)
année,annonce (0.449)
anonymat,anonyme (0.681)
anonyme,anonymat (0.681)
anse,"ange (0.525), aise (0.500)"
antan,autant (0.525)
antenne,"antienne (0.706), antre (0.449), antique (0.429)"
antichar,anticiper (0.549)
anticiper,antichar (0.549)
antienne,"antenne (0.706), antique (0.501), antilope (0.491), antipode (0.491)"
antilope,"antique (0.501), antienne (0.491)"
antipathie,antipathique (0.732)
antipathique,antipathie (0.732)
antipode,"antique (0.501), antienne (0.491)"
antiquaire,antique (0.610)
antique,"antiquaire (0.610), antienne (0.501), antilope (0.501), antipode (0.501), antre (0.449)"
antisémite,antisémitisme (0.706)
antisémitisme,antisémite (0.706)
antre,"ancre (0.590), astre (0.570), autre (0.570), antenne (0.449), antique (0.449)"
anus,"anis (0.525), abus (0.500)"
apaisant,apaisement (0.588)
apaisement,"abaissement (0.621), apaisant (0.588)"
aparté,appart (0.573)
apeurer,apeuré (0.647)
apeuré,apeurer (0.647)
aplanir,aplatir (0.686)
aplati,aplatir (0.787)
aplatir,"aplati (0.787), aplanir (0.686)"
apostrophe,apostropher (0.830)
apostropher,apostrophe (0.830)
apparat,"appart (0.718), appât (0.449), appoint (0.429), appétit (0.429)"
appareil,"apparent (0.664), appel (0.447)"
appareiller,apparenter (0.608)
apparemment,"appartement (0.695), apparent (0.674)"
apparence,"apparent (0.707), apparenter (0.672), appartenance (0.629), apprendre (0.504)"
apparent,"apparenter (0.743), apparence (0.707), apparemment (0.674), appareil (0.664), appartement (0.621)"
apparenter,"apparent (0.743), apparence (0.672), appareiller (0.608), appartenir (0.590), apporter (0.520)"
appart,"apparat (0.718), apport (0.647), aparté (0.573), appoint (0.438), appétit (0.438)"
appartement,"apparemment (0.695), apparent (0.621)"
appartenance,apparence (0.629)
appartenir,"apparenter (0.590), apporter (0.500)"
appauvrir,applaudir (0.506)
appel,"appelé (0.767), appeler (0.669), appareil (0.447)"
appeler,"appel (0.669), appelé (0.647), apporter (0.488), apprêter (0.488)"
appellation,"application (0.571), approbation (0.571)"
appelé,"appel (0.767), appeler (0.647)"
appendice,apprendre (0.504)
appentis,apprenti (0.589)
applaudir,appauvrir (0.506)
application,"appellation (0.571), approbation (0.571), appréciation (0.563)"
appliquer,appliqué (0.707)
appliqué,appliquer (0.707)
appoint,"apparent (0.488), appât (0.449), appart (0.438), apparat (0.429), appétit (0.429)"
apport,"apporter (0.700), appart (0.647), appétit (0.438), apparent (0.438)"
apporter,"apport (0.700), apparenter (0.520), appartenir (0.500), appeler (0.488), appuyer (0.488)"
apposer,"apprêter (0.488), approcher (0.484), approuver (0.484)"
apprendre,"apparence (0.504), appendice (0.504)"
apprenti,"apparent (0.589), appentis (0.589)"
approbation,"appréciation (0.608), appellation (0.571), application (0.571)"
approche,approcher (0.813)
approcher,"approche (0.813), approprier (0.588), apprêter (0.538), apposer (0.484), apporter (0.476)"
approfondi,approfondir (0.830)
approfondir,approfondi (0.830)
approprier,"approprié (0.720), approcher (0.588), approuver (0.588), apprécier (0.578), apporter (0.480)"
approprié,approprier (0.720)
approuver,"approprier (0.588), apprêter (0.538), apprécier (0.528), apposer (0.484), appuyer (0.484)"
appréciation,"approbation (0.608), application (0.563)"
apprécier,"approprier (0.578), apprêter (0.538), approuver (0.528)"
apprêter,"approcher (0.538), approuver (0.538), apprécier (0.538), apparenter (0.520), appeler (0.488)"
appuyer,"appuyé (0.647), apporter (0.488), apprêter (0.488), approuver (0.484)"
appuyé,appuyer (0.647)
appât,"apparat (0.449), appoint (0.449), appétit (0.449)"
appétit,"appât (0.449), appart (0.438), apport (0.438), apparat (0.429), appoint (0.429)"
après,auprès (0.633)
apte,acte (0.500)
aptitude,"altitude (0.664), attitude (0.664)"
arbitraire,arbitre (0.660)
arbitre,"arbitraire (0.660), arbuste (0.429)"
arbre,"ambre (0.570), arbuste (0.449)"
arbuste,"arbre (0.449), arbitre (0.429)"
arcade,"archive (0.438), archange (0.438)"
archange,"archaïque (0.549), arche (0.526), archive (0.501), arcade (0.438)"
archaïque,"archevêque (0.566), archange (0.549)"
arche,"archer (0.767), archet (0.767), archange (0.526)"
archer,"arche (0.767), archet (0.740)"
archet,"arche (0.767), archer (0.740)"
archevêque,archaïque (0.566)
architecte,architecture (0.744)
architectural,architecture (0.769)
architecture,"architectural (0.769), architecte (0.744)"
archive,"archange (0.501), arcade (0.438)"
archéologie,archéologue (0.776)
archéologue,archéologie (0.776)
ardemment,"ardent (0.620), armement (0.614)"
ardent,"argent (0.630), ardemment (0.620)"
argent,"argenté (0.787), argenter (0.700), argentin (0.700), agent (0.633), ardent (0.630)"
argenter,"argenterie (0.743), argent (0.700), argenté (0.681), arpenter (0.677), argentin (0.664)"
argenterie,argenter (0.743)
argentin,"argent (0.700), argenté (0.681), argenter (0.664)"
argenté,"argent (0.787), argenter (0.681), argentin (0.681)"
argile,agile (0.633)
arguer,"arquer (0.630), argenter (0.500)"
aride,"aide (0.591), acide (0.570), avide (0.570)"
aristocrate,"aristocratie (0.799), aristocratique (0.699)"
aristocratie,"aristocrate (0.799), aristocratique (0.757)"
aristocratique,"aristocratie (0.757), aristocrate (0.699)"
armateur,"amateur (0.681), armature (0.639), armer (0.447)"
armature,"armateur (0.639), armoire (0.488)"
arme,"armer (0.737), armé (0.650), armée (0.631), arôme (0.611), alarme (0.592)"
armement,ardemment (0.614)
armer,"arme (0.737), alarmer (0.626), amer (0.591), aimer (0.570), armurier (0.514)"
armoire,"armoirie (0.743), armature (0.488), arme (0.462), armée (0.449)"
armoirie,"armoire (0.743), armure (0.438)"
armure,armoirie (0.438)
armurier,armer (0.514)
armé,"armée (0.737), arme (0.650), aimé (0.500)"
armée,"armé (0.737), arme (0.631), armoire (0.449)"
arpenter,argenter (0.677)
arquer,arguer (0.630)
arracher,"arraché (0.681), arrimer (0.488), arriver (0.488), arroser (0.488), arrêter (0.488)"
arraché,"arracher (0.681), arrivé (0.438), arrosé (0.438), arrêté (0.438), arriéré (0.429)"
arranger,"arrimer (0.488), arriver (0.488), arroser (0.488), arrêter (0.488), arrondir (0.423)"
arrimer,"arriver (0.686), arracher (0.488), arranger (0.488)"
arrivage,"arrivant (0.664), arrière (0.501)"
arrivant,arrivage (0.664)
arriver,"arrimer (0.686), arrivé (0.647), arracher (0.488), arranger (0.488)"
arrivé,"arrivée (0.787), arriver (0.647), arraché (0.438)"
arrivée,arrivé (0.787)
arrière,"arriéré (0.550), arrivage (0.501)"
arrière-garde,arrière-salle (0.621)
arrière-grand-mère,arrière-grand-père (0.810)
arrière-grand-père,arrière-grand-mère (0.810)
arrière-plan,arrière-train (0.621)
arrière-salle,arrière-garde (0.621)
arrière-train,arrière-plan (0.621)
arriéré,"arrière (0.550), arrosé (0.438), arrêté (0.438), arraché (0.429)"
arrogance,"arrogant (0.707), arrosage (0.487)"
arrogant,arrogance (0.707)
arrondi,arrondir (0.802)
arrondir,"arrondi (0.802), arroser (0.501), arranger (0.423)"
arrosage,arrogance (0.487)
arroser,"arrosé (0.647), arrondir (0.501), arracher (0.488), arranger (0.488)"
arrosé,"arroser (0.647), arraché (0.438), arriéré (0.438)"
arrêt,"arrêté (0.767), arrêter (0.669), arête (0.545)"
arrêter,"arrêt (0.669), arrêté (0.647), arête (0.583), arracher (0.488), arranger (0.488)"
arrêté,"arrêt (0.767), arrêter (0.647), arraché (0.438), arriéré (0.438)"
artiche,"article (0.700), artifice (0.547), artère (0.438)"
article,"artiche (0.700), articuler (0.637), artifice (0.547), artère (0.438)"
articuler,"articulé (0.707), article (0.637), artilleur (0.517)"
articulé,articuler (0.707)
artifice,"artificiel (0.685), artiche (0.547), article (0.547), artiste (0.501)"
artificiel,artifice (0.685)
artilleur,articuler (0.517)
artisan,artisanal (0.724)
artisanal,artisan (0.724)
artiste,"artistique (0.624), artifice (0.501), artère (0.438)"
artistique,artiste (0.624)
artère,"artiche (0.438), article (0.438), artiste (0.438)"
arête,"arrêter (0.583), arrêt (0.545)"
arôme,arme (0.611)
ascendance,ascendant (0.743)
ascendant,ascendance (0.743)
asile,"aile (0.591), agile (0.570)"
asperge,"asperger (0.825), aspirine (0.430)"
asperger,asperge (0.825)
aspirateur,aspirer (0.550)
