target_word,similar_words,similarity_count
accourir,"accoucher, accoupler, accomplir, accoler, accoter",5
accoutrement,"accouchement, accouplement",2
accoutumer,"accoutumé, accouder, accoucher, accoupler, accoter",5
accoutumé,accoutumer,1
accroc,accroché,1
accrocher,"accroché, accroupir, accoler, accoter, accorder",5
accroché,"accrocher, accroc",2
accroupi,"accroupir, accompli",2
accroupir,"accroupi, accrocher, accoudoir, accoupler, accomplir",5
acculer,"accumuler, accuser, accoler, accepter, acclamer",5
accumulation,accusation,1
accumuler,"acculer, accuser, accoler, accabler, accoupler",5
accusateur,"accuser, accoster",2
accusation,"accumulation, acceptation, acclamation",3
accuser,"acculer, accusé, accusateur, accumuler, accabler",5
accusé,"accuser, accablé",2
accès,abcès,1
accéder,"accélérer, accabler, accepter, acclamer, accoster",5
accélérateur,accélérer,1
accélération,acclamation,1
accélérer,"accéléré, accélérateur, accéder, accaparer, accoler",5
accéléré,accélérer,1
acharnement,achèvement,1
acharner,"acharné, acheminer, acheter, achever",4
acharné,"acharner, achevé",2
acheminer,"acheter, achever, acharner",3
acheter,"acheteur, achever, acheminer, acharner",4
acheteur,acheter,1
achever,"acheter, achevé, acheminer, acharner",4
achevé,"achever, acharné",2
achèvement,acharnement,1
acide,"aide, aride, avide",3
acquiescer,acquitter,1
acquis,acquit,1
acquit,acquis,1
acquitter,acquiescer,1
acrobate,acrobatie,1
acrobatie,acrobate,1
acte,"acteur, apte",2
acteur,"acte, auteur, activer",3
actionner,activer,1
activer,"actionner, acteur",2
activité,actualité,1
actualité,activité,1
acéré,aéré,1
adapter,adopter,1
addition,audition,1
adjoint,adjudant,1
adjudant,adjoint,1
administrateur,administrer,1
administratif,administration,1
administration,administratif,1
administrer,"administré, administrateur",2
administré,administrer,1
admirateur,"adorateur, admirer",2
admiratif,admiration,1
admiration,"admiratif, adoration, admission",3
admirer,admirateur,1
admission,admiration,1
adolescence,adolescent,1
adolescent,adolescence,1
adonner,"abonner, amidonner, adoucir",3
adopter,"adapter, adopté, adorateur, adoucir",4
adoptif,"adoption, adopté",2
adoption,adoptif,1
adopté,"adopter, adoptif",2
adorateur,"admirateur, adorer, adopter",3
adoration,admiration,1
adorer,"adorateur, adoucir",2
adosser,adoucir,1
adoucir,"adorer, adonner, adopter, adosser",4
adresse,adresser,1
adresser,"adresse, agresser",2
advenir,avenir,1
adversaire,adverse,1
adverse,"averse, adversaire",2
affable,"affre, affiche",2
affaibli,affaiblir,1
affaiblir,"affaibli, affairer, affaisser, affaler, affubler",5
affaire,"affairer, affairé, affiche",3
affairer,"affaire, affairé, affaiblir, affleurer, affluer",5
affairé,"affaire, affairer, affolé, affinité, affecté",5
affaisser,"affaler, affamer, affaiblir, affiner, afficher",5
affaler,"affamer, affoler, affaisser, affaiblir, affecter",5
affamer,"affaler, affamé, affaisser, affecter, afficher",5
affamé,"affamer, affecté",2
affectation,"affection, affirmation",2
affecter,"affecté, affectif, affermir, affronter, affaler",5
affectif,"affection, affecté, affecter",3
affection,"affectation, affectif, affliction",3
affecté,"affecter, affectif, affinité, affamé, affilé",5
affermir,"affirmer, affecter, affamer",3
affiche,"afficher, affre, affable, affaire",4
afficher,"affiche, affaler, affamer, affluer, affoler",5
affilé,"affolé, affinité, affecté",3
affiner,"affecter, affubler, affaisser, affronter",4
affinité,"affilé, affecté, affairé",3
affirmatif,affirmation,1
affirmation,"affirmatif, affectation",2
affirmer,"affermir, affaler, affluer, affoler, affûter",5
affleurer,"affliger, affairer, affecter",3
affliction,affection,1
affliger,"affleurer, affaler, affamer, affoler, affûter",5
affluer,"afflux, affairer, affecter, afficher, affirmer",5
afflux,affluer,1
affolant,"affolement, affront",2
affolement,"affolant, affrontement",2
affoler,"affaler, affolé, affairer, affecter, afficher",5
affolé,"affoler, affilé, affairé, affecté",4
affranchi,affranchir,1
affranchir,affranchi,1
affre,"affreux, affable, affiche",3
affreusement,affrontement,1
affreux,affre,1
affront,"affronter, affolant, affût",3
affrontement,"affreusement, affolement",2
affronter,"affront, affûter, affecter, affiner, affoler",5
affubler,"affamer, affiner, affluer, affûter, affairer",5
affût,"affûter, affront",2
affûter,"affût, affronter, affairer, afficher, affirmer",5
agacement,agencement,1
agence,agencer,1
agencement,"agacement, avancement",2
agencer,agence,1
agenouiller,agenouillé,1
agenouillé,agenouiller,1
agent,argent,1
agile,"argile, aile, asile, aigle",4
agilité,agité,1
agitateur,agiter,1
agiter,agitateur,1
agité,agilité,1
agneau,anneau,1
agrafe,"agrafer, agréable",2
agrafer,"agrafe, agrandir, agresser, agripper",4
agrandir,agrafer,1
agresser,"agresseur, adresser, agressif, agréer, agrafer",5
agresseur,agresser,1
agressif,"agression, agresser",2
agression,agressif,1
agricole,agréable,1
agriculteur,agriculture,1
agriculture,agriculteur,1
agripper,"agréer, agrafer, agresser",3
agréable,"agricole, agrafe",2
agréer,"agresser, agripper",2
agrément,agrémenter,1
agrémenter,agrément,1
ahuri,ahurir,1
ahurir,ahuri,1
ahurissant,ahurissement,1
ahurissement,ahurissant,1
aide,"aider, acide, aride, avide, aile",5
aider,"aide, aimer",2
aigle,"aile, aigre, angle, aiguille, agile",5
aigre,"aigri, aigreur, aire, aigle, aigrette",5
aigrelet,aigrette,1
aigrette,"aigrelet, aigre",2
aigreur,aigre,1
aigri,"aigrir, aigre, amaigri",3
aigrir,"aigri, aiguiser",2
aiguillage,aiguille,1
aiguille,"aiguiller, aiguillon, aiguillage, anguille, aigle",5
aiguiller,"aiguille, aiguillon",2
aiguillon,"aiguille, aiguiller",2
aiguiser,"aiguisé, aigrir",2
aiguisé,aiguiser,1
aile,"ailé, aigle, agile, asile, aide",5
ailé,"aile, aimé, aisé",3
aimable,amiable,1
aimant,"aimanter, amant",2
aimanter,"aimant, aimer",2
aimer,"animer, amer, aider, armer, aimanter",5
aimé,"animé, ailé, aisé, armé",4
aine,"aide, aile, aire, aise, aîné",5
aire,"aigre, aide, aile, aine, aise",5
aisance,aise,1
aise,"aisé, aide, aile, aine, aire",5
aisé,"aise, avisé, ailé, aimé",4
ajuster,ajusté,1
ajusté,ajuster,1
alangui,alanguir,1
alanguir,alangui,1
alarme,"alarmer, arme",2
alarmer,"alarme, armer",2
alchimie,alchimiste,1
alchimiste,alchimie,1
alentour,alerter,1
alerte,"alerter, alerté",2
alerter,"alerte, alerté, alentour",3
alerté,"alerte, alerter",2
algue,algèbre,1
algèbre,algue,1
alignement,aliment,1
aligner,"aliéner, aligné, alimenter",3
aligné,aligner,1
aliment,"alimenter, alignement",2
alimentation,augmentation,1
alimenter,"aliment, aligner, aliéner",3
aliéner,"aligner, alimenter",2
allant,alléchant,1
aller,"allier, allonger, allécher, alléguer",4
allier,"aller, altier, allonger, allécher, alléguer",5
allié,allongé,1
allo,allô,1
allocution,allusion,1
allonger,"allongé, aller, allier, allumer, allécher",5
allongé,"allonger, allié, allumé",3
allouer,allécher,1
allumer,"allumé, allonger, allécher, alléguer",4
allumé,"allumer, allongé",2
allusion,allocution,1
allègre,"allée, allégorie",2
allègrement,allégrement,1
alléchant,allant,1
allécher,"aller, allier, allouer, allumer, allonger",5
allée,allègre,1
alléger,alléguer,1
allégorie,allègre,1
allégrement,allègrement,1
alléguer,"alléger, aller, allier, allumer, allonger",5
allô,allo,1
aloi,aboi,1
alternance,alternative,1
alternative,alternance,1
alterner,altier,1
altier,"allier, alterner",2
altitude,"aptitude, attitude",2
amadou,amadouer,1
amadouer,"amadou, amarrer, amasser, amandier, amateur",5
amaigri,aigri,1
amande,"amante, amende, amazone",3
amandier,"amarrer, amasser, amadouer",3
amant,"amante, aimant, amont, avant",4
amante,"amant, amande, amazone",3
amarre,"amarrer, amazone",2
amarrer,"amarre, amadouer, amandier, amateur",4
amasser,"amadouer, amandier, amateur",3
amateur,"armateur, animateur, amadouer, amarrer, amasser",5
amazone,"amande, amante, amarre",3
ambassade,ambassadeur,1
ambassadeur,ambassade,1
ambiance,ambiant,1
ambiant,ambiance,1
ambre,"ambré, arbre",2
ambré,ambre,1
ambulance,"ambulant, ambulancier",2
ambulancier,ambulance,1
ambulant,ambulance,1
amen,"amer, amende",2
amende,"amande, amen",2
amenuiser,ameuter,1
amer,"amen, aimer, armer, ameuter",4
ameuter,"amputer, amer, amenuiser",3
amiable,aimable,1
amical,"amicale, amiral",2
amicale,amical,1
amidonner,adonner,1
amiral,amical,1
amocher,"amonceler, amour, amollir, amortir",4
amollir,"amour, amocher, amorcer",3
amonceler,"amorcer, amocher",2
amont,amant,1
amorce,amorcer,1
amorcer,"amorce, amonceler, amour, amollir",4
amorti,amortir,1
amortir,"amorti, amour, amocher",3
amour,"amocher, amollir, amorcer, amortir",4
ample,ampleur,1
ampleur,"ample, amputer",2
amputer,"ameuter, amputé, ampleur",3
amputé,amputer,1
amusant,amusement,1
amusement,amusant,1
amuser,abuser,1
analogie,"analogue, analyse, anarchie",3
analogue,"analogie, analyse, anatomie",3
analyse,"analyser, analogie, analogue",3
analyser,analyse,1
anarchie,"anarchiste, analogie, anatomie",3
anarchiste,anarchie,1
anatomie,"anatomique, anarchie, analogue",3
anatomique,"anatomie, atomique",2
ancre,"ancrer, antre",2
ancrer,ancre,1
ange,"angle, anse, auge",3
angine,"angoisse, anguille",2
angle,"ange, aigle, anguille",3
angoisse,"angoisser, angoissé, angine, anguille",4
angoisser,"angoisse, angoissé",2
angoissé,"angoisse, angoisser",2
anguille,"aiguille, angle, angine, angoisse",4
animal,animaux,1
animateur,"amateur, animer",2
animaux,animal,1
animer,"aimer, animateur",2
animé,aimé,1
anis,"anus, avis",2
anneau,agneau,1
annexe,"annexer, annonce",2
annexer,"annexe, annoncer",2
annonce,"annoncer, année, annexe",3
annoncer,"annonce, annexer, annuler",3
annuaire,annulaire,1
annulaire,annuaire,1
annuler,annoncer,1
année,annonce,1
anonymat,anonyme,1
anonyme,anonymat,1
anse,"ange, aise",2
antan,autant,1
antenne,"antienne, antre, antique",3
antichar,anticiper,1
anticiper,antichar,1
antienne,"antenne, antique, antilope, antipode",4
antilope,"antique, antienne",2
antipathie,antipathique,1
antipathique,antipathie,1
antipode,"antique, antienne",2
antiquaire,antique,1
antique,"antiquaire, antienne, antilope, antipode, antre",5
antisémite,antisémitisme,1
antisémitisme,antisémite,1
antre,"ancre, astre, autre, antenne, antique",5
anus,"anis, abus",2
apaisant,apaisement,1
apaisement,"abaissement, apaisant",2
aparté,appart,1
apeurer,apeuré,1
apeuré,apeurer,1
aplanir,aplatir,1
aplati,aplatir,1
aplatir,"aplati, aplanir",2
apostrophe,apostropher,1
apostropher,apostrophe,1
apparat,"appart, appât, appoint, appétit",4
appareil,"apparent, appel",2
appareiller,apparenter,1
apparemment,"appartement, apparent",2
apparence,"apparent, apparenter, appartenance, apprendre",4
apparent,"apparenter, apparence, apparemment, appareil, appartement",5
apparenter,"apparent, apparence, appareiller, appartenir, apporter",5
appart,"apparat, apport, aparté, appoint, appétit",5
appartement,"apparemment, apparent",2
appartenance,apparence,1
appartenir,"apparenter, apporter",2
appauvrir,applaudir,1
appel,"appelé, appeler, appareil",3
appeler,"appel, appelé, apporter, apprêter",4
appellation,"application, approbation",2
appelé,"appel, appeler",2
appendice,apprendre,1
appentis,apprenti,1
applaudir,appauvrir,1
application,"appellation, approbation, appréciation",3
appliquer,appliqué,1
appliqué,appliquer,1
appoint,"apparent, appât, appart, apparat, appétit",5
apport,"apporter, appart, appétit, apparent",4
apporter,"apport, apparenter, appartenir, appeler, appuyer",5
apposer,"apprêter, approcher, approuver",3
apprendre,"apparence, appendice",2
apprenti,"apparent, appentis",2
approbation,"appréciation, appellation, application",3
approche,approcher,1
approcher,"approche, approprier, apprêter, apposer, apporter",5
approfondi,approfondir,1
approfondir,approfondi,1
approprier,"approprié, approcher, approuver, apprécier, apporter",5
approprié,approprier,1
approuver,"approprier, apprêter, apprécier, apposer, appuyer",5
appréciation,"approbation, application",2
apprécier,"approprier, apprêter, approuver",3
apprêter,"approcher, approuver, apprécier, apparenter, appeler",5
appuyer,"appuyé, apporter, apprêter, approuver",4
appuyé,appuyer,1
appât,"apparat, appoint, appétit",3
appétit,"appât, appart, apport, apparat, appoint",5
après,auprès,1
apte,acte,1
aptitude,"altitude, attitude",2
arbitraire,arbitre,1
arbitre,"arbitraire, arbuste",2
arbre,"ambre, arbuste",2
arbuste,"arbre, arbitre",2
arcade,"archive, archange",2
archange,"archaïque, arche, archive, arcade",4
archaïque,"archevêque, archange",2
arche,"archer, archet, archange",3
archer,"arche, archet",2
archet,"arche, archer",2
archevêque,archaïque,1
architecte,architecture,1
architectural,architecture,1
architecture,"architectural, architecte",2
archive,"archange, arcade",2
archéologie,archéologue,1
archéologue,archéologie,1
ardemment,"ardent, armement",2
ardent,"argent, ardemment",2
argent,"argenté, argenter, argentin, agent, ardent",5
argenter,"argenterie, argent, argenté, arpenter, argentin",5
argenterie,argenter,1
argentin,"argent, argenté, argenter",3
argenté,"argent, argenter, argentin",3
argile,agile,1
arguer,"arquer, argenter",2
aride,"aide, acide, avide",3
aristocrate,"aristocratie, aristocratique",2
aristocratie,"aristocrate, aristocratique",2
aristocratique,"aristocratie, aristocrate",2
armateur,"amateur, armature, armer",3
armature,"armateur, armoire",2
arme,"armer, armé, armée, arôme, alarme",5
armement,ardemment,1
armer,"arme, alarmer, amer, aimer, armurier",5
armoire,"armoirie, armature, arme, armée",4
armoirie,"armoire, armure",2
armure,armoirie,1
armurier,armer,1
armé,"armée, arme, aimé",3
armée,"armé, arme, armoire",3
arpenter,argenter,1
arquer,arguer,1
arracher,"arraché, arrimer, arriver, arroser, arrêter",5
arraché,"arracher, arrivé, arrosé, arrêté, arriéré",5
arranger,"arrimer, arriver, arroser, arrêter, arrondir",5
arrimer,"arriver, arracher, arranger",3
arrivage,"arrivant, arrière",2
arrivant,arrivage,1
arriver,"arrimer, arrivé, arracher, arranger",4
arrivé,"arrivée, arriver, arraché",3
arrivée,arrivé,1
arrière,"arriéré, arrivage",2
arrière-garde,arrière-salle,1
arrière-grand-mère,arrière-grand-père,1
arrière-grand-père,arrière-grand-mère,1
arrière-plan,arrière-train,1
arrière-salle,arrière-garde,1
arrière-train,arrière-plan,1
arriéré,"arrière, arrosé, arrêté, arraché",4
arrogance,"arrogant, arrosage",2
arrogant,arrogance,1
arrondi,arrondir,1
arrondir,"arrondi, arroser, arranger",3
arrosage,arrogance,1
arroser,"arrosé, arrondir, arracher, arranger",4
arrosé,"arroser, arraché, arriéré",3
arrêt,"arrêté, arrêter, arête",3
arrêter,"arrêt, arrêté, arête, arracher, arranger",5
arrêté,"arrêt, arrêter, arraché, arriéré",4
artiche,"article, artifice, artère",3
article,"artiche, articuler, artifice, artère",4
articuler,"articulé, article, artilleur",3
articulé,articuler,1
artifice,"artificiel, artiche, article, artiste",4
artificiel,artifice,1
artilleur,articuler,1
artisan,artisanal,1
artisanal,artisan,1
artiste,"artistique, artifice, artère",3
artistique,artiste,1
artère,"artiche, article, artiste",3
arête,"arrêter, arrêt",2
arôme,arme,1
ascendance,ascendant,1
ascendant,ascendance,1
asile,"aile, agile",2
asperge,"asperger, aspirine",2
asperger,asperge,1
aspirateur,aspirer,1
aspirer,aspirateur,1
aspirine,asperge,1
assaillant,assistant,1
assaillir,assouplir,1
assaisonner,assassiner,1
assassin,"assassiné, assassinat, assassiner",3
assassinat,"assassin, assassiné, assassiner",3
assassiner,"assassin, assassiné, assassinat, assaisonner",4
assassiné,"assassin, assassinat, assassiner",3
assemblage,assemblée,1
assembler,"assemblée, assener, assumer, assommer, assombrir",5
assemblée,"assembler, assemblage",2
assener,"assembler, asservir, assister, assiéger, associer",5
assentiment,assortiment,1
asseoir,"assortir, assoupir, assouvir, associer, assumer",5
asservir,"assener, assoupir, assurer, assourdir",4
assidûment,assurément,1
assiette,assise,1
assigner,"assimiler, assumer, assurer, associer, assommer",5
assimiler,"assigner, assister, assiéger, assumer, associer",5
assis,assise,1
assise,"assis, assiette",2
assistance,"assistant, assurance",2
assistant,"assistance, assommant, assaillant",3
assister,"assimiler, assener, assumer, assurer, associer",5
assiéger,"assiégé, assimiler, assener, assumer, assurer",5
assiégé,"assiéger, associé, assuré, assoiffé",4
associer,"associé, assoiffer, assortir, assoupir, assouvir",5
associé,"associer, assoiffé, assiégé, assuré",4
assoiffer,"assoiffé, associer, assommer, assigner, assister",5
assoiffé,"assoiffer, associé, assiégé",3
assombrir,"assommer, assortir, assoupir, assouvir, assouplir",5
assommant,assistant,1
assommer,"assombrir, assoiffer, assortir, assoupir, assouvir",5
assorti,assortir,1
assortiment,"assentiment, assurément",2
assortir,"assorti, assombrir, assouplir, associer, assommer",5
assoupi,"assoupir, assouplir",2
assoupir,"assoupi, assouplir, assouvir, assombrir, associer",5
assouplir,"assoupir, assoupi, assortir, assombrir, assaillir",5
assourdi,"assourdir, abasourdi",2
assourdir,"assourdi, abasourdir, assombrir, asservir, assurer",5
assouvir,"assoupir, assombrir, associer, assommer, asseoir",5
assumer,"assurer, assigner, assister, assiéger, associer",5
assurance,assistance,1
assurer,"assumer, assuré, assigner, assister, assiéger",5
assuré,"assurer, assiégé, associé",3
assurément,"assidûment, assortiment",2
assécher,"assener, assumer, assurer, assigner, assister",5
asticot,asticoter,1
asticoter,"asticot, astiquer",2
astiquer,asticoter,1
astre,"antre, autre",2
athlète,athée,1
athée,"athéisme, athlète",2
athéisme,athée,1
atome,atomique,1
atomique,"anatomique, atome",2
attabler,"atterrer, attester, attifer, attirer, attiser",5
attachant,"attachement, attenant, attirant, atténuant",4
attache,"attacher, attaché, attente",3
attachement,"attouchement, attachant",2
attacher,"attache, attaché, atteler, atterrer, attester",5
attaché,"attache, attacher, atténué",3
attaque,"attaquer, attente, attitude",3
attaquer,"attaque, attribuer, atteler, atterrer, attester",5
attarder,"attardé, atteler, attester, attifer, attiser",5
attardé,"attarder, atténué",2
atteindre,"attendre, atteinte, attente",3
atteint,"atteinte, attente, attentat, attirant, attribut",5
atteinte,"atteint, attente, atteindre, attelage, attendre",5
attelage,"attente, atteinte, attendre",3
atteler,"atterrir, attacher, attaquer, attarder, attraper",5
attenant,"attentat, attachant, attrait",3
attendre,"atteindre, attendrir, attendu, atteinte, attelage",5
attendrir,"attendre, atterrer",2
attendrissant,attendrissement,1
attendrissement,attendrissant,1
attendu,"attendre, attente",2
attentat,"attente, attentif, attenant, atteint, atténuant",5
attente,"attentat, atteinte, attentif, attendu, atteint",5
attentif,"attention, attente, attentat",3
attention,"attentif, attraction",2
atterrer,"atterrir, attifer, attiser, attendrir, attabler",5
atterrir,"atterrer, atteler, attester, attirer, attarder",5
attester,"attrister, atterrir, attifer, attirer, attabler",5
attifer,"attirer, attiser, atterrer, attester, attabler",5
attirail,attirant,1
attirance,attirant,1
attirant,"attirance, attirail, attachant, atténuant, atteint",5
attirer,"attifer, attiser, atterrir, attester, attabler",5
attiser,"attifer, attirer, atterrer, attabler, attacher",5
attitude,"altitude, aptitude, attaque",3
attouchement,"attachement, accouchement, attroupement",3
attraction,"abstraction, attribution, attention",3
attrait,"attribut, attenant, atteint",3
attraper,"attribuer, attriquer, attrister, atteler, atterrer",5
attribuer,"attriquer, attribut, attraper, attrouper, attaquer",5
attribut,"attribuer, attrait, atteint, attirant",4
attribution,attraction,1
attriquer,"attribuer, attraper, attrouper, atténuer, attifer",5
attrister,"attester, attraper, attrouper, attifer, attirer",5
attroupement,attouchement,1
attrouper,"attribuer, attriquer, attrister, attaquer, atténuer",5
atténuant,"attirant, attachant, attentat",3
atténuer,"atténué, attribuer, attriquer, atteler, atterrer",5
atténué,"atténuer, attaché, attardé",3
au-dedans,"au-dehors, au-dessus",2
au-dehors,"au-dedans, au-dessus, au-dessous",3
au-dessous,"au-dessus, au-dehors",2
au-dessus,"au-dessous, au-dedans, au-dehors",3
aubain,aubaine,1
aubaine,"aubain, aube, auberge",3
aube,"auberge, auge, aubaine",3
auberge,"aubergiste, aube, aubaine",3
aubergiste,auberge,1
aucun,"aucune, aucuns",2
aucune,"aucun, aucuns",2
aucuns,"aucun, aucune",2
audace,"audience, audible",2
audible,"audience, audace",2
audience,"audible, audace",2
audition,addition,1
auge,"aube, ange, auguste",3
augmentation,alimentation,1
augure,augurer,1
augurer,augure,1
auguste,auge,1
auprès,après,1
auréole,auréoler,1
auréoler,auréole,1
autant,antan,1
auteur,"autour, acteur, autocar",3
authentique,automatique,1
auto,autour,1
autobus,autres,1
autocar,auteur,1
automate,"automatique, autoroute, autonome",3
automatique,"automate, authentique",2
automnal,automne,1
automne,"automnal, autonome, autonomie, autre",4
automobile,"automobiliste, autonomie",2
automobiliste,automobile,1
autonome,"autonomie, automne, automate, autoroute",4
autonomie,"autonome, automne, automobile, autoroute",4
autoroute,"automate, autonome, autonomie",3
autour,"auteur, auto",2
autre,"autres, antre, astre, autruche, automne",5
autrefois,autres,1
autres,"autre, autrefois, autobus",3
autruche,autre,1
auvent,auvergnat,1
auvergnat,auvent,1
auxquelles,auxquels,1
auxquels,auxquelles,1
avachi,avachir,1
avachir,"avachi, avaler, avatar, avancer",4
aval,avaler,1
avalanche,"avance, avancée",2
avaler,"aval, avachir",2
avance,"avancer, avancé, avancée, avalanche, avantage",5
avancement,agencement,1
avancer,"avance, avancé, avantager, avatar, avachir",5
avancé,"avancée, avance, avancer",3
avancée,"avancé, avance, avalanche, avantage, avare",5
avant,amant,1
avant-garde,avant-guerre,1
avant-guerre,avant-garde,1
avant-hier,avantager,1
avantage,"avantager, avantageux, avance, avancée",4
avantager,"avantage, avantageux, avant-hier, avancer, avatar",5
avantageux,"avantage, avantager",2
avare,avancée,1
avarice,"avarié, avancée",2
avarié,avarice,1
avatar,"avantager, avachir, avancer",3
avec,aveu,1
avenant,aveuglant,1
avenir,advenir,1
aventure,"aventurer, aventureux, aventurier",3
aventurer,"aventure, aventurier, aventureux",3
aventureux,"aventure, aventurer",2
aventurier,"aventurer, aventure",2
avenue,aveugle,1
averse,"adverse, aveugle",2
averti,avertir,1
avertir,averti,1
aveu,avec,1
aveuglant,"aveuglement, aveuglément, avenant",3
aveugle,"aveugler, avenue, averse",3
aveuglement,"aveuglément, aveuglant",2
aveugler,aveugle,1
aveuglément,"aveuglement, aveuglant",2
aviateur,"aviser, aviver",2
aviation,"avion, aviron",2
avide,"aide, acide, aride",3
avidité,"aviné, avisé",2
aviné,"avisé, avidité",2
avion,"aviron, aviation",2
aviron,"avion, aviation",2
avis,"aviso, avisé, aviser, anis",4
aviser,"aviver, avis, aviateur",3
aviso,"avis, avisé",2
avisé,"avis, aviso, aviné, aisé, avidité",5
aviver,"aviser, aviateur",2
avoir,avorter,1
avorter,avoir,1
avérer,aérer,1
aérer,avérer,1
aérogare,aéroplane,1
aéroplane,aérogare,1
aéré,acéré,1
aîné,aine,1
baba,baby,1
babine,"bibine, bobine",2
babouche,"babouchka, bouche",2
babouchka,babouche,1
baby,baba,1
bader,"bander, barder, balader, baser, baver",5
badin,bain,1
bafouer,"bafoué, bafouiller",2
bafouille,"bafouiller, bouille",2
bafouiller,"bafouille, barbouiller, brouiller, bafouer",4
bafoué,bafouer,1
bagage,bagnole,1
bagarre,"bagarrer, barre, bagne, bague, bagnole",5
bagarrer,"bagarre, barrer",2
bagne,"bague, bagarre",2
bagnole,"bignole, bagage, bague, bagarre",4
bague,"blague, bagne, baguette, bagarre, bagnole",5
baguette,"braguette, bague",2
baie,"bail, bain, baise, base, bave",5
baignade,baignoire,1
baigner,baigneur,1
baigneur,"baigner, baiser, baisser",3
baignoire,baignade,1
bail,"baie, bain, baril",3
bain,"baie, bail, badin, brin",4
baise,"baiser, baisse, baisser, braise, baie",5
baiser,"baisser, baise, baliser, baser, baisse",5
baisse,"baisser, baise, basse, baiser",4
baisser,"baisse, baiser, baise, baigneur",4
balade,"balader, baladeur, baleine",3
balader,"balade, baladeur, balayer, bader, balancier",5
baladeur,"balader, balayeur, balade, balancer, baliser",5
balafre,"balle, balte, baleine",3
balance,"balancer, balancé, balancier, balle, balte",5
balancer,"balance, balancier, balancé, baladeur, balayeur",5
balancier,"balancer, balance, balader, balayer, balbutier",5
balancé,"balance, balancer",2
balayer,"balayeur, balader, balancier",3
balayeur,"balayer, baladeur, balancer, baliser",4
balbutier,"balancier, ballotter",2
balcon,ballon,1
baleine,"ballerine, balle, balte, balade, balafre",5
baliser,"baiser, balancer, baladeur, balayeur",4
ballant,ballast,1
ballast,ballant,1
balle,"ballet, balte, bille, bulle, baleine",5
ballerine,baleine,1
ballet,"balle, ballot, billet",3
ballon,"ballot, balcon, baluchon",3
ballot,"ballon, ballet, billot",3
ballotter,balbutier,1
balte,"balle, balafre, balance, baleine",4
baluchon,ballon,1
banal,"bancal, banane",2
banane,banal,1
