german_word,english_translation,german_sentence,english_sentence
"die Höhe, -n",hight,"Mein Tisch hat die Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m.","My table has the dimensions: Length: 1.20 m, width: 0.60 m, height: 0.80 m."
höchstens,at the most,Ich habe wenig Zeit. Ich kann höchstens eine Viertelstunde bleiben.,I have little time. I can stay no more than fifteen minutes.
"die Hochzeit, -en",wedding,Claudia und Peter wollen ihre Hochzeit groß feiern.,Claudia and Peter want to celebrate their wedding big.
"der Hof, -""e",yard,Die Kinder spielen am liebsten im Hof.,The children like to play in the yard.
"der Bauernhof, -""e",farm,Meine Großeltern hatten einen Bauernhof.,My grandparents had a farm.
"hoffen, hofft, hoffte, hat gehofft",to hope,"Ich hoffe, dass ihr zu meinem Geburtstag kommen könnt.",I hope you can come for my birthday.
hoffentlich,hopefully,Hoffentlich hat unser Zug keine Verspätung.,Hopefully our train will not be delayed.
"die Hoffnung, -en",hope,Man darf die Hoffnung nicht verlieren.,One must not lose hope.
höflich,polite,Unser Nachbar ist sehr höflich. Er sagt immer als erster „Guten Tag“.,"Our neighbor is very polite. He always says ""good day"" first."
"holen, holt, holte, hat geholt",to get,Soll ich uns was zu trinken holen?,Should I get something to drink?
"das Holz, -""er",wood,Möchten Sie ein Regal aus Holz oder aus Metall?,Do you want a wooden or metal shelf?
"der Honig, -e",honey,Ich esse gern Brötchen mit Honig und Butter zum Frühstück.,I like to eat rolls with honey and butter for breakfast.
"hören, hört, hörte, hat gehört",to hear,Ich kann nicht mehr so gut hören.,I can not hear so well anymore.
"die Hose, -n",trousers,Können Sie die Hose etwas kürzer machen?,Can you make the pants a little shorter?
"das Hotel, -s",hotel,Im Urlaub sind wir in einem Hotel am Meer.,On holiday we are in a hotel by the sea.
hübsch,"pretty, nice",Wir haben eine hübsche Wohnung gefunden.,We found a nice apartment.
"das Hühnchen, -",tiny female chicken,Zum Mittagessen gibt es Hühnchen mit Reis.,For lunch there are chicken with rice.
der Humor (Sg.),humor,"Wir mögen Paul, weil er so viel Humor hat.",We like Paul because he has so much humor.
"der Hund, -e",dog,Hab keine Angst. Der Hund tut dir nichts.,Have no fear. The dog does nothing to you.
der Hunger (Sg.),hunger,Ich habe keinen Hunger.,I'm not hungry.
hungrig,hungry,Ich bin sehr hungrig.,I am very hungry.
"hupen, hupt, hupte, hat gehupt",to hoot,Hier ist ein Krankenhaus. Hier darfst du nicht hupen.,Here is a hospital. You must not honk here.
"husten, hustet, hustete, hat gehustet",to cough,Der Junge hat die ganze Nacht gehustet.,The boy coughed all night.
"der Husten, -",the cough,Haben Sie ein Medikament gegen Husten?,Do you have a cure for cough?
"der Hut, -""e",hat,Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.,You should not go to the sun without hat in summer.
"der ICE, -s (Inter City Express)",intercity express train,Ich fahre lieber mit dem ICE; der ist schneller als die anderen Züge.,I prefer to travel by ICE; it's faster than the other trains.
ideal,ideal,Eine Wohnung mit Garten wäre für uns ideal.,An apartment with a garden would be ideal for us.
"die Idee, -n",idea,Du willst ein Picknick machen? Ich finde die Idee toll.,You want to have a picnic? I think the idea is great.
illegal,illegal,"Ohne Steuerkarte zu arbeiten ist illegal. Wenn es herauskommt, musst du Strafe zahlen.","Working without a tax card is illegal. If it comes out, you have to pay a fine."
immer,"always, still",Frau Bast kommt immer zu spät.,Mrs. Bast always comes too late.
"der Import, -e",import,"Im dritten Stock ist die Firma Schmidt &amp; Co, Import und Export.","On the third floor is the company Schmidt &amp; Co, Import and Export."
in,"in, into",Ich wohne in Frankfurt.,I live in frankfurt.
"impfen, impft, impfte, hat geimpft",vaccinate,Sie sollten sich gegen Grippe impfen lassen.,You should get vaccinated against the flu.
"die Industrie, -n",industry,In dieser Gegend gibt es viel Industrie.,There is a lot of industry in this area.
"das Industriegebiet, -e",industrial area,Die Autowerkstatt ist im Industriegebiet Ost.,The auto repair shop is in the industrial area east.
"die Infektion, -en",infection,Sie haben eine Infektion. Sie müssen Tabletten nehmen.,You have an infection. You have to take pills.
"informieren, informiert, informierte, hat informiert",to inform,Wir informieren Sie rechtzeitig über die neuen Prüfungstermine.,We will inform you in good time about the new exam dates.
"die Information, -en",information,Bitte lesen Sie diese Informationen genau.,Please read this information carefully.
"der Ingenieur, -e",engineer,Hans will Bauingenieur werden.,Hans wants to become a civil engineer.
"der Inhalt, -e",contents,Geben Sie den Inhalt der Packung in einen Liter kochendes Wasser.,Put the contents of the pack in a liter of boiling water.
inklusive,"inclusive, inclusive of",Der Zimmerpreis ist inklusive Frühstück.,The room rate is including breakfast.
innen,inside,Der Lichtschalter ist innen links.,The light switch is on the left inside.
"die Innenstadt, -""e",downtown,Direkt in der Innenstadt kriegst du keinen Parkplatz.,Right in the city center you will not get a parking space.
inner-,"inner, internal","Wir müssen Sie untersuchen. - Es kann sein, dass Sie innere Verletzungen haben.",We have to examine you. - You may have internal injuries.
innerhalb,"within, inside",Diese Fahrkarte gilt nur innerhalb der Stadt.,This ticket is only valid within the city.
"die Insel, -n",island,Ich würde dieses Mal gern auf einer Insel Ferien machen.,I would like to vacation on an island this time.
insgesamt,"a total of, total",Insgesamt haben sich 20 Teilnehmer für die Prüfung angemeldet.,A total of 20 participants have registered for the exam.
"installieren, installiert, installierte, hat installiert",to install,"Können Sie mir helfen, meinen Computer zu installieren?",Can you help me to install my computer?
"das Institut, -e",institute,Ich besuche einen Sprachkurs in einem kleinen Spracheninstitut.,I attend a language course in a small language institute.
"das Instrument, -e",instrument,Ich spiele Klavier. Spielen Sie auch ein Musikinstrument?,I play piano. Do you also play a musical instrument?
"integrieren, integriert, integrierte, hat integriert",to integrate,Alis Kinder leben schon lange hier und sind total integriert.,Ali's children have been living here for a long time and are totally integrated.
"die Integration, -en",integration,Gute Deutschkenntnisse sollen bei der Integration helfen.,Good knowledge of German should help with the integration.
"der Integrationskurs, -e",integration course,Die Volkshochschule bietet im Herbst wieder Integrationskurse an.,The Volkshochschule offers integration courses in the autumn.
intelligent,intelligent,Unsere Tochter ist sehr intelligent. - Sie kann sehr gut rechnen.,Our daughter is very intelligent. - She can count very well.
"die Intelligenz, -en",intelligence,Meine Kinder haben in der Schule einen Intelligenztest gemacht.,My kids did an intelligence test at school.
intensiv,intensiv,Ich möchte intensiv Deutsch lernen.,I would like to learn German intensively.
"der Intensivkurs, -e",intensive course,Der Intensivkurs findet täglich von 9 bis 12 Uhr statt.,The intensive course takes place daily from 9 to 12 o'clock.
"interessieren, interessiert, interessierte, hat interessiert/ist interessiert",to interest,Das Thema Kindererziehung interessiert mich sehr.,The topic of parenting interests me very much.
interessant,interesting,Ich habe einen interessanten Bericht gelesen.,I read an interesting report.
"das Interesse, -n",interest,"Ich habe viele Interessen, Sport, Lesen, Handarbeit, Tanzen.","I have many interests, sports, reading, handicraft, dancing."
interkulturell,intercultural,Wir haben in der Sprachschule ein interkulturelles Fest gefeiert.,We celebrated an intercultural festival in the language school.
international,international,"Die Teilnehmenden in unserem Kurs sind ganz international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China ...","The participants in our course are very international: Silvana comes from Italy, Conchi from Spain, Yin from China ..."
das Internet (Sg.),internet,Im Internet findest du auch viele Übungen zum Selbstlernen.,On the Internet you will also find many self-learning exercises.
"der Internetanschluss, -""e",internet connection,Wir haben seit einer Woche einen Internetanschluss.,We have an internet connection for a week.
"das Internetcafé, -s",internet cafe,"Wenn du selbst kein Internet hast, geh doch einfach ins Internetcafé.","If you do not have internet, just go to the internet café."
"das Interview, -s",interview,Ich habe im Fernsehen ein interessantes Interview mit zwei Schauspielern gesehen.,I saw an interesting interview with two actors on television.
inzwischen,meanwhile,Herr Müller kommt gleich zurück. Sie können inzwischen in seinem Büro warten.,Mr. Müller will be back soon. You can now wait in his office.
irgend-/irgendein-,"some, any","Was für einen Saft möchten Sie? - Ganz egal, irgendeinen.","What kind of juice do you want? - No matter, any."
irgendwann,sometime,Ich habe Sie irgendwann schon mal gesehen.,I've seen you before.
"irren, irrt, irrte, hat geirrt",be wrong,"Du irrst dich. Das Auto war nicht grün, sondern rot.","You are wrong. The car was not green, but red."
"isolieren, isoliert, isolierte, hat isoliert",isolate,"Wenn Sie Ihre Wohnung gut isolieren, können Sie Energie sparen.","If you insulate your apartment well, you can save energy."
ja,yes,Sind Sie verheiratet? - Ja.,Are you married? - Yes.
"die Jacke, -n",jacket,Zieh dir eine Jacke an. Es ist kalt.,Put on a jacket. It is cold.
"die Jahreskarte, -n",annual pass,Ich habe für die Fahrt zur Arbeit eine Jahreskarte.,I have an annual pass for the trip to work.
der Jazz (Sg.),jazz,Mein Freund hört vor allem Jazz.,My friend mainly listens to jazz.
je,"ever, each, every",Die Pullover kosten je nach Qualität zwischen 40 und 60 Euro.,"Depending on the quality, the sweaters cost between 40 and 60 euros."
je ... desto ...,the ... the,"Je länger ich Deutsch lerne, desto besser kann ich verstehen.","The longer I learn German, the better I can understand."
die Jeans (Pl.),jeans,Nicht nur junge Leute tragen Jeans.,Not only young people wear jeans.
"jeder, jedes, jede",every,Das Restaurant hat jeden Tag geöffnet.,The restaurant is open every day.
jederzeit,at any time,Sie können mich jederzeit anrufen.,You can call me anytime.
jedes Mal,every time,Inge erzählt die Geschichte jedes Mal anders.,Inge tells the story differently every time.
jemals,ever,"Hast du jemals von dem Problem gehört? - Nein, nie.",Have you ever heard of the problem? - No never.
jemand,someone,Hat jemand einen Kuli für mich?,Does anyone have a pen for me?
jetzt,now,Ich muss jetzt gehen.,I have to go now.
jeweils,each time,Der Kurs findet jeweils montags und donnerstags um 18 Uhr statt.,The course takes place on Mondays and Thursdays at 6 pm.
"jobben, jobbt, jobbte, hat gejobbt","to work, have a job",Viele Schüler und Studenten jobben in den Ferien.,Many students work during the holidays.
"der Job, -s",job,Ich suche einen neuen Job.,I am looking for a new job.
"joggen, joggt, joggte, ist gejoggt",to jog,Wir gehen dreimal pro Woche joggen.,We go jogging three times a week.
"der Journalist, -en",journalist,Mein Sohn will Journalist werden.,My son wants to be a journalist.
die Jugend (Sg.),youth,In meiner Jugend habe ich mich sehr für Musik interessiert.,In my youth I was very interested in music.
"das Jugendamt, -""er",youth welfare office,Nächste Woche habe ich einen Termin beim Jugendamt.,Next week I have an appointment with the youth welfare office.
"der Jugendliche, -n","young person, teenager",Viele Jugendliche gehen gerne in die Disko.,Many teenagers like to go to the disco.
jung,young,Für diesen Film bist du noch zu jung.,You are still too young for this movie.
"der Junge, -n",boy,In der Klasse sind 15 Jungen und 10 Mädchen.,There are 15 boys and 10 girls in the class.
"die Kabine, -n","cabin, cubicle",Gehen Sie bitte in Kabine 3.,Please go to cabin 3.
"der Kaffee, -s",coffee,Bring bitte noch eine Packung Kaffee mit.,Please bring a pack of coffee with you.
"der Kalender, -",calendar,Ich habe den Termin in meinem Kalender notiert.,I have noted the appointment in my calendar.
kalt,cold,Es ist kalt heute.,It's cold today.
die Kälte (Sg.),"coldness, cold (weather)",Bei dieser Kälte fahre ich nicht mit dem Fahrrad.,"In this cold, I do not ride a bike."
"die Kamera, -s",camera,Ich habe eine ganz neue Kamera.,I have a brand new camera.
"kämpfen, kämpft, kämpfte, hat gekämpft",to fight,Die Gewerkschaften kämpfen für höhere Löhne.,The unions are fighting for higher wages.
"der Kampf, -""e","struggle, fight",Im Schulbus gibt es immer einen Kampf um die Sitzplätze.,There is always a fight for seats in the school bus.
"der Kanal, -""e",canal,Mit Kabel bekommen Sie über 30 Fernsehkanäle.,With cable you get over 30 TV channels.
"die Kanne, -n",pot,"Das ist aber eine schöne Teekanne. - Ja, die ist aus China.","But that's a nice teapot. - Yes, she is from China."
"die Kantine, -n",cantine,In unserer Kantine kann man günstig essen.,In our canteen you can eat cheap.
"das Kapitel, -",chapter,"Die Lehrerin hat gesagt, wir sollen zwei Kapitel im Buch wiederholen.",The teacher said we should repeat two chapters in the book.
kaputt,broken,Unsere Waschmaschine ist kaputt.,Our washing machine is broken.
kaputtgehen,to get broken,Pass bitte mit diesem Glas auf.,Please take care with this glass.
kaputtmachen,to break,Wer hat die Lampe kaputtgemacht?,Who broke the lamp?
"die Karriere, -n",career,Mein Bruder hat große Pläne.,My brother has big plans.
"die Karte, -n","card, menu, ticket, map",Schreibst du mir eine Karte aus dem Urlaub?,Are you writing me a holiday card?
"die Kartoffel, -n",potato,Kann ich bitte noch Kartoffeln bekommen?,Can I still get some potatoes?
"der Käse, -",cheese,Möchtest du Käse aufs Brot?,Do you want cheese on the bread?
"die Kasse, -n","till, cash register",Zahlen Sie bitte an der Kasse.,Please pay at the cash register.
"der Kasten, -""","case, box, crate",Bitte bring einen Kasten Mineralwasser mit.,Please bring a box of mineral water.
"der Katalog, -e",catalogue,Ich habe mir ein Kleid aus dem Katalog bestellt.,I ordered a dress from the catalog.
"die Katastrophe, -n",catastrophe,Der Urlaub war eine Katastrophe. Es hat nur geregnet.,The holiday was a disaster. It only rained.
"die Katze, -n",cat,Meine Tochter wünscht sich eine Katze.,My daughter wishes for a cat.
"(sich etwas) kaufen, kauft, kaufte, hat gekauft",to buy,Im Supermarkt kauft man sehr günstig.,In the supermarket you buy very cheap.
"der Kauf, -""e",buy,Der neue Esstisch war ein guter Kauf.,The new dining table was a good buy.
"der Käufer, -",buyer,Ich habe schon einen Käufer für den alten Tisch.,I already have a buyer for the old table.
"das Kaufhaus, -""er","department store, shopping center",Im Kaufhaus können Sie fast alles kaufen.,In the department store you can buy almost everything.
kaum,"hardly, scarcely",Ich kann Sie kaum verstehen. Bitte sprechen Sie lauter.,I can barely understand you. Please speak louder.
kein,"no, not",Ich habe leider heute keine Zeit.,"Unfortunately, I have no time today."
"der Keller, -",cellar,Unser Keller ist nicht besonders groß.,Our cellar is not very big.
"der Kellner, -",waiter,Ich bin Kellner von Beruf.,I am a waiter by profession.
"kennen, kennt, kannte, hat gekannt",to know,Kennen Sie hier in der Nähe ein gemütliches Café?,Do you know a cozy café nearby?
die Kenntnisse (Pl.),knowledge,In vielen Berufen braucht man heute Sprachkenntnisse.,In many occupations today one needs language skills.
"kennenlernen, lernt kennen, lernte kennen, hat kennengelernt","to get to know, meet",Wo habt ihr euch kennengelernt?,Where did you meet?
"das Kennzeichen, -",number plate,Welches Kennzeichen hat Ihr Auto?,Which license plate does your car have?
"die Kerze, -n",candle,Für den Geburtstagstisch brauchen wir viele Blumen und Kerzen.,For the birthday table we need many flowers and candles.
"die Kette, -n",chain,Ich habe zum Geburtstag eine goldene Kette bekommen.,I got a golden chain for my birthday.
"das Kind, -er",child,Mein Bruder hat zwei Kinder.,My brother has two children.
"der Kindergarten, -""",Nursery school,Morgens bringe ich den Jungen in den Kindergarten.,In the morning I bring the boy to kindergarten.
"der Kinderwagen, -",stroller,Sven und Iris brauchen für das Baby einen Kinderwagen.,Sven and Iris need a stroller for the baby.
"die Kindheit, -en",childhood,In meiner Kindheit war ich oft auf dem Land bei meinen Großeltern.,"In my childhood, I was often out in the country with my grandparents."
"die Kindertagesstätte, -s",day care center,"Ich bringe vormittags mein Kind in die Kindertagesstätte, weil ich bis 13 Uhr arbeiten muss.",I bring my child to the daycare in the morning because I have to work until 1 o'clock.
"das Kino, -s",cinema,Wollen wir ins Kino gehen?,Do we want to go to the cinema?
"der Kiosk, -e",kiosk,Zeitungen bekommst du am Kiosk.,Newspapers are available at the kiosk.
"die Kirche, -n",church,Diese Kirche ist aus dem 12. Jahrhundert.,This church is from the 12th century.
"das Kissen, -",pillow,Ohne Kopfkissen kann ich nicht schlafen.,I can not sleep without pillows.
"klappen, klappt, klappte, hat geklappt",to work (well),Wie war die Reise? - Gut. Es hat alles prima geklappt.,How was the trip? - Good. Everything went very well.
klar,clear,"Sie müssen noch mehr Deutsch lernen. - Ja, das ist mir klar.","You have to learn more German. - Yeah, I know that."
"klären, klärt, klärte, hat geklärt",to clarrify,"Ich hoffe, wir können dieses Problem bald klären.",I hope we can solve this problem soon.
"die Klasse, -n",class,In unserer Klasse sind insgesamt 24 Schüler und Schülerinnen.,There are a total of 24 students in our class.
"die Klassenarbeit, -en",classwork,Meine Tochter schreibt heute eine Klassenarbeit.,My daughter is writing a class today.
klasse,"class, great",Ich finde unseren Lehrer klasse.,I think our teacher is great.
"das Klavier, -e",piano,Meine Tochter möchte Klavier spielen lernen.,My daughter wants to learn to play the piano.
"kleben, klebt, klebte, hat geklebt",to stick,Die Briefmarke klebt nicht mehr.,The stamp does not stick anymore.
"das Kleid, -er",dress,Ich habe mir ein neues Kleid gekauft.,I bought a new dress.
die Kleidung (Pl.),clothers,Hier brauchen Sie auch im Sommer warme Kleidung.,Here you also need warm clothes in summer.
klein,small,Unsere Wohnung ist klein.,Our apartment is small.
"klicken, klickt, klickte, hat geklickt",to click,"Wenn du die Datei öffnen willst, musst du mit der Maus zweimal klicken.","If you want to open the file, you have to click twice with the mouse."
"der Klick, - s",click,Ein Doppelklick mit der linken Maustaste.,Double-click with the left mouse button.
"das Klima, -ta/-te/-s",climate,"Alle sagen, dass sich das Klima ändert.",Everyone says the climate is changing.
"die Klimaanlage, -n",air conditioner,Im Sommer brauchen wir eine Klimaanlage.,In the summer we need air conditioning.
"klingeln, klingelt, klingelte, hat geklingelt",to ring,"Ich glaube, es hat an der Tür geklingelt.",I think it rang the doorbell.
"die Klingel, -n",door bell,Drück bitte auf die Klingel!,Please press the bell!
"klingen, klingt, klang, hat geklungen",sound,"Wollen wir einkaufen gehen und danach zusammen kochen? - Ja, das klingt gut.","Do we want to go shopping and cook together afterwards? - Yes, that sounds good."
"die Klinik, -en",clinic,"Ich muss in die Klinik, um meinen kranken Onkel zu besuchen.",I have to go to the clinic to visit my sick uncle.
"klopfen, klopft, klopfte, hat geklopft",to knock,Da klopft jemand ans Fenster.,There's someone knocking on the window.
"der Kloß, -""e",dumpling,"Möchten Sie zum Fleisch Kartoffeln oder Klöße? - Klöße, bitte.","Do you want potatoes or dumplings with meat? - Dumplings, please."
knapp,"tight, scarce, short, just",Mach schnell. Die Zeit ist knapp.,Make it quick. Time is short.
"die Kneipe, -n",pub,Kommst du mit in die Kneipe ein Bier trinken?,Will you come to the pub to have a beer?
"das Knie, -",knee,Ich habe mich am Knie verletzt. Jetzt kann ich nicht laufen.,I injured my knee. I can not walk now.
"der Knochen, -",bones,Ich bin hingefallen. Jetzt tun mir alle Knochen weh.,I fell. Now all my bones hurt.
"der Knopf, -""e",button,An meiner Jacke fehlt ein Knopf.,My jacket is missing a button.
"der Koch, -""e",cook,Ein Freund von mir ist Koch.,A friend of mine is a cook.
"kochen, kocht, kochte, hat gekocht",to cook,Ich koche gern.,I like cooking.
"der Koffer, -",suitcase,Ich habe den Koffer schon gepackt.,I have already packed the suitcase.
"der Kofferraum, -""e",trunk,Die Tasche geht nicht mehr in den Kofferraum.,The bag is no longer in the trunk.
"der Kollege, -n",colleague,Ich habe guten Kontakt zu meinen Kollegen.,I have good contact with my colleagues.
komisch,"strange, funny, odd",Das Essen schmeckt komisch. Probier mal.,The food tastes funny. Try it.
"kommen, kommt, kam, ist gekommen",to come,Woher kommen Sie? - Aus Frankreich.,Where are you from? - From France.
"die Kommunikation, -en",communication,Die Kommunikation zwischen den Abteilungen ist gut.,The communication between the departments is good.
komplett,completely,Ich habe den Termin komplett vergessen.,I completely forgot the appointment.
kompliziert,complicated,Die deutsche Sprache finde ich sehr kompliziert.,I find the German language very complicated.
"der Kompromiss, -e",compromise,Alle wollen etwas anderes. Wir müssen einen Kompromiss finden.,Everyone wants something different. We have to find a compromise.
"der König, -e",king,Der spanische König ist in Deutschland zu Besuch.,The Spanish king is visiting Germany.
"die Konkurrenz, -en",competition,Die Reparatur ist mir hier zu teuer.,The repair is too expensive for me here.
"können, kann, konnte, hat gekonnt/...können",to be able to,Ich kann den schweren Koffer nicht tragen.,I can not carry the heavy suitcase.
"das Konsulat, -e",consulate,Ein Visum bekommst du auch im Konsulat.,You can also get a visa at the consulate.
"der Kontakt, -e",contact,Ich habe wenig Kontakt zu meinen Kollegen.,I have little contact with my colleagues.
"das Konto, die Konten",account,Ich möchte ein Konto eröffnen.,I would like to open an account.
"das Girokonto, -en",current account,Mein Girokonto kostet gar nichts.,My checking account costs nothing.
kontrollieren,to control,Beim Auto müssen Sie regelmäßig das Öl kontrollieren.,With the car you must check the oil regularly.
"die Kontrolle, -n",control,An den Grenzen gibt es kaum noch Kontrollen.,At the borders there are hardly any controls.
"konzentrieren, konzentriert, konzentrierte, hat konzentriert",to concentrate,Bitte stör mich jetzt nicht. Ich muss mich auf meine Arbeit konzentrieren.,Please do not disturb me now. I have to concentrate on my work.
"das Konzert, -e",concert,Für das Konzert am Sonntag gibt es noch Karten.,There are still tickets for the concert on Sunday.
"der Kopf, -""e",head,Hans kann gut im Kopf rechnen.,Hans can count on it.
kopieren,to copy,Kann ich mir diesen Artikel kopieren?,Can I copy this article?
"die Kopie, -n",copy,Machst du mir bitte eine Kopie?,Will you make a copy please?
"der Körper, -",body,"Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.",The doctor says I have to do something for my body. B. swimming or riding a bicycle.
körperlich,physical,Körperliche Arbeit macht mir nichts aus.,Physical work does not bother me.
korrekt,correct,Ich habe die Rechnung geprüft. Alles ist korrekt.,I checked the bill. Everything is correct.
"korrigieren, korrigiert, korrigierte, hat korrigiert",to correct,Können Sie bitte meinen Brief korrigieren.,Can you please correct my letter.
die Kosmetik (Sg.),cosmetics,Die Kosmetikabteilung ist im Erdgeschoss.,The cosmetics department is on the ground floor.
"kosten, kostet, kostete, hat gekostet","to cost, taste",Wie viel kostet das T- Shirt? - 15 Euro.,How much is this t-shirt? - 15 euro.
die Kosten (Pl.),costs,Die Kosten für die Zahnbehandlung zahlt die Krankenkasse.,The cost of dental treatment is paid by the health insurance.
kostenlos,free,Diese Zeitschrift kostet nichts. Sie ist kostenlos.,This magazine costs nothing. It is free.
"das Kostüm, -e","costume, suit",Meine Frau trägt gerne Kostüme.,My wife likes to wear costumes.
"die Kraft, -""e",strength,Für diese Arbeit braucht man viel Kraft.,You need a lot of power for this work.
kräftig,strong,Mein Sohn ist kräftig. Er macht viel Sport und isst viel.,My son is strong. He does a lot of sports and eats a lot.
