german_word,english_translation,german_sentence,english_sentence
"die Wohngemeinschaft, -en","commune, shared flat",Früher habe ich in einer Wohngemeinschaft gewohnt.,I used to live in a shared flat.
"die Wohnung, -en","flat, apartment","Wir suchen eine möblierte Wohnung, möglichst im Zentrum.","We are looking for a furnished apartment, possibly in the center."
"das Wohnungsamt, -""er",housing office,Sie müssen aufs Wohnungsamt gehen.,You have to go to the housing office.
"das Wohnzimmer, -",living room,Wir sitzen im Wohnzimmer und sehen fern.,We are sitting in the living room watching TV.
"die Wolke, -n",cloud,Es sind viele Wolken am Himmel.,There are many clouds in the sky.
"die Wolle, -n",wool,Dieser Pullover ist aus reiner Wolle.,This sweater is made of pure wool.
"wollen, will, wollte, hat gewollt/ -wollen",to want,Peter will Arzt werden.,Peter wants to become a doctor.
worüber,over/ about what/ which,Worüber lachen Sie?,What are you laughing at?
worum,"over/ about which, what about/ around",Kann ich Herrn Meier sprechen? - Worum geht es denn?,Can I speak to Mr. Meier? - What is it about?
"das Wort, -""er / das Wort, -e",word,Ich kenne diese beiden Wörter nicht.,I do not know these two words.
"das Wörterbuch, -""er",dictionary,Ich muss das Wort im Wörterbuch nachschlagen.,I have to look up the word in the dictionary.
"die Wunde, -n",wound,Die Wunde müssen wir sofort verbinden.,We have to connect the wound immediately.
"wundern, wundert, wunderte, hat gewundert",surprise,"Es wundert mich, dass das Essen hier so günstig ist.",I'm surprised that the food here is so cheap.
"das Wunder, -",wonder,"Ich bin mit dem Fahrrad gestürzt. Es war ein Wunder, dass nichts Schlimmes passiert ist.",I crashed my bike. It was a miracle that nothing bad happened.
wunderbar,"wonderful, marvellous",Im ganzen Urlaub hatten wir wunderbares Wetter.,Throughout the holiday we had wonderful weather.
wunderschön,beautiful,Wir haben einen Ausflug gemacht. Es war wunderschön.,We made a trip. It was wonderful.
"wünschen, wünscht, wünschte, hat gewünscht",to wish,Ich wünsche Ihnen alles Gute.,I wish you all the best.
"der Wunsch, -""e",wish,Haben Sie sonst noch einen Wunsch?,Do you have any other wishes?
"die Wurst, -""e",sausage,Diese Wurst ist mir zu fett.,This sausage is too fat for me.
wütend,angry,Warum bist du so wütend?,Why are you so angry?
"die Zahl, -en",number,Können Sie die Zahl bitte wiederholen?,Can you please repeat the number?
"zahlen, zahlt, zahlte, hat gezahlt",numbers,"Herr Ober, zahlen bitte!","Mr. Ober, please pay!"
"die Zahlung, -en",payment,Bitte geben Sie bei der Zahlung die Rechnungsnummer an.,Please enter the invoice number when paying.
"zählen, zählt, zählte, hat gezählt",to count,Bitte zählen Sie das Wechselgeld sofort nach.,Please count the change immediately.
"der Zahn, -""e",tooth,Der Zahn tut mir schon lange weh.,The tooth hurts me a long time ago.
"die Zahnpasta / die Zahncreme, -en / -n",toothpaste,Die neue Zahnpasta riecht sehr gut.,The new toothpaste smells very good.
"das Zeichen, -",sign,"Bitte fangen Sie erst an, wenn ich Ihnen ein Zeichen gebe.",Please do not start until I give you a sign.
"das Verkehrszeichen, -",street sign,Meine Kinder lernen in der Schule gerade die Verkehrszeichen.,My children are currently learning the traffic signs at school.
"zeichnen, zeichnet, zeichnete, hat gezeichnet",to draw,Meine Tochter kann sehr gut zeichnen.,My daughter can draw very well.
"zeigen, zeigt, zeigte, hat gezeigt",to show,Zeig mir bitte deine Hausaufgaben.,Please show me your homework.
"die Zeit, -en",time,Ich habe heute keine Zeit.,I do not have time today.
"die Zeitarbeit, -en",temporary work,Ich habe einen Job bei einer Zeitarbeitsfirma bekommen.,I got a job at a temporary employment agency.
"der Zeitpunkt, -e",point in time,Er ist krank. Das ist kein guter Zeitpunkt für einen Besuch.,He is sick. This is not a good time to visit.
zurzeit,at the moment,Zurzeit habe ich sehr viel zu tun.,I'm very busy at the moment.
"die Zeitschrift, -en",magazine,Diese Zeitschrift kaufe ich jede Woche.,I buy this magazine every week.
"die Zeitung, -en",newspaper,Ich lese manchmal Zeitung.,I sometimes read the newspaper.
"das Zelt, -e",tent,Wir machen Camping- Urlaub und nehmen ein Zelt mit.,We go camping and take a tent.
zentral,central,Wir suchen eine Zweizimmerwohnung in zentraler Lage.,We are looking for a two-room apartment in a central location.
"das Zentrum, die Zentren",centre,Im Zentrum gibt es fast keine Parkplätze.,There are almost no parking spaces in the center.
"zerstören, zerstört, zerstörte, hat zerstört",to destroy,Der Sturm hat viele Häuser zerstört.,The storm destroyed many houses.
"das Zertifikat, -e",certificate,"Wenn ich die Prüfung schaffe, bekomme ich ein Zertifikat.","When I get the exam, I get a certificate."
"der Zettel, -",note,Hast du einen Zettel für mich? Ich muss etwas aufschreiben.,Do you have a note for me? I have to write something down.
das Zeug (Sg.) / -zeug,"stuff, gear",Was hast du mit meinen Sachen gemacht? - Ich habe dein ganzes Zeug in dein Zimmer getan.,What did you do with my things? - I put all your stuff in your room.
"der Zeuge, -n",witness,Die Polizei sucht noch Zeugen für den Unfall.,The police are still looking for witnesses for the accident.
"das Zeugnis, -se","certificate, report, reference","Wenn Sie die Prüfung schaffen, bekommen Sie ein Zeugnis.","If you pass the exam, you will receive a certificate."
"ziehen, zieht, zog, hat gezogen/ ist gezogen","to pull, move","Sie müssen ziehen, nicht drücken.","You have to pull, not push."
"das Ziel, -e","goal, aim",Ich will die Prüfung unbedingt schaffen. Das ist mein Ziel.,I really want to do the exam. That is my goal.
ziemlich,"fairly, rather",Ich bin ziemlich müde. Ich gehe ins Bett.,I am really tired. I go to bed.
"die Zigarette, -n",cigarette,Wie viele Zigaretten rauchst du am Tag?,How many cigarettes do you smoke a day?
"das Zimmer, -",room,Die Wohnung hat drei Zimmer.,The apartment has three rooms.
die Zinsen (Pl.),interest,Wie viele Zinsen bekomme ich für mein Sparkonto?,How much interest do I get for my savings account?
zirka/circa,"circa, approximately",Meine Wohnung ist zirka fünf Minuten vom Zentrum entfernt.,My apartment is about five minutes from the center.
"die Zitrone, -n",lemon,Ich hätte gern einen Tee mit Zitrone.,I would like a lemon tea.
"der Zoll, -""e",customs,Das war die Passkontrolle. Wir müssen jetzt noch durch den Zoll.,That was the passport control. We still have to go through customs.
"die Zone, -n",zone,Hier musst du langsam fahren. Das ist eine verkehrsberuhigte Zone.,Here you have to drive slowly. This is a traffic calmed zone.
"der Zoo, -s",zoo,Am Sonntag gehen wir mit den Kindern in den Zoo.,On Sunday we go to the zoo with the kids.
zu-,"to, on, by, too, for",Ich bringe Sie zum Bahnhof. / Wann sind Sie zu Hause?,I'll take you to the train station. / When are you at home?
"der Zucker, -",sugar,Nehmen Sie Zucker in den Tee?,Do you take sugar in the tea?
zuerst,first,Wer war zuerst? - Der Herr hier.,Who was first? - The gentleman here.
"der Zufall, -""e",coincidence,"So ein Zufall, dass ich dich hier treffe.",Such a coincidence that I meet you here.
zugehen,to shut,Die Tür geht nicht zu. Kannst du mir helfen?,The door is not closing. Can you help me?
"das Zuhause, -",home,Ich fühle mich hier wohl.,I feel good here.
"zuhören, hört zu, hörte zu, hat zugehört",to listen,Hör mir doch mal zu!,Listen to me!
"der Zuhörer, -",listener,Liebe Zuhörer. Ihre Meinung interessiert uns. Bitte rufen Sie an.,Dear listener. Your opinion matters. Please call.
die Zukunft (Sg.),future,Du musst mehr für die Schule lernen.,You have to learn more for the school.
zukünftig,in future,"Das ist Ihr zukünftiger Chef, Herr Weber.","This is your future boss, Mr. Weber."
"zulassen, lässt zu, ließ zu, hat zugelassen",allow,Lassen Sie bitte die Fenster zu.,Please allow the windows.
"die Zulassung, -en","admission, approval","Ihre Zulassung, bitte.","Your approval, please."
zuletzt,"finally, at last",Die Kleider packen wir zuletzt ein.,We finally pack the clothes.
"zumachen, macht zu, machte zu, hat zugemacht",to close,"Wenn es zieht, mache ich das Fenster zu.","If it pulls, I close the window."
zumindest,at least,"Ich möchte nicht in der Stadt wohnen, zumindest jetzt nicht, wenn die Kinder noch so klein sind.","I do not want to live in the city, at least not now, when the kids are so small."
"zunehmen, nimmt zu, nahm zu, hat zugenommen",to increase,Ich habe im Urlaub ein Kilo zugenommen.,I have gained a kilo on vacation.
"zurechtkommen, kommt zurecht, kam zurecht, ist zurechtgekommen","cope, manage",Soll ich Ihnen helfen? - Danke. Ich komme schon zurecht.,Can I help you? - Thank you. I can manage.
zurück/zurück-,back,Einmal Frankfurt und zurück!,Once Frankfurt and back!
"zusagen, sagt zu, sagte zu, hat zugesagt","to promise, accept",Meine Eltern haben uns zum Essen eingeladen. Ich habe zugesagt.,My parents invited us to dinner. I have agreed.
zusammen/zusammen-,together,Wir haben als Kinder oft zusammen gespielt.,We often played together as children.
die Zusammenarbeit (Sg.),"team work, collaboration",Sie sind der neue Kollege? Auf gute Zusammenarbeit!,You are the new colleague? Good cooperation!
"zusammenfassen, fasst zusammen, fasste zusammen, hat zusammengefasst",to summarize,Können Sie das bitte noch einmal kurz zusammenfassen?,Could you briefly summarize that?
zusätzlich,additional,Sie müssen in Zukunft eine Stunde zusätzlich arbeiten.,You will have to work an extra hour in the future.
"zuschauen, schaut zu, schaute zu, hat zugeschaut",to watch,"Willst du mitspielen? - Nein, ich schaue lieber nur zu.","Do you want to play with me? - No, I just prefer to watch."
"der Zuschauer, -",spectator,"Liebe Zuschauer, wir wünschen Ihnen gute Unterhaltung.","Dear spectators, we wish you good entertainment."
"zu sein, ist zu, war zu, ist zu gewesen",to be closed,Am Sonntag sind die die meisten Läden zu.,"On Sunday, most stores are closed."
"der Zustand, -""e",condition,"Als wir in die Wohnung eingezogen sind, war sie in sehr schlechtem Zustand.","When we moved into the apartment, she was in very bad shape."
zuständig,"competent, responsibe",Wir haben ein Problem mit der Heizung. Wer ist dafür zuständig?,We have a problem with the heating. Who is responsible for?
"die Zustimmung, -en",agreement,Wir brauchen vor der Klassenfahrt die Zustimmung der Eltern.,We need parental consent before the class trip.
zuverlässig,reliable,Der Kollege kommt bestimmt gleich. Er ist immer sehr zuverlässig.,The colleague will surely be the same. He is always very reliable.
"der Zuwanderer, -",immigrant,In Bremen leben besonders viele Zuwanderer aus der Türkei.,In Bremen especially many immigrants from Turkey live.
zwar,"to be sure, indeed","Diese Schuhe sind zwar teuer, aber gut.",These shoes are expensive but good.
"der Zweck, -e","purpose, aim","Ich glaube, es hat keinen Zweck, sich zu bewerben. Der Job ist sicher schon weg.",I think there is no point in applying. The job is already gone.
"zweifeln, zweifelt, zweifelte, hat gezweifelt",to doubt,"Ich zweifle nicht daran, dass Sie recht haben.",I do not doubt that you are right.
"die Zwiebel, -n",onion,Eine Zwiebel in kleine Stücke schneiden und zusammen mit dem Fleisch braten.,Cut an onion into small pieces and fry together with the meat.
"zwingen, zwingt, zwang, hat gezwungen",to force,"Ich zwinge meine Kinder nicht, wenn sie nicht essen wollen.",I do not force my children if they do not want to eat.
zwischen,"in between, between",Das Regal stellen wir zwischen die beiden Schränke.,We place the shelf between the two cabinets.
