german_word,english_translation,german_sentence,english_sentence
aha,Aha,"Ich gehe bald in Rente. - Aha, dann haben Sie ja viel Zeit für Ihre Hobbys.","I'm retiring soon. - Aha, then you have a lot of time for your hobbies."
"die Ahnung, -en","idea, suspicion","Ich hatte keine Ahnung, dass du heute Geburtstag hast.",I had no idea that you have a birthday today.
"die Aktion, -en",action,Die Regierung plant eine Aktion gegen das Rauchen.,The government is planning an action against smoking.
aktiv,active,Ich bin sehr aktiv und mache viel Sport.,I am very active and do a lot of sports.
"die Aktivität, -en",activity,In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.,"During the holidays, the city offers various leisure activities for children."
aktuell,current (now),Umweltschutz ist ein aktuelles Thema.,Environmental protection is a current topic.
"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",to accept,Ich kann diese Bedingungen nicht akzeptieren.,I can not accept these conditions.
"der Alarm, -e",alarm,Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,In case of fire alarm you are not allowed to use the lifts.
"der Alkohol, -e",alcohol,Du musst die Wunde mit Alkohol reinigen.,You have to clean the wound with alcohol.
all-,everything,Alles Gute!,All the best!
allein,alone,Ich gehe nicht gern allein spazieren.,I do not like to go for a walk alone.
aller,all,"Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.","Best of all, when you go to bed and sleep for a long time. Then you will get well soon."
allerdings,"admittedly, certainly","Sie können sich noch für den Kurs anmelden, allerdings nur noch bis morgen.","You can still register for the course, but only until tomorrow."
allgemein,general,Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.,In general I am very satisfied with my work.
"der Alltag, -e",daily routine,"Das ist mein Alltag: putzen, waschen, kochen.","This is my everyday life: cleaning, washing, cooking."
"das Alphabet, -e",alphabet,Wie viele Buchstaben hat das Alphabet Ihrer Sprache?,How many letters does the alphabet have in your language?
als,"when, as, than","Als mein Mann kam, war die Party schon zu Ende.","When my husband came, the party was over."
als ob,as if,"Der Chef tat so, als ob wir nie darüber gesprochen hätten.",The boss pretended we never talked about it.
also,"so, therefore","Also, die Sache ist so: ...","So, the thing is ..."
alt,old,Wie alt sind Sie?,How old are they?
"das Alter, -",age,Wir sind etwa im gleichen Alter.,We are about the same age.
"das Altenheim, -e","old people's home, retirement home",In Deutschland leben viele alte Leute in Altenheimen.,"In Germany, many old people live in retirement homes."
"das Altersheim, -e","old people's home, retirement home",Die Großeltern unserer Nachbarn sind im Altersheim.,The grandparents of our neighbors are in the retirement home.
an,on,Am Anfang war alles sehr schwierig.,In the beginning everything was very difficult.
"die Ampel, -n",traffic light,Dort an der Ampel kannst du über die Straße gehen.,There at the traffic light you can cross the street.
"das Amt, -""er",office,Die Ämter haben heute geschlossen.,The offices have closed today.
"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",to amuse oneself,Bei dem Fest haben wir uns sehr gut amüsiert.,We had a good time at the party.
"analysieren, analysiert, analysierte, hat analysiert",to analyse,Die Politiker analysieren die Situation auf dem Arbeitsmarkt.,The politicians analyze the situation on the job market.
"anbieten, bietet an, bot an, hat angeboten",to offer,Darf ich Ihnen etwas zu trinken anbieten?,May I offer you something to drink?
"das Angebot, -e",offer,Ich habe ein paar günstige Wohnungsangebote bekommen.,I got a few cheap housing offers.
ander-,other,Die anderen sind schon nach Hause gegangen.,The others have already gone home.
andererseits,on the other hand,Tarek will zwar studieren. Andererseits möchte er aber auch gleich Geld verdienen.,"Tarek wants to study. On the other hand, he also wants to earn money right away."
"ändern, ändert, änderte, hat geändert",to change,Das Wetter hat sich geändert.,The weather has changed.
"die Änderung, -en","modification, change",Es gibt eine Programmänderung.,There is a program change.
anders,different,Anders geht das leider nicht.,"Unfortunately, that is not possible."
"anerkennen, erkennt an, erkannte an, hat anerkannt",to recognize,Meine Ausbildung wird hier nicht anerkannt.,My education is not recognized here.
"anfangen, fängt an, fing an, hat angefangen",to begin,Wann fängst du mit der Arbeit an?,When do you start working?
"der Anfang, -""e",beginning,Wie war der Film? - Ich habe nur den Anfang gesehen.,How was the movie? - I saw only the beginning.
anfangs,at/ in the beginning,Anfangs ging alles gut.,At first everything went well.
"die Angabe,-n","information, specification","Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.","We need the following information from you: name, address, date of birth."
"angeben, gibt an, gab an, hat angegeben",to boast,Bitte geben Sie Ihre genaue Adresse an.,Please enter your exact address.
"der Angehörige, -n","relative (cousin, etc)",Wir dürfen nur Familienangehörigen Auskunft geben.,We may only provide information to family members.
angenehm,pleasant,Wir wünschen Ihnen eine angenehme Reise.,We wish you a pleasant journey.
"die Angst, -""e",fear,Du brauchst keine Angst zu haben. Der Hund tut dir nichts.,You do not have to be scared. The dog does nothing to you.
ängstlich,"nervous, worried, timid",Meine Tochter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.,My daughter is a little scared. She does not like to go alone on the street.
"anhaben, hat an, hatte an, hat angehabt",to have on,Gestern hatte Julia ein rotes Kleid an.,Yesterday Julia was wearing a red dress.
"ankommen, kommt an, kam an, ist angekommen",to arrive,Wann kommt der Zug in Hamburg an?,When does the train arrive in Hamburg?
"die Ankunft, ""-e",arrival,"Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.","The departure is at 0.55 clock, the arrival at 8.07 clock."
"die Anlage, -n","music system, attachment, investment",Meine Musikanlage ist kaputt.,My music system is broken.
"anmelden, meldet an, meldete an, hat angemeldet, angemeldet sein","to announce, make an appointment",Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.,You absolutely have to register in advance for this course.
"die Anmeldung, -en","appointment, announcement",Wo bekomme ich die Formulare für die Anmeldung?,Where can I get the registration forms?
"die Anrede, -n",form of address,Du darfst im Brief die Anrede nicht vergessen.,You must not forget the salutation in the letter.
"anrufen, ruft an, rief an, hat angerufen","to telephone, call, call out",Ich rufe Sie heute Abend an.,I'll call you tonight.
"der Anruf, -e",call,Ich warte auf einen Anruf aus Berlin.,I'm waiting for a call from Berlin.
"der Anrufbeantworter, -",answering machine,Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,I have spoken to you on the answering machine.
"die Ansage, -n",announcement,Achten Sie auf die Ansage am Bahnsteig.,Pay attention to the announcement on the platform.
"anschaffen, schafft an, schaffte an, hat angeschafft",to purchase,Wir haben uns neue Möbel angeschafft.,We bought new furniture.
"anschließen, schließt an, schloss an, hat angeschlossen",to connect,Wo kann ich den Computer anschließen?,Where can I connect the computer?
"der Anschluss, -""e","connection (TV, internet)",In Mannheim haben Sie Anschluss nach Saarbrücken.,In Mannheim you have connection to Saarbrücken.
"anschnallen, schnallt an, schnallte an, hat angeschnallt","to strap in, fasten seat belt","Vergiss nicht, dich anzuschnallen!",Do not forget to strap on!
"ansehen, sieht an, sah an, hat angesehen",to look at,Warum siehst du mich so erschrocken an?,Why are you looking at me so startled?
"ansprechen, spricht an, sprach an, hat angesprochen",to speak to,Gestern hat mich die neue Mieterin im Treppenhaus angesprochen.,"Yesterday, the new tenant in the stairwell addressed me."
"der Anspruch, - ""e",claim,Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,"You live in the city center. Therefore, you are not entitled to fare."
"anstellen, stellt an, stellte an, hat angestellt","to turn on, employ",Können Sie bitte die Heizung anstellen?,Can you please turn on the heating?
"der Angestellte, -n",employee,Björn ist Angestellter in einem Reisebüro.,Björn is a clerk in a travel agency.
"sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt","to tire oneself out, strain oneself",Diese Arbeit strengt mich sehr an.,This work is very stressful for me.
anstrengend,exhausting,Ich finde diese Arbeit sehr anstrengend.,I find this work very exhausting.
"der Antrag, -""e","application, proposal, motion",Haben Sie schon einen Antrag auf Wohngeld gestellt?,Have you already applied for housing allowance?
"anwenden, wendet an, wandte an, hat angewandt/angewendet","to use, employ, apply",Diese Salbe muss man dreimal am Tag anwenden.,This ointment must be used three times a day.
anwesend,present,Bei dem Treffen waren alle Mitglieder anwesend.,At the meeting all members were present.
"antworten, antwortet, antwortete, hat geantwortet",to answer (to a person),Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.,Jorge has not responded to my letter for three weeks.
"die Antwort, -en",answer,Leider habe ich keine Antwort bekommen.,"Unfortunately, I did not get an answer."
"der Anwalt, -""e",lawyer,Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,I will not pay. I want to talk to my lawyer first.
"anzeigen, zeigt an, zeigte an, hat angezeigt","to report (to police), show, announce","Wenn Sie hier parken, zeige ich Sie an.","If you park here, I'll show you."
"die Anzeige, -n","advertisement, announcement","Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.","You are not allowed to park here, otherwise you will get an ad."
"anziehen, zieht an, zog an, hat angezogen",to dress,"Du musst dich wärmer anziehen, sonst erkältest du dich.","You have to dress warmer, otherwise you will catch cold."
"der Anzug, -""e",suit,Mein Mann hat sich einen neuen Anzug gekauft.,My husband bought a new suit.
"das Apartment, -s",apartment,Wir haben ein Ferienapartment gemietet.,We rented a holiday apartment.
"der Apfel, -""",apple,Möchtest du einen Apfel?,Do you want an apple?
"die Apotheke, -n",pharmacy,Ist hier in der Nähe eine Apotheke?,Is there a pharmacy nearby?
"der Apparat, -e",piece of apparatus,Können Sie den Apparat bitte etwas leiser stellen?,Can you please lower the volume?
"der Appetit, (Sg.)",appetite,Ich habe heute keinen Appetit. Ich mag nichts essen.,I have no appetite today. I do not like to eat.
"die Aprikose, -n",apricot,Schmecken dir die Aprikosen?,Do you taste the apricots?
"arbeiten, arbeitet, arbeitete, hat gearbeitet",to work,Meine Cousine arbeitet zu viel.,My cousin works too much.
"die Arbeit, -en",work,Wie gefällt dir deine Arbeit?,How do you like your work?
"der Arbeiter, -",worker,Björn ist Arbeiter bei Siemens.,Björn is a worker at Siemens.
"der Arbeitgeber, -",employer,Wer ist Ihr Arbeitgeber?,Who is your employer?
"der Arbeitnehmer, -",employee,Die Arbeitnehmer wählen einen Betriebsrat.,The workers elect a works council.
"die Arbeitserlaubnis, -se",work permit,Bitte bringen Sie Ihre Arbeitserlaubnis mit.,Please bring your work permit with you.
arbeitslos,unemployed,Viele Leute hier sind schon lange arbeitslos.,Many people here are unemployed for a long time.
"die Arbeitslosigkeit, -en",unemployment,Die Arbeitslosigkeit ist gesunken.,Unemployment has fallen.
"der Arbeitsplatz, -""e","workplace, job, place of work",In der Industrie gibt es immer weniger Arbeitsplätze.,There are fewer and fewer jobs in industry.
"die Arbeitsstelle, -n","workplace, job, place of work",Meine Frau hat eine neue Arbeitsstelle gefunden.,My wife has found a new job.
"ärgern, ärgert, ärgerte, hat geärgert",to annoy,Ärgern Sie sich nicht.,Do not fret.
der Ärger (Sg.),annoyance,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.,I had trouble in the office today. I quarreled with a colleague.
ärgerlich,annoying,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.,The train is late again. That is really annoying.
arm,poor,Bitte sammeln Sie Geld für arme Kinder!,Please collect money for poor children!
"der Arm, -e",arm,Mein Freund hat sich den Arm gebrochen.,My friend broke his arm.
"die Art, -en",type,Okra ist eine Gemüseart.,Okra is a vegetable.
"der Artikel, -",article,Ich habe einen interessanten Artikel gelesen.,I read an interesting article.
"der Arzt, -""e",doctor,Ich muss heute zum Arzt.,I have to go to the doctor today.
"das Asyl, -e",asylum,Viele Ausländer bitten in der Bundesrepublik um politisches Asyl.,Many foreigners ask for political asylum in the Federal Republic.
"atmen, atmet, atmete, hat geatmet",to breathe,Er hat eine Erkältung und kann nicht durch die Nase atmen.,He has a cold and can not breathe through his nose.
auch,also,Ich muss leider gehen. - Ich auch.,"Unfortunately, I have to go. - Me too."
auf,"on, in, on, up",Deine Brille liegt auf dem Schreibtisch.,Your glasses are on the desk.
"der Aufenthalt, -e","stay, delay, stop",Der Zug hat in München nur 20 Minuten Aufenthalt.,The train has only 20 minutes stay in Munich.
"auffallen, fällt auf, fiel auf, ist aufgefallen","to be noticeable, make an impression","Mir ist aufgefallen, dass Harriett ganz blass ist.",I noticed that Harriett is very pale.
"die Aufforderung, -en","order, invitation",Sie erhalten eine Zahlungsaufforderung.,You will receive a payment request.
"aufführen, führt auf, führte auf, hat aufgeführt","to perform, list, specify",Die Kinder führen zu Weihnachten ein Theaterstück auf.,The children perform a play at Christmas.
"die Aufgabe, -n","task, exercise",Hast du deine Hausaufgaben für die Schule schon gemacht?,Have you already done your homework for the school?
"aufgeben, gibt auf, gab auf, hat aufgegeben","to give in, give up",Ich habe auf der Post ein Paket aufgegeben.,I gave up a parcel at the post office.
"aufhalten, hält auf, hielt auf, hat aufgehalten","to detain, check, hold/ keep open","Hier können Sie sich aufhalten, bis Sie an der Reihe sind.",Here you can stay until it is your turn.
"aufheben, hebt auf, hob auf, hat aufgehoben","to raise, lift, wind up, abolish","Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.","Just leave the papers on the floor, I'll pick them up."
"aufhören, hört auf, hörte auf, hat aufgehört",to stop,Es hört nicht auf zu schneien.,It does not stop snowing.
"auflösen, löst auf, löste auf, hat aufgelöst",to dissolve,Die Tablette bitte in Wasser auflösen.,Please dissolve the tablet in water.
aufmerksam,attentive,Die Schülerin hörte aufmerksam zu.,The student listened attentively.
"aufnehmen, nimmt auf, nahm auf, hat aufgenommen","to receive, pick up, admit, include",Wir haben Aneta in unseren Verein aufgenommen.,We have added Aneta to our club.
"die Aufnahme, -n","picture, recording, admission",Bringen Sie bitte Ihre Röntgenaufnahmen zur nächsten Sprechstunde mit.,Please bring your x-rays with you to the next consultation.
"aufpassen, passt auf, passte auf, hat aufgepasst",to be careful,Tut mir leid. Da habe ich wohl nicht aufgepasst.,I'm sorry. I probably did not pay attention.
"aufräumen, räumt auf, räumte auf, hat aufgeräumt",to tidy up,Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.,"Before my vacation, I have to clean up my desk."
"aufregen, regt auf, regte auf, hat aufgeregt",to excite,"Es regt mich auf, dass ich schon wieder Überstunden machen muss.",It makes me feel that I have to work overtime again.
"auf sein, ist auf, war auf, ist auf gewesen",to be up,Ich bin schon seit zwei Stunden auf.,I've been up for two hours.
"aufstehen, steht auf, stand auf, ist aufgestanden",to get up,Ich stehe jeden Morgen um sechs Uhr auf.,I get up at six every morning.
"der Auftrag, -""e","order, commission, mission",Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief abgeben.,I am on behalf of Mrs. Müller and should give you this letter.
"auftreten, tritt auf, trat auf, ist aufgetreten",occur,Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.,Next week a famous music group will appear in the Stadthalle.
"aufwachen, wacht auf, wachte auf, ist aufgewacht",to wake up,Von dem Lärm bin ich aufgewacht.,I woke up from the noise.
aufwärts,upwards,Sie müssen gut zu Fuß sein. Es geht immer aufwärts.,You have to be good on foot. It always goes up.
"der Aufzug, -""e",lift,Der Aufzug ist leider wieder kaputt.,The elevator is unfortunately broken again.
"das Auge, -n",eye,Meine beiden Kinder haben blaue Augen.,My two kids have blue eyes.
"der Augenblick, -e",moment,Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.,"I just wanted to park. At that moment, a car has come out of the exit."
aus,"out, leave, from, made of",Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.,Mrs. Müller leaves the house every morning at 8 o'clock.
"die Ausbildung, -en","education, training, instruction",Ich habe meine Ausbildung abgeschlossen.,I finished my education.
"der Ausbildungsplatz, -""e","training place, apprenticeship",Mein Neffe sucht nach der Schule einen Ausbildungsplatz als Kfz-Mechaniker.,My nephew is looking for an apprenticeship as a car mechanic after school.
ausgebildet,"educated, trained",Für diesen Beruf müssen Sie gut ausgebildet sein.,You have to be well-trained for this job.
"ausdrucken, druckt aus, druckte aus, hat ausgedruckt",print,Kann ich das auf deinem Drucker ausdrucken?,Can I print this on your printer?
"der Ausdruck, -""e","expression, printout",Diesen Ausdruck habe ich noch nie gehört.,I've never heard that expression.
auseinander,apart,Wir wohnen nicht weit auseinander.,We do not live far apart.
"die Ausfahrt, -en",exit,"Hier ist eine Ausfahrt, da dürfen Sie nicht parken.","Here is an exit, you are not allowed to park there."
"ausfallen, fällt aus, fiel aus, ist ausgefallen","canceled, fall out, drop out",Nächste Woche fällt der Kurs aus.,Next week the course will be canceled.
"der Ausflug, -""e","excursion, trip",Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.,At the weekend we make a trip to Heidelberg with friends.
"ausfüllen, füllt aus, füllte aus, hat ausgefüllt","complete, fill",Füllen Sie bitte dieses Formular aus!,Please fill in this form!
"ausgeben, gibt aus, gab aus, hat ausgegeben",spend,Carola gibt viel Geld für ihr Hobby aus.,Carola spends a lot of money on her hobby.
"die Ausgabe, -n","expenses, output, distribution",Wie hoch sind Ihre Ausgaben?,What are your expenses?
"ausgehen, geht aus, ging aus, ist ausgegangen",go out,Plötzlich ist das Licht ausgegangen.,Suddenly the light went out.
"der Ausgang, -""e",exit,Wo ist der Ausgang bitte?,Where is the exit please?
"die Aushilfe, -n","assistant, temporary help",Wir suchen eine freundliche Aushilfe für unser Geschäft.,We are looking for a friendly assistant for our business.
"die Auskunft, -""e","information, information desk",Ich hätte gern eine Auskunft.,I would like some information.
das Ausland (Sg.),"foreign countries, abroad",Wir fahren im Urlaub meistens ins Ausland.,We usually go abroad on vacation.
"der Ausländer, -",foreigner,Viele Ausländer lernen in der Volkshochschule Deutsch.,Many foreigners learn German at the Volkshochschule.
ausländisch,foreign,In meiner Firma arbeiten mehr ausländische Kollegen als deutsche.,In my company work more foreign colleagues than German.
"ausmachen, macht aus, machte aus, hat ausgemacht",to turn off,Machen Sie bitte das Licht aus!,"Turn off the light, please!"
"die Ausnahme, -n",exception,Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.,Usually I have to work on the weekend. But today is an exception.
ausreichend,"sufficient, enough",Dafür bekommst du leider nur die Note ausreichend.,"Unfortunately, you only get the grade enough."
"ausrichten, richtet aus, richtete aus, hat ausgerichtet","to align, adjust, convey a message",Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?,My husband is not here. Should I give him a message?
"ausschließen, schließt aus, schloss aus, hat ausgeschlossen","to exclude, rule out",So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.,I can not pay that much. That is completely excluded.
ausschließlich,exclusive,Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.,I'm sorry. We only have non-smoking rooms.
"aussehen, sieht aus, sah aus, hat ausgesehen","to seem, appear, look",Sie sehen wieder besser aus. Sind Sie wieder gesund?,You look better again. Are you healthy again?
"aus sein, ist aus, war aus, ist aus gewesen",be off,"Ich glaube, die Heizung ist aus.",I think the heating is off.
außen,"outside, outwards",Wir haben das Schloss nur von außen gesehen.,We only saw the castle from the outside.
außer,except for,Außer Lisa hat sich niemand um die Stelle beworben.,Nobody else applied for the job except Lisa.
äußerlich,external,Das Medikament dürfen Sie nur äußerlich anwenden.,The drug may only be used externally.
außerdem,besides,Möchten Sie außerdem noch etwas?,Would you also like something else?
außerhalb,"outside, beyond",Wir wohnen außerhalb von Berlin.,We live outside of Berlin.
"die Aussicht, -en","view, perspective",Von diesem Turm hat man eine tolle Aussicht.,From this tower you have a great view.
"aussprechen, spricht aus, sprach aus, hat ausgesprochen",to pronounce,Wie spricht man dieses Wort aus?,How do you pronounce this word?
die Aussprache (Sg.),pronunciation,Ali hat eine gute Aussprache.,Ali has a good pronunciation.
"ausstellen, stellt aus, stellte aus, hat ausgestellt","to exhibit, show",Im Schaufenster sind Winterschuhe ausgestellt.,Winter shoes are on display in the shop window.
"die Ausstellung, -en",exhibition,Wir waren mit der Lehrerin in einer Ausstellung.,We were in an exhibition with the teacher.
"(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht","to select, pick out",Such dir etwas Schönes aus! Ich lade dich ein.,Choose something beautiful! I invite you.
"auswählen, wählt aus, wählte aus, hat ausgewählt","to select, choose",Für die Aufgabe können Sie unter drei Themen auswählen.,"For the task, you can choose from three topics."
"der Ausweis, -e",identification,Darf ich mal Ihren Ausweis sehen?,May I see your passport?
"ausziehen, zieht aus, zog aus, hat/ist ausgezogen",to undress,Willst du den Mantel nicht ausziehen?,Do not you want to take off the coat?
"der Auszubildende, -n",trainee,Der Meister kümmert sich um die Auszubildenden.,The master takes care of the trainees.
"das Auto, -s",car,Mario fährt mit dem Auto zur Arbeit.,Mario drives to work by car.
"die Autobahn, -en",motorway,Das Dorf liegt direkt an der Autobahn.,The village is located directly on the highway.
"der Automat, -en",dispensing machine,Zigaretten bekommst du am Automaten.,You get cigarettes at the machine.
automatisch,automatic,Die Tür schließt automatisch.,The door closes automatically.
"das Baby, -s",baby,Meine Freundin hat ein Baby bekommen.,My girlfriend got a baby.
"der Babysitter, -",baby sitter,Wir wollen am Samstagabend zu Freunden gehen. Deshalb brauche ich einen Babysitter für unsere kleine Tochter.,We want to go to friends on Saturday night. That's why I need a babysitter for our little daughter.
"backen, bäckt / backt, backte, hat gebacken",to bake,"Wenn du kommst, backe ich einen Kuchen.","When you come, I bake a cake."
"die Bäckerei, -en",bakery,Wir kaufen unser Brot immer in der Bäckerei am Markt.,We always buy our bread in the bakery on the market.
"baden, badet, badete, hat gebadet",to bathe,Wenn du baden möchtest: Das Badezimmer ist dort hinten links.,If you want to take a bath: the bathroom is at the back left.
"das Bad, -""er",bath,Nach einem warmen Bad fühlt man sich gleich viel besser.,After a warm bath you feel much better.
"die Badewanne, -n",bathtub,Jetzt gehe ich erst einmal in die Badewanne.,Now I go to the bathtub.
"die Bahn, -en",train,Ich komme mit der Bahn.,I'm coming by train.
"die S-Bahn, -en",city (overground) train,Die S- Bahn ist schneller als die Straßenbahn.,The S-Bahn is faster than the tram.
"die Straßenbahn, -en",tram,Nehmen Sie die Straßenbahn Nr. 16.,Take tram number 16.
"die U-Bahn, -en",underground train,Die letzte U- Bahn geht um 23.15 Uhr.,The last subway leaves at 23.15.
"der Bahnhof, -""e",railway station,Ich bringe Sie zum Bahnhof.,I'll take you to the train station.
"der Bahnsteig, -e",platform,"Der Zug fährt heute nicht von Bahnsteig 5, sondern von Bahnsteig 7 ab.",The train does not depart from platform 5 today but from platform 7.
bald,soon,Besuchen Sie uns doch bald mal.,Please visit us soon.
"der Balkon, -e",balcony,Die Wohnung hat auch einen kleinen Balkon.,The apartment also has a small balcony.
"der Ball, -""e",ball,Ich spiele gern mit meinen Kindern Ball.,I like to play ball with my kids.
"die Banane, -n",banana,"Ein Kilo Bananen, bitte.","One kilo of bananas, please."
"die Bank, -""e/die Bank, -en",bank,"Kommt, wir setzen uns auf die Bank da vorne.","Come on, let's sit on the bench in front."
"die Bankleitzahl, -en",bank code number,Bitte geben Sie Ihre Bankleitzahl an.,Please enter your bank code.
bar,cash,Zahlen Sie bar?,Pay cash?
"das Bargeld, -er",cash,Ich habe kein Bargeld mehr.,I have no more cash.
"der Bart, -""e",beard,John trägt jetzt einen Bart.,John is wearing a beard now.
"die Batterie, -n",battery,Bringst du bitte Batterien mit?,Do you bring batteries please?
"der Bauch, -""e",stomach,Mir tut der Bauch weh.,My stomach hurts.
"bauen, baut, baute, hat gebaut",to build,Mein Nachbar hat ein Haus gebaut.,My neighbor has built a house.
"der Bau, -ten",building,Ich wohne in einer Neubauwohnung.,I live in a new apartment.
"die Baustelle, -n",building site,Wir müssen die Baustelle umfahren.,We have to bypass the construction site.
"der Bauer, -n",farmer,Wir kaufen unser Gemüse beim Bauern.,We buy our vegetables from the farmer.
"der Baum, -""e",tree,Wir haben zwei Bäume im Garten.,We have two trees in the garden.
"beachten, beachtet, beachtete, hat beachtet",to observe,Bitte beachten Sie die Ansagen am Bahnsteig.,Please note the announcements on the platform.
