german_word,english_translation,german_sentence,english_sentence
"die Spritze, -n",injection,Ich habe heute vom Arzt eine Spritze gegen die Schmerzen bekommen.,Today I got an injection from the doctor for the pain.
"spülen, spült, spülte, hat gespült","to rinse, flush",Hast du das Geschirr gespült?,Did you wash the dishes?
"die Spülmaschine, -n",dishwasher,Ich habe eine Spülmaschine.,I have a dishwasher.
"die Spur, -en","track, trace",Die Polizei hat noch keine Spur.,The police still have no trace.
"spüren, spürt, spürte, hat gespürt",to feel,Wo tut es weh? Spüren Sie das hier?,Where does it hurt? Do you feel this?
"der Staat, -en",state,Sie bekommen vom Staat einen Teil der Miete bezahlt.,They receive a part of the rent from the state.
staatlich,stately,Für dieses Projekt gibt es staatliche Unterstützung.,There is government support for this project.
"die Staatsangehörigkeit, -en",nationality,Tragen Sie bitte hier die Staatsangehörigkeit ein.,Please enter the nationality here.
"das Stadion, die Stadien",stadium,Ich möchte am Samstag ins Stadion gehen. Da spielt meine Mannschaft.,I want to go to the stadium on Saturday. That's where my team plays.
"die Stadt, -""e",city,Heidelberg ist eine alte Stadt.,Heidelberg is an old city.
städtisch,municipal,Die städtischen Verkehrsbetriebe wollen die Tarife erhöhen.,The municipal transport companies want to increase tariffs.
"der Stadtplan, -""e",town map,Haben Sie einen Stadtplan?,Do you have a city map?
"stammen, stammt, stammte, hat gestammt",to come from,Woher stammen Sie eigentlich?,Where did you actually come from?
"das Standesamt, -""er",registry office,Die Hochzeit ist am 3. Mai im Standesamt Weilburg.,The wedding is on May 3 in the registry office Weilburg.
ständig,"permanent, constant",Ich habe schon ein paar Mal bei meiner Freundin angerufen. Es ist ständig besetzt.,I've called my girlfriend a couple of times. It is constantly occupied.
"der Standpunkt, -e",stand point,Von seinem Standpunkt aus hat er recht.,From his point of view he is right.
"der Star, -s",star,Diese Sängerin ist ein großer Star in Deutschland.,This singer is a big star in Germany.
stark,strong,Der Kaffee ist sehr stark.,The coffee is very strong.
"starten, startet, startete, ist gestartet",to start,Die Maschine ist pünktlich gestartet.,The machine started on time.
"der Start, -s",start,Bleiben Sie bitte während des Starts auf Ihren Sitzen.,Please stay in your seats during the start.
"die Station, -en",station,Sie müssen an der nächsten Station aussteigen.,You have to get off at the next station.
statt,instead of,Kann ich diese Woche statt Donnerstag am Freitag kommen?,Can I come this week instead of Thursday on Friday?
"stattfinden, findet statt, fand statt, hat stattgefunden",to take place,Die Versammlung findet morgen Abend um 18 Uhr statt.,The meeting will take place tomorrow evening at 6 pm.
"der Stau, -s",traffic jam,Auf der A3 wegen eines Unfalls 5 km Stau.,On the A3 because of an accident 5 km congestion.
"der Staub, -""e",dust,Ich habe überall Staub gewischt.,I wiped dust everywhere.
"das Steak, -s",steak,Bitte ein Steak mit Salat.,Please a steak with a salad.
"stecken, steckt, steckte, hat gesteckt","to put, insert, stick",Wo ist denn mein Pass? Ich hatte ihn doch in die Handtasche gesteckt.,Where is my passport? I put it in my purse.
"die Steckdose, -n",socket,Wir haben keine Steckdose in diesem Zimmer.,We have no outlet in this room.
"der Stecker, -",plug,Der Stecker passt nicht in diese Steckdose.,The plug does not fit into this socket.
"stehen, steht, stand, hat gestanden",to stand,In meinem Beruf muss ich viel stehen.,I have to stand up a lot in my job.
stehen bleiben,to stay,Bitte bleiben Sie stehen.,Please stop.
"stehlen, stiehlt, stahl, hat gestohlen",to steal,Gestern hat mir jemand im Zug meine Uhr gestohlen.,Yesterday somebody stole my watch on the train.
"steigen, steigt, stieg, ist gestiegen","to rise, climb",Die Preise für Milch und Gemüse steigen.,The prices for milk and vegetables are rising.
steil,steep,Die Straße zu unserem Haus ist sehr steil.,The road to our house is very steep.
"der Stein, -e",stone,Die Kinder werfen Steine ins Wasser.,The children throw stones into the water.
"die Stelle, -n","place, post, job",Ich habe eine neue Stelle.,I have a new job.
"stellen, stellt, stellte, hat gestellt","to put, set",Stell das Bier in den Kühlschrank!,Put the beer in the fridge!
"der Stempel, -","stamp, postmark",Es gilt das Datum des Poststempels.,The date of the postmark applies.
"sterben, stirbt, starb, ist gestorben",to die,Mein Kollege kommt heute nicht.,My colleague is not coming today.
"der Stern, -e",star,Heute sieht man viele Sterne am Himmel.,Today you can see many stars in the sky.
"die Steuer, -n",tax,Wir müssen immer mehr Steuern zahlen.,We have to pay more and more taxes.
still,"still, quiet",Sei doch mal einen Moment still!,Be still for a moment!
"der Stiefel, -",boots,Ich habe mir für den Winter ein Paar warme Stiefel gekauft.,I bought a pair of warm boots for the winter.
"die Stimme, -n",voice,Ich habe dich sofort an der Stimme erkannt.,I recognized you immediately by the voice.
"stimmen, stimmt, stimmte, hat gestimmt","to be right, vote",Meine Adresse stimmt nicht mehr.,My address is not correct anymore.
"die Stimmung, -en","atmosphere, mood",Es war eine tolle Party. Die Stimmung war sehr gut.,It was a great party. The mood was very good.
"die Stirn, -en",forehead,Mach dir die Haare aus der Stirn.,Get your hair out of your forehead.
"stinken, stinkt, stank, hat gestunken",to stink,Was stinkt denn hier so? - Das ist die Farbe. Wir haben frisch gestrichen.,What stinks like that here? - That's the color. We have freshly painted.
"der Stock, -""e",floor (of building),"Mein Büro ist im 3. Stock, Zimmer 305.","My office is on the 3rd floor, room 305."
"das Stockwerk, -e",storey,Das Gebäude hat zwanzig Stockwerke.,The building has twenty floors.
"der Stoff, -e","material, cloth",Was für ein Stoff ist das? - Wolle.,What kind of stuff is that? - Wool.
stolz,proud,"Mein Sohn ist ganz stolz, dass er die Prüfung bestanden hat.",My son is very proud that he passed the exam.
"stoppen, stoppt, stoppte, hat gestoppt",to stop,"Die Polizei hat mich gestoppt, weil ich bei Rot über die Ampel gegangen bin.",The police stopped me because I went over the traffic lights in red.
"stören, stört, störte, hat gestört",to disturb,Darf ich Sie einen Augenblick stören?,May I disturb you for a moment?
"die Störung, -en","disturbance, interference",Entschuldigen Sie bitte die Störung.,Please excuse the error.
"stoßen, stößt, stieß, hat gestoßen","to shove, push, knock, bump",Wie haben Sie sich denn verletzt? - Ich habe mich an der Autotür gestoßen.,How did you get hurt? - I came across the car door.
"die Strafe, -n",fine,Schwarzfahren kostet 60 Euro Strafe.,Schwarzfahren costs 60 euro penalty.
"der Strafzettel, -",ticket (parking),So ein Pech! Ich habe einmal falsch geparkt und sofort einen Strafzettel bekommen.,Bad luck! I once parked wrong and immediately got a traffic ticket.
"der Strand, -""e",beach,Im Urlaub bin ich am liebsten am Strand.,"On vacation, I prefer to be on the beach."
"die Straße, -n",street,Wir wohnen in der Gartenstraße.,We live in the garden street.
"die Strecke, -n","stretch, distance",Sind Sie die ganze Strecke zu Fuß gegangen?,Did you walk all the way?
"streichen, streicht, strich, hat gestrichen","to brush, to paint, to cancle",Ich muss meine Wohnung neu streichen.,I have to repaint my apartment.
"das Streichholz, -""er",matches,Ich hätte gern eine Schachtel Streichhölzer.,I would like a box of matches.
"streiken, streikt, streikte, hat gestreikt",to strike,Die Mitarbeiter streiken für höhere Löhne.,The employees strike for higher wages.
"der Streik, -s",strike,Es gab einen Streik am Flughafen. - Deshalb hatte unsere Maschine Verspätung.,There was a strike at the airport. - That's why our machine was late.
"streiten, streitet, stritt, hat gestritten",to argue,Die Kinder streiten sich oft.,The children often argue.
"der Streit, -e",argument,Ich möchte keinen Streit mit den Nachbarn.,I do not want a fight with the neighbors.
streng,strict,Unsere Tochter hat einen sehr strengen Lehrer.,Our daughter has a very strict teacher.
"der Stress, -e",stress,Ich habe bei der Arbeit viel Stress.,I have a lot of stress at work.
"der Strom, -""e",current (electricity),Wie kann ich im Haushalt Strom sparen?,How can I save electricity in the home?
"der Strumpf, -""e",tights,Wo sind meine roten Strümpfe?,Where are my red stockings?
"das Stück, -e / -stück, -e",piece,Ich nehme zwei Stück Zucker in den Kaffee.,I take two pieces of sugar in the coffee.
"studieren, studiert, studierte, hat studiert",to study,Mein Sohn will Medizin studieren.,My son wants to study medicine.
"der Student, -en",student,Schüler und Studenten zahlen die Hälfte.,Pupils and students pay half.
"das Studium, die Studien",studies,Sie brauchen für diese Stelle ein fertiges Studium.,You need a completed degree for this position.
"das Studio, -s",studio,Zu Gast im Studio sind heute ...,Guests in the studio are today ...
"die Stufe, -n",step,"Vorsicht, Stufe!","Careful, level!"
"der Stuhl, -""e",chair,Da hinten ist noch ein Stuhl frei.,There is still a chair free at the back.
stumm,"silent, dumb",Stell bitte dein Handy leise oder auf stumm.,Please make your phone quiet or mute.
"die Stunde, -n",hour,Ich bin in einer Stunde wieder zurück.,I'll be back in an hour.
"der Sturm, -""e",storm,Im Radio haben sie Regen und Sturm angesagt.,On the radio they announced rain and storm.
"stürzen, stürzt, stürzte, ist gestürzt",to fall,Ich bin auf der Straße gestürzt und habe mir den Fuß gebrochen.,I fell in the street and broke my foot.
"suchen, sucht, suchte, hat gesucht","to search for, look for",Ich suche meine Brille.,I am looking for my glasses.
der Süden/Süd/Süd (Sg.),south,Dieser Ort liegt im Süden der Schweiz.,This place is located in the south of Switzerland.
südlich,"southern, south",Mein Dorf liegt südlich von München.,My village is located south of Munich.
"der Supermarkt, -""e",supermarket,Donnerstags gehe ich immer in den Supermarkt.,On Thursdays I always go to the supermarket.
"die Suppe, -n",soup,Schmeckt dir die Suppe?,Does the soup taste good?
süß,sweet,Ich esse gern süße Sachen.,I like to eat sweet things.
"das Symbol, -e",symbol,Das Herz ist ein Symbol für die Liebe.,The heart is a symbol of love.
sympathisch,likeable,Ich finde unsere neue Kollegin sehr sympathisch.,I like our new colleague very much.
"das System, -e",system,Welches Betriebssystem hast du?,Which operating system do you have?
"die Tabelle, -n",table,Tragen Sie die richtige Information in die Tabelle ein.,Enter the correct information in the table.
"die Tablette, -n",pill,Nehmen Sie dreimal täglich eine Tablette.,Take one tablet three times a day.
"die Tafel, -n","table, blackboard",Der Lehrer schreibt das neue Wort an die Tafel.,The teacher writes the new word on the blackboard.
"der Tagesablauf, -""e",daily routine,Wie ist Ihr Tagesablauf?,How is your daily routine?
"die Tagesmutter, -""",nanny,"Wenn ich im Deutschkurs bin, ist mein Sohn bei der Tagesmutter.","When I'm in the German class, my son is with the childminder."
"das Tal, -""er",valley,Unser Dorf liegt in einem Tal.,Our village is located in a valley.
"tanken, tankt, tankte, hat getankt",to fill fuel/ gas,Wir müssen unbedingt tanken. Wir haben fast kein Benzin mehr.,We absolutely must refuel. We have almost no gas left.
"die Tankstelle, -n",fuel station,Wo ist die nächste Tankstelle?,Where is the nearest gas station?
"die Tante, -n",aunt,Meine Tante heißt Clara.,My aunt's name is Clara.
"tanzen, tanzt, tanzte, hat getanzt",to dance,Auf der Hochzeit haben wir viel getanzt.,We danced a lot at the wedding.
"der Tanz, -""e",dance,Diese modernen Tänze kann ich nicht.,I can not do these modern dances.
"der Tarif, -e",tariff,Die Städtischen Verkehrsbetriebe wollen die Tarife erhöhen.,The municipal transport companies want to increase tariffs.
"die Tasche, -n","pocket, handbag","Ich habe nicht viel Gepäck, nur eine Tasche.","I do not have much luggage, just a bag."
"das Taschentuch, -""er",handkerchief,Hast du ein Taschentuch für mich?,Do you have a handkerchief for me?
"die Tasse, -n",cup,Die Tassen sind von meiner Großmutter.,The cups are from my grandmother.
"die Taste, -n",key (on a keyboard),An meinem Handy ist eine Taste kaputt.,"On my phone, a button is broken."
"die Tastatur, -en",keyboard,Die Tastatur an meinem Computer ist ganz neu.,The keyboard on my computer is brand new.
"die Tat, -en","act, deed, action",Danke für die Hilfe. Das war wirklich eine gute Tat!,Thanks for your help. That was really a good deed!
"der Täter, -","perpetrator, culprit",Die Polizei hat den Täter endlich gefasst.,The police have finally caught the culprit.
"die Tätigkeit, -en",activity,Welche Tätigkeit würde Ihnen Spaß machen?,Which activity would you enjoy?
"täuschen, täuscht, täuschte, hat getäuscht",deceive,Ich habe mich getäuscht. Es war doch eine andere Hausnummer.,I was wrong. It was a different house number.
"das Taxi, -s",taxi,Soll ich ein Taxi für Sie bestellen?,Should I order a taxi for you?
"das Team, -s",team,Ich arbeite gerne im Team.,I like to work in a team.
"die Technik, -en","technology, technique",Ich verstehe nicht viel von Technik.,I do not understand much about technology.
technisch,technical,Es gab ein technisches Problem.,There was a technical problem.
"der Tee, -s",tea,Bitte einen Tee mit Zitrone.,Please a tea with lemon.
"der Teil, -e",part,Dieses Teil müssen wir erst bestellen.,We have to order this part first.
"die Teilzeit, -en",part-time,Ich arbeite im Moment nur Teilzeit.,I'm currently working part-time.
"teilen, teilt, teilte, hat geteilt",to share,Mein Mann und ich teilen uns die Arbeit.,My husband and I share the work.
"teilnehmen, nimmt teil, nahm teil, hat teilgenommen",to take part,Leider konnte ich an dem Kurs nicht regelmäßig teilnehmen.,Unfortunately I could not attend the course regularly.
"die Teilnahme, -n",participation,Die Teilnahme am Gewinnspiel ist kostenlos.,Participation in the competition is free.
"der Teilnehmer, -",participant,Die Teilnehmer aus unserem Kurs kommen aus verschiedenen Ländern.,The participants from our course come from different countries.
teilweise,partially,War der Test schwierig? - Teilweise.,Was the test difficult? - Partially.
"telefonieren, telefoniert, telefonierte, hat telefoniert",to telephne,Ich muss kurz telefonieren.,I have to call briefly.
"das Telefon, -e",telephone,Darf ich bitte Ihr Telefon benutzen?,May I use your phone please?
"der Teller, -",plate,Stell bitte schon mal die Teller auf den Tisch!,Please put the plates on the table!
"die Temperatur, -en",temperature,Mittagstemperaturen um 25 Grad.,Midday temperatures around 25 degrees.
das Tempo (Sg.),speed,Hier darfst du nur Tempo 30 fahren.,Here you can only drive at tempo 30.
das Tennis (Sg.),tennis,Meine Tochter spielt Tennis.,My daughter plays tennis.
"der Teppich, -e",carpet,Ich habe mir einen neuen Teppich gekauft.,I bought a new carpet.
"der Termin, -e",appointment,Als Termin schlage ich den 3. Mai vor.,"As an appointment, I suggest the 3rd of May."
"die Terrasse, -n",terrace,Setzen wir uns auf die Terrasse!,Let's sit on the terrace!
"testen, testet, testete, hat getestet",test,Testen Sie unsere Angebote kostenlos.,Try our offers for free.
"der Test, -s",test,Ich bin ganz sicher: Du wirst den Test schaffen.,I am quite sure: You will make the test.
teuer,expensive,Ich finde das nicht teuer.,I do not think that's expensive.
"der Text, -e",text,Lesen Sie den Text.,Read the text.
"das Theater, -",theatre,Wir gehen nächste Woche ins Theater.,We're going to the theater next week.
"das Thema, die Themen","subject, theme",Wir haben im Kurs viel über das Thema Umwelt gesprochen.,We talked a lot about the environment in the course.
theoretisch,theoretical,Ich habe die theoretische Prüfung bestanden. Nach der praktischen bekomme ich den Führerschein.,I passed the theoretical exam. After the practical I get the driver's license.
"die Therapie, -n",therapy,Die Therapie hat geholfen. Es geht mir schon viel besser.,The therapy helped. I'm already feeling better.
"das Ticket, -s",ticket,Wir müssen die Flugtickets abholen.,We have to pick up the plane tickets.
tief,deep,"Vorsicht, Kinder! Das Wasser ist hier sehr tief.","Careful, kids! The water is very deep here."
"das Tier, -e",animal,Meine Tochter mag Tiere.,My daughter likes animals.
"das Haustier, -e","pet, domestic animal",Wir haben kein Haustier.,We do not have a pet.
"der Tierpark, -s","zoo, animal park",Wollen wir am Samstag mit den Kindern in den Tierpark gehen?,Do we want to go to the zoo with the kids on Saturday?
"der Tipp, -s",tip,Kannst du mir einen Tipp geben? Wo finde ich billige Möbel?,Can you give me a hint? Where can I find cheap furniture?
"der Tisch, -e",table,Warum kommst du so spät? Das Essen steht schon auf dem Tisch.,Why are you so late? The food is already on the table.
"der Titel, -",title,Wie heißt der Film? - Ich weiß den Titel nicht mehr.,What is the title of the movie? - I do not remember the title.
"die Tochter, -""",daughter,Das ist meine Tochter Katharina.,This is my daughter Katharina.
"der Tod, -e",death,Ich habe meinen Großvater vor seinem Tod noch einmal gesehen.,I saw my grandfather again before he died.
tödlich,deathly,Mein Kollege hatte einen tödlichen Unfall.,My colleague had a fatal accident.
"die Toilette, -n",toilet,Wo ist die Toilette bitte?,"Where is the toilet, please?"
tolerant,tolerant,Die Nachbarn hören oft laut Musik. Wir müssen sehr tolerant sein.,The neighbors often hear loud music. We have to be very tolerant.
toll,great,Ich habe mir ein tolles Kleid gekauft.,I bought a great dress.
"die Tomate, -n",tomato,Kauf bitte noch Tomaten auf dem Markt.,Please buy tomatoes in the market.
"die Tonne, -n",ton,Der Bio-Müll kommt in die grüne Tonne.,The bio-waste comes in the green bin.
"das Top, -s",top,Für den Sommer habe ich mir ein paar schöne Tops gekauft.,For the summer I bought some nice tops.
"der Topf, -""e",pot,Hast du keinen größeren Topf? Ich möchte Kartoffeln kochen.,Do not you have a bigger pot? I want to cook potatoes.
"das Tor, -e","gate, goal",Hinter dem Tor geht es zur Fabrik.,"Behind the gate, it goes to the factory."
tot,dead,Meine Großeltern sind schon lange tot.,My grandparents are long dead.
"der Tote, -n",dead,Bei dem Unfall gab es zwei Tote.,There were two dead in the accident.
total,"totally, completely",Der Film war total langweilig.,The movie was totally boring.
"die Tour, -en",tour,Am Wochenende machen wir eine Tour durch die Dörfer.,At the weekend we do a tour through the villages.
der Tourismus (Sg.),tourism,In dieser Gegend gibt es viel Tourismus.,There is a lot of tourism in this area.
"der Tourist, -en",tourist,Es kommen immer mehr Touristen in unsere Stadt.,More and more tourists are coming to our city.
"die Tradition, -en",tradition,Eine große Hochzeit mit vielen Leuten ist bei uns Tradition.,A big wedding with many people is our tradition.
traditionell,traditional,Ich mag die traditionelle Küche.,I like the traditional cuisine.
"tragen, trägt, trug, hat getragen","to carry, wear",Lass mich den Koffer tragen. Der ist zu schwer für dich.,Let me carry the suitcase. That's too hard for you.
"trainieren, trainiert, trainierte, hat trainiert",to train,Wir trainieren einmal pro Woche im Sportverein.,We train once a week in the sports club.
"der Trainer, -","trainer, coach",Ich finde unseren Trainer sehr nett.,I think our coach is very nice.
"das Training, -s",training,Jeden Dienstag ist Training.,Every Tuesday is training.
"transportieren, transportiert, transportierte, hat transportiert",transport,Wie willst du die Möbel denn transportieren?,How do you want to transport the furniture?
"der Transport, -e",transport,Was kostet der Transport?,How much is the transport?
"die Trauung, -en",wedding,Ich bin zur Hochzeit eingeladen. Die Trauung ist um 11 Uhr.,I'm invited to the wedding. The wedding is at 11 o'clock.
"träumen, träumt, träumte, hat geträumt",to dream,Ich habe schlecht geträumt.,I had a bad dream.
"der Traum, -""e / Traum-",dream,Mein Traum ist ein eigenes Geschäft.,My dream is my own business.
traurig,sad,Ich bin traurig. Ich darf nicht mitfahren.,I'm sad. I can not ride.
"treffen, trifft, traf, hat getroffen",to meet,Wir treffen uns immer freitags.,We meet every Friday.
"der Treffpunkt, -e",meeting point,Unser Treffpunkt ist um 17 Uhr am Hauptbahnhof.,Our meeting point is at 17 o'clock at the central station.
"treiben, treibt, trieb, hat getrieben",to play sport,Welchen Sport treibst du?,Which sport are you doing?
"trennen, trennt, trennte, hat getrennt",to seperate,Wir leben getrennt.,We live separately.
"die Trennung, -en",seperation,"Meine Kollegin ist noch nicht geschieden, aber sie lebt in Trennung.","My colleague is not yet divorced, but she lives in separation."
"die Treppe, -n","stairs, steps",Wo ist die Toilette? - Die Treppe hoch und dann links.,Where is the toilet? - Up the stairs and then left.
"treten, tritt, trat, hat/ ist getreten","to step, kick",Ich bin in ein Stück Glas getreten.,I stepped into a piece of glass.
treu,true,Herr Maier ist ein treuer Kunde von uns.,Mr. Maier is a loyal customer of ours.
"trinken, trinkt, trank, hat getrunken",to drink,Trinken Sie einen Tee mit uns?,Do you drink tea with us?
"das Trinkgeld, -er",tip,Ich habe dem Kellner zwei Euro Trinkgeld gegeben.,I gave the waiter two euros tip.
"trocknen, trocknet, trocknete, ist/ hat getrocknet",to dry,Ich habe mir die Haare getrocknet.,I dried my hair.
trocken,dry,Die Wäsche ist noch nicht trocken.,The laundry is not dry yet.
"der Tropfen, -",drop,Hast du die Tropfen schon genommen?,Did you take the drops already?
trotz,despite,Trotz Grippe bin ich zur Arbeit gegangen.,"Despite the flu, I went to work."
trotzdem,"nevertheless, although",Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.,"It was pretty cold. Nevertheless, I went swimming."
"das T-Shirt, -s",t-shirt,Es ist sehr warm draußen. Zieh dir lieber nur ein T- Shirt an.,It is very warm outside. Just put on a T-shirt.
"tun, tut, tat, hat getan","to do, make",Ich habe heute viel zu tun.,I have a lot to do today.
"die Tür, -en",door,Machen Sie bitte die Tür zu! Es zieht.,Please close the door! It pulls.
"der Turm, -""e",tower,"Kommen Sie auf den Turm, von hier sieht man die ganze Stadt.","Come on the tower, from here you can see the whole city."
"die Tüte, -n",bag,Geben Sie mir bitte eine Tüte.,Please give me a bag.
"der Typ, -en",type,Mein Nachbar ist ein netter Typ.,My neighbor is a nice guy.
typisch,typical,Im Hotel gab es typisch deutsches Essen.,The hotel had typical German food.
"U-Bahn, -en",underground train,Ich fahre mit der U- Bahn.,I take the subway.
üben,to practise,Ich kann noch nicht so gut Deutsch sprechen. Ich muss mehr üben.,I do not speak German so well yet. I have to practice more.
"die Übung, -en",practise,Diese Übung war sehr schwer.,This exercise was very difficult.
über,"over, above, via",Die Müllers wohnen direkt über uns.,The Müllers live directly above us.
überall,everywhere,"Ich habe überall gesucht, aber meine Brille ist weg.","I searched everywhere, but my glasses are gone."
"überfahren, überfährt, überfuhr, hat überfahren",to run over,Gestern hat ein Autofahrer einen Fußgänger überfahren.,Yesterday a motorist ran over a pedestrian.
überhaupt,at all,Die Suppe schmeckt mir überhaupt nicht.,The soup does not taste good at all.
"überholen, überholt, überholte, hat überholt",to overtake,Hier dürfen LKWs nicht überholen.,Here trucks are not allowed to overtake.
"überlegen, überlegt, überlegte, hat überlegt",to consider,Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen.,I can not decide. I still have to think about it.
übermorgen,the day after tomorrow,Morgen kann ich nicht. Wir sehen uns übermorgen.,Tomorrow I can not. See you the day after tomorrow.
"übernachten, übernachtet, übernachtete, hat übernachtet",to sleep/ stay overnight,Wir haben auf dem Campingplatz übernachtet.,We stayed at the campsite.
"die Übernachtung, -en","sleep over, stay",In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.,"In this hotel, the night with breakfast costs 90 euros."
"übernehmen, übernimmt, übernahm, hat übernommen",to take over,Ich habe die Möbel vom Vormieter übernommen.,I took over the furniture from the previous tenant.
"überprüfen, überprüft, überprüfte, hat überprüft","to check, examine",Bitte überprüfen Sie Ihre Kontonummer.,Please check your account number.
"überqueren, überquert, überquerte, hat überquert",to cross over,Bitte die Straße nur an der Ampel überqueren.,Please cross the street only at the traffic lights.
"überraschen, überrascht, überraschte, hat überrascht",to surprise,"Ich bin ganz überrascht, dass die Wohnung so billig ist.",I am quite surprised that the apartment is so cheap.
"die Überraschung,-en",surprise,Ich habe eine Überraschung für dich.,I have a surprise for you.
"überreden, überredet, überredete, hat überredet",to persuade,"Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen.","At first I did not want to, but my brother persuaded me to do an English course."
"übersetzen, übersetzt, übersetzte, hat übersetzt",to translate,Können Sie mir bitte diesen Brief übersetzen?,Can you please translate this letter for me?
"der Übersetzer, -",translator,Meine Tochter möchte als Übersetzerin arbeiten.,My daughter wants to work as a translator.
"die Übersetzung, -en",translation,Was kostet die Übersetzung?,How much is the translation?
"die Überstunde, -n",overtime,Ich muss heute Überstunden machen.,I have to work overtime today.
"übertragen, überträgt, übertrug, hat übertragen","to transfer, apply",Sie übertragen das Fußballspiel morgen direkt.,You transfer the football game tomorrow directly.
"übertreiben, übertreibt, übertrieb, hat übertrieben",to do too much sport,Ein bisschen Sport ist gesund.,A little sport is healthy.
"überweisen, überweist, überwies, hat überwiesen","to transfer, refer",Ich überweise dir das Geld.,I transfer the money to you.
"die Überweisung, - en","transfer, referral",Sie können bar oder per Überweisung bezahlen.,You can pay in cash or by bank transfer.
"überzeugen, überzeugt, überzeugte, hat überzeugt",to convince,Ihr Vorschlag überzeugt mich gar nicht.,Your suggestion does not convince me.
"die Überzeugung, -en",conviction,Wie bist du zu dieser Überzeugung gekommen?,How did you come to this conviction?
üblich,"usual, common","In Deutschland ist es üblich, früh zu Abend zu essen.","In Germany, it is customary to have an early evening meal."
übrig,"left over, remaining",Ist noch etwas zu essen übrig?,Is there anything left to eat?
übrigens,"besides, by the way","Übrigens, kennst du schon die neuen Nachbarn?","By the way, do you already know the new neighbors?"
"die Uhr, -en","hour, time, watch",Wie viel Uhr ist es?,What time is it?
um,"at, around, by",Wir treffen uns um 8 Uhr.,We meet at 8 o'clock.
"umarmen, umarmt, umarmte, hat umarmt",to embrace,Lass dich umarmen.,Let me embrace you.
um ... zu,in order to,"Was muss ich tun, um Wohngeld zu bekommen?",What do I have to do to get housing allowance?
"umdrehen, dreht um, drehte um, hat umgedreht",to turn (round),Dreh dich mal um. Da hinten liegt das Buch doch.,Turn around. Back there is the book.
"die Umfrage, -n",poll,Wir machen eine Umfrage zum Thema Umweltschutz.,We are doing a survey on environmental protection.
