target_word,similar_words
apeuré,apeurer
apitoyer,apôtre
apparat,"appart, apport, appât"
apparaître,"apporter, apprêter"
appareil,appel
apparent,apprenti
appart,"aparté, apparat, apport"
appel,"appareil, appeler, appelé"
appeler,appel
appelé,appel
appoint,appât
apport,"apparat, appart"
apporter,"apparaître, apprêter"
apprenti,apparent
apprêter,"apparaître, apporter"
appuyer,appuyé
appuyé,appuyer
appât,"apparat, appoint, appétit"
appétit,appât
après,auprès
apte,acte
apôtre,apitoyer
arabe,arbre
arbre,"ambre, arabe, arbuste"
arbuste,arbre
arcade,archive
archange,arche
arche,"archange, archer, archet"
archer,"arche, archet"
archet,"arche, archer"
archive,arcade
archéologie,archéologue
archéologue,archéologie
ardent,argent
argent,"agent, ardent, argenté"
argenter,argenterie
argenterie,argenter
argenté,argent
argile,agile
arguer,"arquer, aérogare"
aride,"acide, aide, aider, avide"
aristocrate,aristocratie
aristocratie,aristocrate
armateur,"armature, armer"
armature,armateur
arme,"aire, alarme, amen, amer, armer"
armer,"aimer, alarmer, amer, armateur, arme"
armoire,"arme, armer, armoirie, armure, armée"
armoirie,"armer, armoire, armure"
armure,"armer, armoire, armoirie"
armurier,armer
armé,"aimé, arme, armée, aéré"
armée,"arme, armer, armoire, armé, arôme"
arquer,arguer
arraché,arrêté
arrivé,arrivée
arrivée,arrivé
arrière,arriéré
arriéré,"arrière, arrêté"
arroser,arrosoir
arrosoir,arroser
arrêt,"arrêter, arrêté, arête"
arrêter,"arrêt, arrêté, arête"
arrêté,"arraché, arriéré, arrêt, arrêter"
artiche,artère
article,"articulé, artère"
articulé,article
artillerie,artilleur
artilleur,artillerie
artiste,artère
artère,"artiche, article, artiste"
arête,"arrêt, arrêter"
arôme,"arme, armer, armée"
asile,"agile, aigle, aile"
assassin,assassiné
assassiné,assassin
asseoir,assuré
assiette,aussitôt
assis,"assise, aussi"
assise,assis
assiégé,assuré
associé,assuré
assurer,assuré
assuré,"asseoir, assiégé, associé, assurer"
astre,"antre, austère, autre"
athlète,athée
athée,"athlète, athéisme"
athéisme,athée
atlas,alias
atome,atomique
atomique,atome
attache,attaché
attachement,attouchement
attaché,attache
atteindre,attendre
atteint,"atteinte, attente"
atteinte,"atteint, attente"
attenant,atténuant
attendre,atteindre
attente,"atteint, atteinte"
atterrer,atterrir
atterrir,atterrer
attouchement,attachement
attraper,attrouper
attrouper,attraper
atténuant,attenant
au-dessous,au-dessus
au-dessus,au-dessous
aubaine,aube
aube,"aubaine, auberge, auge"
auberge,aube
aucun,"aucune, aucuns"
aucune,"aucun, aucuns"
aucuns,"aucun, aucune"
audace,audible
audible,audace
auditeur,auditoire
auditoire,auditeur
auge,"ange, aube, auguste"
augure,augurer
augurer,"agréer, aigreur, aigrir, augure"
auguste,auge
auprès,après
aura,azur
aussi,assis
aussitôt,assiette
austère,astre
autant,antan
autel,autre
auteur,"acteur, autocar, autour"
auto,autour
autocar,auteur
automne,autre
autonome,autonomie
autonomie,autonome
autorité,autoroute
autoroute,autorité
autour,"auteur, auto"
autre,"antre, astre, autel, automne, autres"
autres,autre
autruche,autre
auvent,avant
avachi,avachir
avachir,avachi
aval,avaler
avaler,"aval, avilir"
avance,"avancé, avancée"
avancer,avancé
avancé,"avance, avancer, avancée"
avancée,"avance, avancé, avare"
avant,"amant, auvent"
avare,avancée
avatar,aviateur
avec,aveu
avenir,advenir
aventurer,aventurier
aventurier,aventurer
averti,avertir
avertir,"averti, avorter"
aveu,avec
aveuglement,aveuglément
aveuglément,aveuglement
aviateur,avatar
aviation,avion
avide,"acide, aide, aider, aride"
avidité,"aviné, avisé"
avilir,avaler
aviné,"avidité, avion, avisé"
avion,"aviation, aviné, aviron, aviso"
aviron,avion
avis,"aise, aisé, anis, aviser, aviso"
aviser,"avis, aviver"
aviso,"avion, avis, avisé"
avisé,"aisé, avidité, aviné, avis, aviso"
aviver,aviser
avoir,avorter
avorter,"avertir, avoir"
avérer,aérer
azur,aura
aérer,"armer, avérer"
aérogare,arguer
aéré,"acéré, armé"
aîné,aine
baba,baby
babine,"bambin, bibine, bobine"
babiole,bible
babouche,bibiche
baby,baba
bader,"balader, bande, bander, barder, baser"
badin,"bain, bedaine, bidon, boudin"
baffe,"bouffe, bouffi, bouffée"
bafouer,bafoué
bafoué,bafouer
bagarre,"bagne, bague, barre, bigarré"
bagne,"bagarre, bague, bande, beigne, bougon"
bagnole,"bague, bignole, bougnoule"
bague,"bagarre, bagne, bagnole, baguette, baume"
baguette,bague
baie,"bail, bain, baise, base, bave"
baigner,"baigneur, baignoire"
baigneur,"baigner, baignoire"
baignoire,"baigner, baigneur"
bail,"baie, bain, baril, bile"
bain,"badin, baie, bail, banc, bien"
baise,"baie, baiser, baisse, baisser, base"
baiser,"baise, baisse, baser, blaser, boiserie"
baisse,"baise, baiser, basse, boss, bosse"
baisser,"baise, bosser"
balade,"balader, baleine, bled, bolide"
balader,"bader, balade, baladeur"
baladeur,balader
balafre,"balle, balte"
balance,"balancé, balle, balte, blanc"
balancer,"balancier, balançoire"
balancier,"balancer, balançoire"
balancé,"balance, blanc"
balançoire,"balancer, balancier"
balayer,"balayeur, biler, blaireau, bleuir, bouler"
balayeur,"balayer, biler, blaireau, bleuir, bouler"
balcon,ballon
baleine,"balade, balle, balte, bilan, boulon"
baliser,blaser
ballant,bouillant
balle,"balafre, balance, baleine, ballet, balte"
ballet,"balle, ballot, billet, billot"
ballon,"balcon, ballot, bouillon, bâillon"
ballot,"ballet, ballon, billet, billot"
balte,"balafre, balance, baleine, balle, belote"
bambin,babine
bambou,"bombe, bombé"
banal,"banane, bancal, banlieue"
banane,"banal, benne, bonne, bénin"
bananier,"bannir, bannière, bonnir"
banc,"bain, bancal, blanc"
bancal,"banal, banc"
bande,"bader, bagne, bandeau, bander, bandé"
bandeau,"bande, bander, bandé, bond, bondé"
bander,"bader, bande, bandeau, barder, bonder"
bandit,banquet
bandé,"bande, bandeau, bond, bondé"
banlieue,banal
bannir,"bananier, bannière, bonnir"
bannière,"bananier, bannir, bonnir"
banque,"baquet, barque, basque"
banquet,bandit
baquet,"banque, barque, basque, biquet, boqueteau"
baraque,"barbe, baroque, barque, barre, brique"
baratin,"baron, baryton, breton"
barbaque,barbe
barbare,"barbarie, barbe, barber, barbier, barque"
barbarie,"barbare, barbe, barber, barbier, barre"
barbe,"baraque, barbaque, barbare, barbarie, barbelé"
barbelé,"barbe, barré"
barber,"barbare, barbarie, barbe, barbier, barder"
barbiche,barbe
barbier,"barbare, barbarie, barber, berbère"
barbu,"barbe, barreau, bribe"
barda,"bord, bordé, bordée, bride, bridé"
barder,"bader, bander, barber, barrer, border"
baril,"bail, bariolé, brûlé"
barioler,"brûler, brûlure"
bariolé,"baril, barré, brûlé"
barmaid,brimade
baron,"baratin, borne, borné, brin, bruine"
baroque,"baraque, barbe, barque, barre, brique"
barque,"banque, baquet, baraque, barbare, baroque"
barrage,"barbe, barque"
barre,"bagarre, baraque, barbare, barbarie, barbe"
barreau,"barbu, barre, barrer, barré, beurre"
barrer,"barber, barder, barre, barreau, barrière"
barrette,barre
barrière,"barre, barrer, beurrer, bourrer, brrr"
barré,"barbelé, bariolé, barre, barreau, beurre"
baryton,"baratin, breton"
bas-côté,"biscuit, boy-scout"
basané,"besoin, bison"
bascule,"base, basse"
basculer,"baser, bousculer"
base,"baie, baise, bascule, baser, basse"
baser,"bader, baise, baiser, basculer, base"
basque,"banque, baquet, barque, bassine, busqué"
basse,"baise, baisse, bascule, base, baser"
bassesse,basse
bassin,"bassine, boisson, buisson"
bassine,"base, basque, bassin, boisson, buisson"
bataille,bouteille
batailler,boitiller
bath,béat
batterie,"batteur, battoir, battre, botter"
batteur,"batterie, battoir, battre, botter"
battoir,"batterie, batteur, battre, botter"
battre,"batterie, batteur, battoir, battue, botter"
battu,"battue, botte, botté, butte"
battue,"battre, battu, botte, botté, butte"
baume,"bague, brame, brume"
bavard,buvard
bavarder,baver
bave,"baie, base, baver, baveux, brave"
baver,"bader, baser, bavarder, bave, bavure"
baveux,bave
bavure,"baver, buveur"
beau,"beauté, bedeau, bleu"
beau-frère,bâfrer
beauté,"beau, bleuté"
becter,bercer
bedaine,"badin, bidon, boudin"
bedeau,beau
beige,"beigne, belge, berge"
beigne,"bagne, beige, beignet, bougon, béguin"
beignet,"beigne, bougnat"
belge,"beige, berge, blague"
belote,"balte, bleuté, blot, boulet, boulot"
benne,"banane, bonne, bénin"
benêt,"bonté, béant, bénit"
berbère,"barbare, barbarie, barber, barbier, berge"
bercail,bricole
berceau,broc
bercer,"becter, berceur, berger, berner"
berceur,bercer
berge,"beige, belge, berbère, berger, bergerie"
berger,"bercer, berge, bergerie, berner"
bergerie,"berge, berger"
berline,berge
berner,"bercer, berger, borner, brunir"
besoin,"basané, bison"
bestial,bestiole
bestiau,buste
bestiole,bestial
beugler,bigler
beurre,"barre, barreau, barré, beurrer, beurré"
beurrer,"barrer, barrière, beurre, bourrer, brrr"
beurré,"barre, barreau, barré, beurre, bourre"
biais,baise
bibiche,"babouche, bible, biche"
bibine,"babine, bobine"
bible,"babiole, bibiche, biblique, bile, biler"
biblique,bible
biche,"bibiche, bicher, bicoque, bicorne, boche"
bicher,"biche, boucher, boucherie, bêcher, bêcheur"
bicoque,biche
bicorne,biche
bide,"baie, bidet, bidoche, bien, bile"
bidet,"bide, bride"
bidoche,"bide, bidule"
bidon,"badin, bedaine, bison, boudin"
bidule,bidoche
bien,"baie, bain, bide, bile, bing"
bien-être,bénitier
bienvenu,bienvenue
bienvenue,bienvenu
biffer,"bouffer, bouffir"
biffin,bouffon
bigarré,bagarre
bigler,"beugler, biler"
bignole,"bagnole, bougnoule"
bijou,bijoux
bijoux,bijou
bilan,"baleine, blanc, boulon"
bile,"baie, bail, bible, bide, bien"
biler,"balayer, balayeur, bible, bigler, bile"
bille,"balle, bible, bile, biler, billet"
billet,"ballet, ballot, bile, bille, billot"
billot,"ballet, ballot, billet"
bing,"bain, bien, brin"
bique,"biquet, brique"
biquet,"baquet, bique, boqueteau, bouquet, brique"
biscuit,"bas-côté, boy-scout"
bise,"baie, baise, base, bide, bien"
bison,"basané, besoin, bidon"
bistouri,"bistre, bistro"
bistre,"bistouri, bistro"
bistro,"bistouri, bistre, bistrot"
bistrot,bistro
bite,"baie, bide, bien, bile, bise"
bière,boire
black,blanc
blague,"bague, belge"
blaguer,bulgare
blaireau,"balayer, balayeur, biler, bleuir, bouler"
blanc,"balance, balancé, banc, bilan, black"
blanche,"blanc, blanchi, blaze"
blancheur,blanchir
blanchi,"blanc, blanche"
blanchir,blancheur
blanchisserie,blanchisseur
blanchisseur,blanchisserie
blaser,"baiser, baliser, baser, blazer"
blason,blouson
blasé,"blouse, blues"
blaze,"blanche, blazer"
blazer,"blaser, blaze"
bled,"balade, bile, bleu, bolide"
blesser,"blessure, bleuir"
blessure,blesser
bleu,"beau, bile, bled, bleuir, bleuté"
bleuir,"balayer, balayeur, biler, blaireau, blesser"
bleuter,"bleuté, bleuâtre"
bleuté,"balte, beauté, belote, bleu, bleuter"
bleuâtre,bleuter
blinder,blondeur
blindé,blond
bloc,"blocus, blot, bouc, broc"
blocage,"blouse, bocage"
blocus,"bloc, blouse"
blond,"blindé, bond, bondé"
blondeur,blinder
blot,"balte, belote, bleuté, bloc, boulet"
blouse,"blasé, blocage, blocus, blouson, blues"
blouson,"blason, blouse"
blues,"blasé, blouse"
bluff,bluffer
bluffer,bluff
blâme,"blâmer, blême"
blâmer,"blâme, blêmir"
blême,blâme
blêmir,blâmer
bobine,"babine, bibine"
bocage,blocage
bocal,"boucle, bouclé"
boche,"biche, bouche, bouché, bouchée, broche"
boire,"bière, boiserie, borne"
bois,"bise, boisé, boss, buis"
boiserie,"baiser, baser, boire"
boisson,"bassin, bassine, buisson"
boisé,"bois, brisé"
boiter,"botter, boutoir, buter, bâtir"
boitiller,batailler
bolide,"balade, bled"
bombarder,bombardier
bombardier,bombarder
bombe,"bambou, bomber, bombé"
bomber,bombe
bombé,"bambou, bombe"
bonasse,bonne
bonbonne,bonne
bond,"bande, bandeau, bandé, blond, bonder"
bonder,"bander, bond, bondir, border, borner"
bondir,"bander, bond, bonder, bonnir, buanderie"
bondé,"bande, bandeau, bandé, blond, bond"
bonnard,bond
bonne,"banane, benne, bonasse, bonbonne, bonnet"
bonnet,bonne
bonniche,bonne
bonnir,"bananier, bannir, bannière, bondir"
bonté,"benêt, bondé, borné, botté, béant"
boqueteau,"baquet, biquet, bouquet"
bord,"barda, bond, bordel, border, bordé"
bordel,"bord, border, bordée"
border,"barder, bonder, bord, bordel, bordure"
bordure,"barder, border, borne, brider, broder"
bordé,"barda, bondé, bord, bordée, borné"
bordée,"barda, bord, bordel, border, bordé"
borgne,"borne, borner, bourgeon"
borne,"baron, boire, bonne, bordure, borgne"
borner,"berner, bonder, border, borgne, borne"
borné,"baron, bondé, bonté, bordé, borne"
boss,"baisse, basse, bois, bosse, bosser"
bosse,"baisse, basse, boss, bosselé, bosser"
bosselé,"bosse, boussole"
bosser,"baisser, boss, bosse, brosse"
bossu,"baisse, basse, boss, bosse"
botte,"battu, battue, botter, botté, boîte"
botter,"batterie, batteur, battoir, battre, boiter"
botté,"battu, battue, bonté, botte, butte"
boubou,bouleau
bouc,"bloc, boucan, bouche, bouché, boucle"
boucan,"bouc, bouffon, bouquin, bourbon, bourdon"
bouche,"biche, boche, bouc, bouché, bouchée"
boucher,"bicher, boucherie, bouché, bêcher, bêcheur"
boucherie,"bicher, boucher, bêcher, bêcheur, bûcher"
bouchon,"bouché, boudin"
bouché,"biche, boche, bouc, bouche, boucher"
bouchée,"biche, boche, bouche, bouché, boue"
boucle,"bocal, bouc, bouche, bouclé, boule"
boucler,"bouclier, bâcler"
bouclier,"boucler, bâcler"
bouclé,"bocal, bouc, bouché, boucle"
bouder,"bader, bonder, border, bouderie, boudeur"
bouderie,"bader, bouder, boudeur, boudoir"
boudeur,"bader, bouder, bouderie, boudoir"
boudin,"badin, bedaine, bidon, bouchon, bouffon"
boudoir,"bader, bouder, bouderie, boudeur, bouger"
boue,"bouc, bouchée, boueux, bouffée, bouge"
boueux,boue
bouffe,"baffe, bouffi, bouffée, buffet, buffle"
bouffer,"biffer, bouffir"
bouffi,"baffe, bouffe, bouffée"
bouffir,"biffer, bouder, bouffer, bouger"
bouffon,"biffin, boucan, boudin"
bouffée,"baffe, boue, bouffe, bouffi, bouge"
bouge,"bouchée, boue, bouffée, bouger, bougie"
bougeoir,"bouger, bougre, bégayer"
bouger,"bouder, boudoir, bouffir, bouge, bougeoir"
bougie,"bouge, bouger, bougre"
bougnat,"beignet, boulet, bout"
bougnoule,"bagnole, bignole"
bougon,"bagne, beigne, boulon, bouquin, bourrin"
bougre,"bouge, bougeoir, bouger, bougie, bourre"
bouillant,ballant
bouille,"balle, bille, boue, bouge, bouilli"
bouilli,"balle, bille, bouille, bouillie, bulle"
bouillie,"balle, bille, bouille, bouilli, boule"
bouillir,"bouilloire, bâiller"
bouilloire,"bouillir, bâiller"
bouillon,"ballon, bâillon"
bouillonner,bâillonner
boulanger,boulangerie
boulangerie,boulanger
boule,"bouchée, boucle, boue, bouffée, bouge"
bouleau,"boubou, boule, boulet"
bouler,"balayer, balayeur, biler, blaireau, bleuir"
boulet,"balte, belote, bleuté, blot, boucle"
boulette,boule
boulier,"balayer, balayeur, biler, blaireau, bleuir"
boulon,"baleine, bilan, bougon, boulot, bouquin"
boulot,"balte, belote, bleuté, blot, boulet"
boum,"bouc, boue, bout"
bouquet,"baquet, biquet, boqueteau, bout"
bouquin,"boucan, bougon, boulon, bouton"
bourbon,"boucan, boudin"
bourdon,boucan
bourg,"berge, bouge"
bourgade,"bouge, brigade"
bourgeois,bourgeoisie
bourgeoisie,bourgeois
bourgeon,borgne
bourre,"barre, barreau, barré, beurre, beurré"
bourreau,"barre, barreau, barré, beurre, beurré"
bourrer,"barrer, barrière, beurrer, brrr"
bourrin,"boucan, bougon, boulon, bouton"
bourru,"barre, barreau, barré, beurre, beurré"
bourré,"barre, barreau, barré, beurre, beurré"
bourrée,"barre, barreau, barré, beurre, beurré"
bourse,"blouse, bouchée, bouffée, bougre, bouille"
boursoufler,boursouflure
boursouflure,boursoufler
bousculer,basculer
bouse,"blouse, bosse, bouchée, boue, bouffée"
boussole,"bosselé, boule, bouse"
bout,"blot, bouc, boue, bougnat, boum"
bouteille,bataille
boutoir,"boiter, bouder, bouger, bouton, buter"
bouton,"bougon, boulon, bouquin, bourrin, bout"
boutonner,boutonnière
boutonnière,boutonner
bouée,"boue, bouge, bouille, boule, bouse"
boxe,"boue, boxer, boxeur"
boxer,"boxe, boxeur"
boxeur,"boxe, boxer"
boy-scout,"bas-côté, biscuit"
boîte,botte
braillard,brouillard
brailler,"briller, brouiller"
braise,"baise, baiser, baisse, bourse, bras"
brame,"baume, bramer, branche, branque, brassée"
bramer,"brame, brandir, braver, brimer"
branche,"brame, brave, bronche"
brancher,broncher
brandir,"bramer, braver"
branque,"brame, brave"
braquer,briquer
bras,"base, bourse, braise, brasse, brise"
brasero,"brasier, bravo, briser"
brasier,"brasero, briser"
brasse,"baisse, basse, braise, bras, brassée"
brasser,"brasserie, brosser, bruisser"
brasserie,"brasser, brosser, bruisser"
brassée,"brame, brasse, brave, brosse, brousse"
bravade,brame
brave,"bave, baver, brame, branche, branque"
bravement,brièvement
braver,"baver, bramer, brandir, brave, bravoure"
bravo,"brasero, brave"
bravoure,"brave, braver, bréviaire"
bref,bure
bretelle,broutille
breton,"baratin, baryton"
bribe,"barbe, barbu, bible, bricole, bride"
bricole,"bercail, bribe, bride, bridge, brique"
bride,"barda, bide, bidet, bord, bordé"
brider,"barder, border, bordure, bride, bridge"
bridge,"bricole, bride, brider, brigade, brimade"
bridé,"barda, bord, bordé, bordée, bride"
brigade,"bourgade, bribe, bridge, brique, brise"
briller,"brailler, brouiller"
brimade,"barmaid, bribe, bridge, brique, brise"
brimer,"bramer, brider, briser"
brin,"bain, baron, bien, bing, borne"
brio,"brin, broc"
brioche,"bribe, bride, bridge, brique, brise"
brique,"baraque, baroque, barque, bique, biquet"
briquer,"braquer, brique"
briquet,brique
brise,"baise, bise, bourse, braise, bras"
briser,"baiser, braise, brasero, brasier, brider"
brisé,"boisé, bourse, braise, bras, bridé"
brièvement,bravement
broc,"berceau, bloc, bouc, brio, broche"
brocart,bureaucrate
broche,"boche, bouche, brioche, broc, brochet"
brochet,broche
broder,"barder, bonder, border, bordure, bouder"
broderie,"barder, border, bordure, brider, broder"
brodé,"barda, bondé, bord, bordé, bordée"
bronche,"branche, broche, brosse"
broncher,brancher
bronze,bronzé
bronzé,bronze
brosse,"bosse, bosser, brasse, brassée, bronche"
brosser,"brasser, brasserie, brosse, bruisser"
brouette,burette
brouillard,braillard
brouille,brouillé
brouiller,"brailler, briller"
brouillé,brouille
brousse,"brasse, brassée, broche, brosse"
broutille,bretelle
broyer,"barre, barreau, barré, beurre, beurré"
broyé,brodé
brrr,"barrer, barrière, beurrer, bourrer"
bruine,"baron, borne, borné, brin, bruire"
bruire,"barre, barreau, barré, beurre, beurré"
bruisser,"brasser, brasserie, brosser"
bruit,"bruni, brut, brute, bruyant, béret"
brume,"baume, brame, brumeux, brune, brusque"
brumeux,brume
brun,"baron, borne, borné, brin, bruine"
brune,"baron, borne, borné, brin, bruine"
bruni,"baron, borne, borné, brin, bruine"
brunir,"berner, borner, bruire, brun, bruni"
brunâtre,"brune, brute"
brusque,"bruire, brume, brune, brute"
brusquer,brusquerie
brusquerie,brusquer
brut,"bout, bruit, brun, brutal, brute"
brutal,brut
brute,"bruit, brume, brune, brunâtre, brusque"
bruyant,"bruit, brut"
bruyère,"barre, barreau, barré, beurre, beurré"
brèche,"brioche, broche"
bréviaire,"braver, bravoure"
brûler,"barioler, brûlure"
brûlure,"barioler, brûler"
brûlé,"baril, bariolé"
buanderie,"bander, bonder, bondir"
buffet,"bouffe, buffle"
buffle,"bouffe, buffet"
buis,"bise, bois, buse"
buisson,"bassin, bassine, boisson"
bulbe,"boule, bulgare, bulle"
bulgare,"blaguer, bulbe, bulle"
bulle,"balle, bille, bouille, bouilli, bouillie"
bure,"boue, bref, bureau, burette, buse"
bureau,bure
bureaucrate,brocart
burette,"brouette, bure"
burin,"baron, borne, borné, brin, bruine"
buse,"base, bise, boue, bouse, buis"
busqué,basque
buste,"bestiau, bouse, brute, buse, buter"
buter,"boiter, boutoir, brute, buste, butte"
butin,"bouton, burin, butiner, bâton, béton"
butiner,butin
butte,"battu, battue, botte, botté, brute"
buté,"bout, brut, buée"
buvard,bavard
buveur,"baver, bavure"
buée,"boue, bouée, bure, buse, buté"
bâche,"biche, boche, bouche, bouché, bouchée"
bâcler,"boucler, bouclier"
bâfrer,beau-frère
bâiller,"bouillir, bouilloire"
bâillon,"ballon, bouillon"
bâillonner,bouillonner
bâti,bâtir
bâtiment,bêtement
bâtir,"boiter, boutoir, buter, bâti"
bâton,"bouton, butin, béton"
béant,"benêt, bonté, béat, bénit"
béat,"bath, béant"
bébête,bête
bécane,boucan
béer,buée
bégayer,"bougeoir, bouger, bougre"
béguin,"bagne, beigne, bougon"
bélier,"balayer, balayeur, biler, blaireau, bleuir"
bénin,"banane, benne, bonne, bénir, bénit"
bénir,"bénin, bénit, bénitier"
bénit,"benêt, bonté, béant, bénin, bénir"
bénitier,"bien-être, bénir"
bénédictin,bénédiction
bénédiction,bénédictin
bénéficiaire,bénéficier
bénéficier,bénéficiaire
béret,"bruit, brut, brute"
béton,"bouton, butin, bâton"
bêche,"biche, boche, bouche, bouché, bouchée"
bêcher,"bicher, boucher, boucherie, bêche, bêcheur"
bêcheur,"bicher, boucher, boucherie, bêche, bêcher"
bête,"bite, bébête"
bêtement,bâtiment
bûche,"biche, boche, bouche, bouché, bouchée"
bûcher,"bicher, boucher, boucherie, bêcher, bêcheur"
cabane,cabine
cabanon,canon
cabine,"cabane, cabinet, canine"
cabinet,cabine
cabrer,"cadrer, cambrer, carrer"
caca,"casa, clac, coca, crac"
cacahuète,"cachet, cachot"
cache,"cacher, cachet, cachette, caché, coche"
cachemire,cauchemar
cacher,"cache, cachet, cahier, cancer, cher"
cachet,"cacahuète, cache, cacher, cachot"
cachette,"cache, couchette"
cachot,"cacahuète, cachet, cahot"
caché,"cache, coche, couche, couché, craché"
cadastre,cadre
caddie,cadi
cadeau,caveau
cadence,"cadencé, cadre"
cadencé,cadence
cadet,cadre
cadi,"caddie, caïd, chai"
cador,"cadre, cidre, coudre, cèdre, céder"
