target_word,similar_words,similarity_count,rule_types
adoption,"adoptif, adoration, addition, audition",4,"Rule2-4_EditDistance, Rule5b_Structural"
adopté,"adopter, adoptif, adepte",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
adorable,"admirable, agréable",2,"Rule2-4_EditDistance, Rule5b_Structural"
adorateur,"admirateur, adorer, armateur, adopter",4,Rule5b_Structural
adoration,"admiration, adoption",2,Rule5b_Structural
adorer,"adorateur, adoucir",2,Rule5b_Structural
adosser,"adresser, adoucir",2,"Rule2-4_EditDistance, Rule5b_Structural"
adoucir,"adorer, adonner, adopter, adosser",4,"Rule2-4_EditDistance, Rule5b_Structural"
adresse,"adresser, agresser",2,Rule5b_Structural
adresser,"adresse, agresser, adosser, agresseur",4,"Rule2-4_EditDistance, Rule5b_Structural"
adroitement,affrontement,1,Rule5b_Structural
aduler,adulte,1,Rule2-4_EditDistance
adulte,"adultère, aduler",2,"Rule2-4_EditDistance, Rule5b_Structural"
adultère,"adulte, austère",2,Rule5b_Structural
advenir,avenir,1,Rule5b_Structural
adversaire,"adverse, anniversaire",2,Rule5b_Structural
adverse,"averse, adversaire",2,Rule5b_Structural
affable,"affaler, affaibli, affubler, affre, affiche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affaibli,"affaiblir, affable",2,"Rule5a_Skeleton, Rule5b_Structural"
affaiblir,"affaibli, affairer, affaisser, affaler, affubler",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affaire,"affairer, affairé, affre, affirmer, affiche",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affairer,"affaire, affairé, affaisser, affaler, affamer",5,Rule5b_Structural
affairé,"affaire, affairer, affolé, affre, affinité",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affaisser,"affairer, abaisser, affaler, affamer, affaiblir",5,"Rule2-4_EditDistance, Rule5b_Structural"
affaler,"affamer, affoler, affairer, affable, affubler",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affamer,"affaler, affamé, affairer, affirmer, affaisser",5,"Rule2-4_EditDistance, Rule5b_Structural"
affamé,"affamer, affecté",2,Rule5b_Structural
affectation,"affection, affirmation, affectionner",3,"Rule2-4_EditDistance, Rule5b_Structural"
affecter,"affecté, affectif, affûter, affermir, afficher",5,"Rule2-4_EditDistance, Rule5b_Structural"
affectif,"affection, affecté, affecter, adjectif",4,"Rule2-4_EditDistance, Rule5b_Structural"
affection,"affectation, affectif, affectionner, affliction, abjection",5,"Rule2-4_EditDistance, Rule5b_Structural"
affectionner,"affection, actionner, affectation",3,Rule5b_Structural
affecté,"affecter, affectif, affinité, affamé, affilé",5,Rule5b_Structural
affermir,"affirmer, affecter, affamer",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affiche,"afficher, affre, affable, affaire",4,"Rule2-4_EditDistance, Rule5b_Structural"
afficher,"affiche, affiner, affirmer, affecter, affaler",5,"Rule2-4_EditDistance, Rule5b_Structural"
affilé,"affolé, affinité, affecté",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affiner,"afficher, affirmer, affairer, affliger, affecter",5,Rule5b_Structural
affinité,"affilé, affecté, affairé",3,Rule5b_Structural
affirmatif,affirmation,1,Rule5b_Structural
affirmation,"affirmatif, affectation",2,"Rule2-4_EditDistance, Rule5b_Structural"
affirmer,"affiner, affermir, affamer, afficher, affairer",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affleurer,"affluer, affliger, affairer, affecter",4,Rule5b_Structural
affliction,affection,1,Rule5b_Structural
affliger,"affluer, affiner, affleurer, affairer, affaler",5,"Rule2-4_EditDistance, Rule5b_Structural"
affluer,"afflux, affliger, affleurer, affaler, affoler",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
afflux,affluer,1,Rule5b_Structural
affolant,"affolement, affront",2,Rule5b_Structural
affolement,"affolant, affrontement",2,Rule5b_Structural
affoler,"affaler, affolé, affubler, affluer, affairer",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affolé,"affoler, affilé, affairé, affecté",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
affranchi,affranchir,1,Rule5b_Structural
affranchir,affranchi,1,Rule5b_Structural
affre,"affreux, affaire, affable, affiche, affairé",5,"Rule5a_Skeleton, Rule5b_Structural"
affreusement,"affrontement, amoureusement, anxieusement",3,"Rule2-4_EditDistance, Rule5b_Structural"
affreux,affre,1,Rule5b_Structural
affront,"affronter, affolant, affût",3,Rule5b_Structural
affrontement,"affreusement, affolement, adroitement",3,"Rule2-4_EditDistance, Rule5b_Structural"
affronter,"affront, affûter, affecter, affiner, affoler",5,Rule5b_Structural
affubler,"affaler, affoler, affable, affamer, affiner",5,Rule5b_Structural
affût,"affûter, affront",2,Rule5b_Structural
affûter,"affût, affecter, affronter, affairer, afficher",5,Rule5b_Structural
afin de,afin que,1,Rule5b_Structural
afin que,afin de,1,Rule5b_Structural
africain,américain,1,Rule5b_Structural
agacement,"agencement, avancement",2,Rule5b_Structural
agence,agencer,1,Rule5b_Structural
agencement,"agacement, avancement, alignement",3,"Rule2-4_EditDistance, Rule5b_Structural"
agencer,"agence, argenter",2,Rule5b_Structural
agenouiller,agenouillé,1,Rule5b_Structural
agenouillé,agenouiller,1,Rule5b_Structural
agent,argent,1,Rule5b_Structural
aggraver,agrafer,1,Rule5b_Structural
agile,"argile, aile, asile, aigle, angle",5,"Rule2-4_EditDistance, Rule5b_Structural"
agilité,agité,1,Rule5b_Structural
agir,aire,1,Rule2-4_EditDistance
agitateur,"agiter, aviateur, animateur",3,"Rule2-4_EditDistance, Rule5b_Structural"
agitation,"aviation, animation",2,"Rule2-4_EditDistance, Rule5b_Structural"
agiter,agitateur,1,Rule5b_Structural
agité,agilité,1,Rule5b_Structural
agneau,anneau,1,Rule2-4_EditDistance
agonie,agoniser,1,Rule5b_Structural
agonisant,angoissant,1,Rule5b_Structural
agoniser,"agonie, angoisser, aiguiser, angoisse",4,"Rule2-4_EditDistance, Rule5b_Structural"
agrafe,"agrafer, agréable",2,Rule5b_Structural
agrafer,"agrafe, aggraver, agrandir, agresser, agripper",5,Rule5b_Structural
agrandir,"arrondir, agrafer, amandier",3,"Rule2-4_EditDistance, Rule5b_Structural"
agrandissement,"arrondissement, anéantissement",2,Rule2-4_EditDistance
agresser,"agresseur, adresser, agressif, adresse, agréer",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
agresseur,"agresser, adresser",2,"Rule5a_Skeleton, Rule5b_Structural"
agressif,"agression, agresser",2,"Rule2-4_EditDistance, Rule5b_Structural"
agression,agressif,1,Rule5b_Structural
agricole,"agréable, article",2,"Rule2-4_EditDistance, Rule5b_Structural"
agriculteur,agriculture,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
agriculture,agriculteur,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
agripper,"agréer, agrafer, agresser",3,"Rule2-4_EditDistance, Rule5b_Structural"
agréable,"agricole, adorable, agrafe",3,"Rule2-4_EditDistance, Rule5b_Structural"
agréablement,"accablement, aimablement, admirablement",3,Rule5b_Structural
agréer,"agresser, agripper, augurer, aigreur, aigrir",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
agrégation,abnégation,1,Rule2-4_EditDistance
agrément,"agrémenter, aisément, argument, armement",4,"Rule2-4_EditDistance, Rule5b_Structural"
agrémenter,"agrément, augmenter",2,Rule5b_Structural
ahaner,acharner,1,Rule5b_Structural
ahuri,ahurir,1,Rule5b_Structural
ahurir,ahuri,1,Rule5b_Structural
ahurissant,ahurissement,1,Rule5b_Structural
ahurissement,"ahurissant, abaissement, aboutissement, avertissement",4,Rule5b_Structural
aide,"aider, acide, aride, avide, aile",5,"Rule2-4_EditDistance, Rule5b_Structural"
aider,"aide, aimer, acide, aride, avide",5,"Rule2-4_EditDistance, Rule5b_Structural"
aigle,"aile, aigre, angle, aiguille, agile",5,"Rule2-4_EditDistance, Rule5b_Structural"
aigre,"aigri, aigreur, aire, aigle, aigrette",5,"Rule2-4_EditDistance, Rule5b_Structural"
aigrelet,aigrette,1,Rule2-4_EditDistance
aigrette,"aigrelet, aigre, assiette",3,"Rule2-4_EditDistance, Rule5b_Structural"
aigreur,"aigre, aigrir, augurer, agréer",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
aigri,"aigrir, aigre, amaigri",3,"Rule2-4_EditDistance, Rule5b_Structural"
aigrir,"aigri, aigreur, aiguiser, agréer, augurer",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
aiguillage,"aiguille, aiguiller",2,Rule5b_Structural
aiguille,"aiguiller, aiguillon, aiguillage, anguille, aiguiser",5,"Rule2-4_EditDistance, Rule5b_Structural"
aiguiller,"aiguille, aiguillon, aiguiser, aiguillage, anguille",5,"Rule2-4_EditDistance, Rule5b_Structural"
aiguillon,"aiguille, aiguiller",2,"Rule2-4_EditDistance, Rule5b_Structural"
aiguiser,"aiguisé, aiguiller, aiguille, agoniser, aigrir",5,"Rule2-4_EditDistance, Rule5b_Structural"
aiguisé,aiguiser,1,Rule5b_Structural
aile,"ailé, aigle, agile, asile, aide",5,"Rule2-4_EditDistance, Rule5b_Structural"
ailleurs,artilleur,1,Rule5b_Structural
ailé,"aile, aimé, aisé",3,Rule2-4_EditDistance
aimable,amiable,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
aimablement,"accablement, agréablement, admirablement, amicalement",4,"Rule2-4_EditDistance, Rule5b_Structural"
aimant,"aimanter, amant, amante, amont, aménité",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
aimanter,"aimant, alimenter, amante, aimer, animateur",5,Rule5b_Structural
aimer,"animer, amer, aider, armer, aimanter",5,"Rule2-4_EditDistance, Rule5b_Structural"
aimé,"animé, ailé, aisé, armé",4,"Rule2-4_EditDistance, Rule5b_Structural"
aine,"aide, aile, aire, aise, ange",5,Rule2-4_EditDistance
aire,"aigre, aide, aile, aine, aise",5,"Rule2-4_EditDistance, Rule5b_Structural"
aisance,"alliance, ambiance, aise",3,Rule5b_Structural
aise,"aisé, aide, aile, aine, aire",5,Rule2-4_EditDistance
aisé,"aise, avisé, ailé, aimé, anis",5,"Rule2-4_EditDistance, Rule5b_Structural"
aisément,"agrément, aliment",2,"Rule2-4_EditDistance, Rule5b_Structural"
ajouter,ajuster,1,Rule2-4_EditDistance
ajuster,"ajusté, ajouter",2,"Rule2-4_EditDistance, Rule5b_Structural"
ajusté,ajuster,1,Rule5b_Structural
alangui,alanguir,1,Rule5b_Structural
alanguir,"alangui, aplanir, alpaguer",3,"Rule2-4_EditDistance, Rule5b_Structural"
alarme,"alarmer, arme",2,Rule5b_Structural
alarmer,"alarme, armer, acclamer",3,Rule5b_Structural
alchimie,alchimiste,1,Rule5b_Structural
alchimiste,alchimie,1,Rule5b_Structural
alentour,"alerter, aventure",2,"Rule2-4_EditDistance, Rule5b_Structural"
alerte,"alerter, alerté",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
alerter,"alerte, alerté, alterner, alentour",4,Rule5b_Structural
alerté,"alerte, alerter",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
algue,algèbre,1,Rule5b_Structural
algèbre,algue,1,Rule5b_Structural
algérien,aérien,1,Rule5b_Structural
alias,atlas,1,Rule2-4_EditDistance
alignement,"aliment, agencement",2,"Rule2-4_EditDistance, Rule5b_Structural"
aligner,"aliéner, aligné, assigner, alimenter, affliger",5,"Rule2-4_EditDistance, Rule5b_Structural"
aligné,aligner,1,Rule5b_Structural
aliment,"alimenter, alignement, aisément",3,Rule5b_Structural
alimentaire,"alimentation, alimenter",2,"Rule5a_Skeleton, Rule5b_Structural"
alimentation,"augmentation, alimentaire",2,"Rule2-4_EditDistance, Rule5b_Structural"
alimenter,"aliment, alimentaire, augmenter, aimanter, aligner",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
aliéner,"aligner, alimenter",2,"Rule2-4_EditDistance, Rule5b_Structural"
allant,alléchant,1,Rule5b_Structural
aller,"allier, allouer, allonger, allécher, alléguer",5,"Rule5a_Skeleton, Rule5b_Structural"
alliance,"ambiance, aisance",2,"Rule2-4_EditDistance, Rule5b_Structural"
allier,"aller, altier, allouer, allonger, allécher",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
allié,"allée, allongé",2,"Rule2-4_EditDistance, Rule5b_Structural"
allo,"allô, aloi",2,Rule2-4_EditDistance
allocution,allusion,1,Rule5b_Structural
allonger,"allongé, allouer, alléger, aller, allier",5,Rule5b_Structural
allongé,"allonger, allié, allumé",3,Rule5b_Structural
allouer,"allonger, alléguer, aller, allier, allumer",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
allumer,"allumé, allouer, allonger, allécher, alléguer",5,"Rule2-4_EditDistance, Rule5b_Structural"
allumette,alouette,1,Rule5b_Structural
allumé,"allumer, allongé",2,Rule5b_Structural
allure,"aller, allier, allouer",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
allusion,allocution,1,Rule5b_Structural
allègre,"alléger, allée, allégorie, alléguer",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
allègrement,allégrement,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
alléchant,allant,1,Rule5b_Structural
allécher,"alléger, alléguer, assécher, aller, allier",5,"Rule2-4_EditDistance, Rule5b_Structural"
allée,"aller, allié, allègre",3,"Rule2-4_EditDistance, Rule5b_Structural"
alléger,"alléguer, allécher, allonger, allégorie, allègre",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
allégorie,"alléger, alléguer, allègre",3,"Rule5a_Skeleton, Rule5b_Structural"
allégrement,allègrement,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
alléguer,"alléger, allouer, allécher, alpaguer, aller",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
allô,allo,1,Rule2-4_EditDistance
aloi,"aboi, allo",2,Rule2-4_EditDistance
alouette,allumette,1,Rule5b_Structural
alourdir,"assourdir, assourdi, accourir",3,"Rule2-4_EditDistance, Rule5b_Structural"
alpaguer,"alléguer, alanguir",2,Rule2-4_EditDistance
alternance,alternative,1,Rule5b_Structural
alternative,alternance,1,Rule5b_Structural
alternativement,attentivement,1,Rule5b_Structural
alterner,"altérer, alerter, altier, atterrer",4,"Rule2-4_EditDistance, Rule5b_Structural"
altier,"allier, alterner, aléatoire",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
altitude,"aptitude, attitude, amplitude",3,"Rule2-4_EditDistance, Rule5b_Structural"
