target_word,similar_words,similarity_count
affubler,"affaler, affoler, affable, affamer, affiner",5
affût,"affûter, affront",2
affûter,"affût, affecter, affronter, affairer, afficher",5
afin de,afin que,1
afin que,afin de,1
africain,américain,1
agacement,"agencement, avancement",2
agence,agencer,1
agencement,"agacement, avancement, alignement",3
agencer,"agence, argenter",2
agenouiller,agenouillé,1
agenouillé,agenouiller,1
agent,argent,1
aggraver,agrafer,1
agile,"argile, aile, asile, aigle, angle",5
agilité,agité,1
agir,aire,1
agitateur,"agiter, aviateur, animateur",3
agitation,"aviation, animation",2
agiter,agitateur,1
agité,agilité,1
agneau,anneau,1
agonie,agoniser,1
agonisant,angoissant,1
agoniser,"agonie, angoisser, aiguiser, angoisse",4
agrafe,"agrafer, agréable",2
agrafer,"agrafe, aggraver, agrandir, agresser, agripper",5
agrandir,"arrondir, agrafer, amandier",3
agrandissement,"arrondissement, anéantissement",2
agresser,"agresseur, adresser, agressif, adresse, agréer",5
agresseur,"agresser, adresser",2
agressif,"agression, agresser",2
agression,agressif,1
agricole,"agréable, article",2
agriculteur,agriculture,1
agriculture,agriculteur,1
agripper,"agréer, agrafer, agresser",3
agréable,"agricole, adorable, agrafe",3
agréablement,"accablement, aimablement, admirablement",3
agréer,"agresser, agripper, augurer, aigreur, aigrir",5
agrégation,abnégation,1
agrément,"agrémenter, aisément, argument, armement",4
agrémenter,"agrément, augmenter",2
ahaner,acharner,1
ahuri,ahurir,1
ahurir,ahuri,1
ahurissant,ahurissement,1
ahurissement,"ahurissant, abaissement, aboutissement, avertissement",4
aide,"aider, acide, aride, avide, aile",5
aider,"aide, aimer, acide, aride, avide",5
aigle,"aile, aigre, angle, aiguille, agile",5
aigre,"aigri, aigreur, aire, aigle, aigrette",5
aigrelet,aigrette,1
aigrette,"aigrelet, aigre, assiette",3
aigreur,"aigre, aigrir, augurer, agréer",4
aigri,"aigrir, aigre, amaigri",3
aigrir,"aigri, aigreur, aiguiser, agréer, augurer",5
aiguillage,"aiguille, aiguiller",2
aiguille,"aiguiller, aiguillon, aiguillage, anguille, aiguiser",5
aiguiller,"aiguille, aiguillon, aiguiser, aiguillage, anguille",5
aiguillon,"aiguille, aiguiller",2
aiguiser,"aiguisé, aiguiller, aiguille, agoniser, aigrir",5
aiguisé,aiguiser,1
aile,"ailé, aigle, agile, asile, aide",5
ailleurs,artilleur,1
ailé,"aile, aimé, aisé",3
aimable,amiable,1
aimablement,"accablement, agréablement, admirablement, amicalement",4
aimant,"aimanter, amant, amante, amont, aménité",5
aimanter,"aimant, alimenter, amante, aimer, animateur",5
aimer,"animer, amer, aider, armer, aimanter",5
aimé,"animé, ailé, aisé, armé",4
aine,"aide, aile, aire, aise, ange",5
aire,"aigre, aide, aile, aine, aise",5
aisance,"alliance, ambiance, aise",3
aise,"aisé, aide, aile, aine, aire",5
aisé,"aise, avisé, ailé, aimé, anis",5
aisément,"agrément, aliment",2
ajouter,ajuster,1
ajuster,"ajusté, ajouter",2
ajusté,ajuster,1
alangui,alanguir,1
alanguir,"alangui, aplanir, alpaguer",3
alarme,"alarmer, arme",2
alarmer,"alarme, armer, acclamer",3
alchimie,alchimiste,1
alchimiste,alchimie,1
alentour,"alerter, aventure",2
alerte,"alerter, alerté",2
alerter,"alerte, alerté, alterner, alentour",4
alerté,"alerte, alerter",2
algue,algèbre,1
algèbre,algue,1
algérien,aérien,1
alias,atlas,1
alignement,"aliment, agencement",2
aligner,"aliéner, aligné, assigner, alimenter, affliger",5
aligné,aligner,1
aliment,"alimenter, alignement, aisément",3
alimentaire,"alimentation, alimenter",2
alimentation,"augmentation, alimentaire",2
alimenter,"aliment, alimentaire, augmenter, aimanter, aligner",5
aliéner,"aligner, alimenter",2
allant,alléchant,1
aller,"allier, allouer, allonger, allécher, alléguer",5
alliance,"ambiance, aisance",2
allier,"aller, altier, allouer, allonger, allécher",5
allié,"allée, allongé",2
allo,"allô, aloi",2
allocution,allusion,1
allonger,"allongé, allouer, alléger, aller, allier",5
allongé,"allonger, allié, allumé",3
allouer,"allonger, alléguer, aller, allier, allumer",5
allumer,"allumé, allouer, allonger, allécher, alléguer",5
allumette,alouette,1
allumé,"allumer, allongé",2
allure,"aller, allier, allouer",3
allusion,allocution,1
allègre,"alléger, allée, allégorie, alléguer",4
allègrement,allégrement,1
alléchant,allant,1
allécher,"alléger, alléguer, assécher, aller, allier",5
allée,"aller, allié, allègre",3
alléger,"alléguer, allécher, allonger, allégorie, allègre",5
allégorie,"alléger, alléguer, allègre",3
allégrement,allègrement,1
alléguer,"alléger, allouer, allécher, alpaguer, aller",5
allô,allo,1
aloi,"aboi, allo",2
alouette,allumette,1
alourdir,"assourdir, assourdi, accourir",3
alpaguer,"alléguer, alanguir",2
alternance,alternative,1
alternative,alternance,1
alternativement,attentivement,1
alterner,"altérer, alerter, altier, atterrer",4
altier,"allier, alterner, aléatoire",3
altitude,"aptitude, attitude, amplitude",3
altérer,alterner,1
aléatoire,altier,1
amadou,amadouer,1
amadouer,"amadou, amarrer, amasser, amandier, amateur",5
amaigri,aigri,1
amande,"amante, amende, amandier, amazone",4
amandier,"amande, amarrer, amasser, amadouer, aimanter",5
amant,"amante, aimant, amont, avant, aménité",5
amante,"amant, amande, aimanter, aimant, amont",5
amarre,"amarrer, amazone",2
amarrer,"amarre, amadouer, amandier, amateur",4
amasser,"abaisser, amadouer, amandier, amateur",4
amateur,"armateur, animateur, aviateur, ameuter, amadouer",5
amazone,"amande, amante, amarre",3
ambassade,ambassadeur,1
ambassadeur,ambassade,1
ambiance,"ambiant, ambulance, alliance, aisance",4
ambiant,"ambiance, ambulant",2
ambition,"addition, audition, aviation",3
ambre,"ambré, arbre",2
ambré,ambre,1
ambulance,"ambulant, ambulancier, ambiance",3
ambulancier,ambulance,1
ambulant,"ambulance, ambiant, amusant",3
amen,"amer, amende, arme",3
amende,"amande, amen",2
amenuiser,ameuter,1
amer,"amen, aimer, armer, ameuter, arme",5
ameuter,"amputer, amer, amenuiser, amateur",4
amiable,"aimable, amicale, admirable",3
amical,"amicale, amiral",2
amicale,"amical, amiable",2
amicalement,"accablement, admirablement, aimablement",3
amidonner,"adonner, actionner",2
amiral,amical,1
amirauté,amorti,1
amnistie,armistice,1
amocher,"amorcer, amonceler, amour, amollir, amortir",5
amollir,"amour, amocher, amorcer",3
amonceler,"amorcer, amocher",2
amoncellement,actuellement,1
amont,"amant, amante, aimant, aménité",4
amorce,amorcer,1
amorcer,"amorce, amocher, amonceler, amour, amollir",5
amorti,"amortir, amirauté",2
amortir,"amorti, assortir, amour, amocher",4
amour,"amocher, amollir, amorcer, amortir",4
amoureusement,affreusement,1
ample,"ampleur, ampoule",2
amplement,"amusement, amèrement, armement",3
ampleur,"ample, amputer",2
amplitude,"aptitude, altitude",2
ampoule,ample,1
amputation,adaptation,1
amputer,"ameuter, amputé, ampleur",3
amputé,amputer,1
amusant,"amusement, ambulant",2
amusement,"amplement, amèrement, amusant, armement, autrement",5
amuser,abuser,1
amèrement,"amplement, amusement, autrement, avènement, armement",5
amélioration,"accélération, admiration",2
aménité,"amant, amont, amante, aimant",4
américain,africain,1
analogie,"analogue, anatomie, analyse, anarchie, anomalie",5
analogue,"analogie, analyse, andalou, anatomie",4
analyse,"analyser, analogie, analogue",3
analyser,analyse,1
anarchie,"anarchiste, analogie, anatomie, archive, archipel",5
anarchiste,anarchie,1
anatomie,"anatomique, analogie, anarchie, analogue, atomique",5
anatomique,"anatomie, atomique",2
ancre,"ancrer, antre",2
ancrer,ancre,1
andalou,analogue,1
andouille,anguille,1
ange,"angle, anse, auge, aine",4
angine,"angoisse, anguille",2
angle,"ange, aigle, anguille, agile",4
angoissant,agonisant,1
angoisse,"angoisser, angoissé, angine, anguille, agoniser",5
angoisser,"angoisse, angoissé, agoniser",3
angoissé,"angoisse, angoisser",2
anguille,"aiguille, andouille, aiguiller, angle, anguleux",5
anguleux,anguille,1
animal,"animaux, anomalie",2
animateur,"amateur, armateur, aviateur, agitateur, animer",5
animation,"aviation, agitation",2
animaux,animal,1
animer,"aimer, animateur",2
animé,aimé,1
anis,"anus, avis, anse, aise, aisé",5
anneau,agneau,1
annexe,"annexer, annonce",2
annexer,"annexe, annoncer",2
anniversaire,adversaire,1
annonce,"annoncer, année, annexe",3
annoncer,"annonce, annexer, annuler",3
annuaire,annulaire,1
annulaire,"annuaire, annuler",2
annuler,"annulaire, annoncer",2
année,annonce,1
anomalie,"anormal, animal, analogie, anatomie",4
anonymat,anonyme,1
anonyme,anonymat,1
anormal,anomalie,1
anse,"ange, aise, anis, anus, aine",5
antan,autant,1
antenne,"antienne, antre, antique",3
antibiotique,antipathique,1
antichar,anticiper,1
anticipation,articulation,1
anticiper,antichar,1
antienne,"antenne, antique, antilope, antipode",4
antilope,"antipode, antique, antienne",3
antipathie,antipathique,1
antipathique,"antipathie, antibiotique",2
antipode,"antilope, antique, antienne",3
antiquaire,antique,1
antique,"antiquaire, astiquer, antienne, antilope, antipode",5
antisémite,antisémitisme,1
antisémitisme,antisémite,1
antre,"ancre, astre, autre, antenne, antique",5
anus,"anis, abus, anse",3
anxieusement,affreusement,1
anéantissement,agrandissement,1
apaisant,"apaisement, aspirant",2
apaisement,"abaissement, apaisant",2
apaiser,abaisser,1
aparté,appart,1
apeurer,"apeuré, asperger, a priori",3
apeuré,apeurer,1
apitoyer,apôtre,1
aplanir,"aplatir, alanguir",2
aplati,aplatir,1
aplatir,"aplati, aplanir",2
apostrophe,apostropher,1
apostropher,apostrophe,1
apparat,"appart, apparent, apport, appât, appoint",5
apparaître,"apporter, apprêter",2
appareil,"apparent, appel, apprenti",3
appareillage,appareiller,1
appareiller,"appareillage, apparenter",2
apparemment,"appartement, apparent",2
apparence,"apparent, apparenter, appartenance, apprendre, appendice",5
apparent,"apparenter, apparence, apparemment, appareil, appart",5
apparenter,"apparent, apparence, appareiller, appartenir, apporter",5
apparition,appréciation,1
appart,"apparat, apport, apparent, aparté, appoint",5
appartement,"apparemment, apparent",2
appartenance,apparence,1
appartenir,"apparenter, apporter",2
appauvrir,applaudir,1
appel,"appelé, appeler, appareil",3
appeler,"appel, appelé, apporter, apprêter",4
appellation,"application, approbation",2
appelé,"appel, appeler",2
appendice,"apprendre, apparence",2
appentis,"apprenti, apparent",2
applaudir,appauvrir,1
application,"appellation, approbation, appréciation",3
appliquer,appliqué,1
appliqué,appliquer,1
appoint,"apparent, appât, appart, apparat, appétit",5
apport,"apporter, appart, apparat, appétit, apparent",5
apporter,"apport, apposer, apprêter, avorter, apparenter",5
apposer,"apporter, apprêter, approcher, approuver",4
apprendre,"apparence, appendice",2
apprenti,"apparent, appentis, appareil, argentin",4
approbation,"appréciation, appellation, application",3
approche,approcher,1
approcher,"approche, approuver, accrocher, approprier, apprécier",5
approfondi,approfondir,1
approfondir,approfondi,1
approprier,"approprié, approcher, approuver, apprécier, apporter",5
approprié,approprier,1
approuver,"approcher, approprier, apprêter, apprécier, apposer",5
approvisionnement,approvisionner,1
approvisionner,approvisionnement,1
appréciation,"approbation, application, apparition",3
apprécier,"approprier, approcher, apprêter, approuver",4
apprêter,"apporter, arrêter, approcher, approuver, apprécier",5
appuyer,"appuyé, apporter, apprêter, approuver",4
appuyé,appuyer,1
appât,"apparat, appoint, appétit",3
appétit,"appât, appart, apport, apparat, appoint",5
après,auprès,1
apte,acte,1
aptitude,"altitude, attitude, amplitude",3
apéritif,aspérité,1
apôtre,apitoyer,1
aquatique,asiatique,1
arabe,arbre,1
arbitraire,"arbitre, abstraire",2
arbitre,"arbitraire, arbuste",2
arborer,"aborder, absorber",2
arbre,"ambre, arbuste, arabe",3
arbuste,"arbre, arbitre",2
arcade,"archive, archange",2
archange,"archaïque, arche, archive, arranger, arcade",5
archaïque,"archevêque, archange",2
arche,"archer, archet, archange",3
archer,"arche, archet, arracher",3
archet,"arche, archer",2
archevêque,archaïque,1
archipel,"archive, anarchie",2
architecte,architecture,1
architectural,architecture,1
architecture,"architectural, architecte",2
archive,"archipel, archange, anarchie, arcade",4
archéologie,archéologue,1
archéologue,archéologie,1
ardemment,"ardent, armement, avidement, amèrement, autrement",5
ardent,"argent, ardemment",2
argent,"argenté, argenter, argentin, agent, ardent",5
argenter,"argenterie, argent, argenté, arpenter, argentin",5
argenterie,argenter,1
argentin,"argent, argenté, argenter, argument, apprenti",5
argenté,"argent, argenter, argentin, argument",4
argile,agile,1
arguer,"arquer, argenter, aérogare",3
argument,"argent, armement, argenté, agrément, argenter",5
aride,"aide, acide, avide, aider",4
aristocrate,"aristocratie, aristocratique",2
aristocratie,"aristocrate, aristocratique",2
aristocratique,"aristocratie, aristocrate",2
arithmétique,"athlétique, asthmatique",2
armateur,"amateur, armature, animateur, aviateur, adorateur",5
armature,"armateur, armure, armoire, amateur, armurier",5
arme,"armer, armé, armée, arôme, alarme",5
armement,"ardemment, argument, amplement, amusement, amèrement",5
armer,"arme, alarmer, amer, aimer, armurier",5
armistice,amnistie,1
armoire,"armoirie, armure, armature, arme, armée",5
armoirie,"armoire, armurier, armure, armer",4
armure,"armurier, armature, armoire, armer, armoirie",5
armurier,"armure, armer, armoirie, arrimer, arriver",5
armé,"armée, arme, aimé, aéré",4
armée,"armé, arme, armer, armoire, arôme",5
arpenter,"argenter, absenter",2
arquer,arguer,1
arrachement,"arrangement, attachement",2
arracher,"arraché, archer, arranger, attacher, arrimer",5
arraché,"arracher, arrivé, arrosé, arrêté, arriéré",5
arrangement,arrachement,1
arranger,"arracher, arrimer, arriver, arroser, arrêter",5
arrimer,"arriver, arracher, arranger, armurier",4
arrivage,"arrivant, arrivée, arrosage, arriver, arrière",5
arrivant,"arrivage, arrogant, aberrant",3
arriver,"arrimer, arrivé, arrivée, arrivage, arracher",5
arrivé,"arrivée, arriver, arraché",3
arrivée,"arrivé, arriver, arrivage",3
arrière,"arriéré, arrivage",2
arrière-garde,arrière-salle,1
arrière-grand-mère,arrière-grand-père,1
arrière-grand-père,arrière-grand-mère,1
arrière-plan,arrière-train,1
arrière-salle,arrière-garde,1
arrière-train,arrière-plan,1
arriéré,"arrière, arrosé, arrêté, arraché",4
arrogance,"arrogant, arrosage",2
arrogant,"arrogance, arrivant, aberrant",3
arrondi,arrondir,1
arrondir,"arrondi, arrosoir, agrandir, arroser, arranger",5
arrondissement,agrandissement,1
arrosage,"arrivage, arroser, arrogance, arranger",4
arroser,"arrosé, arrosoir, arrosage, arrondir, arracher",5
arrosoir,"arroser, arrondir",2
arrosé,"arroser, arraché, arriéré",3
arrêt,"arrêté, arrêter, arête",3
arrêter,"arrêt, arrêté, arête, apprêter, arracher",5
arrêté,"arrêt, arrêter, arraché, arriéré",4
artiche,"article, artifice, artère",3
article,"artiche, articuler, articulé, artifice, artère",5
articulation,"accumulation, anticipation",2
articuler,"articulé, article, artilleur",3
articulé,"articuler, article",2
artifice,"artificiel, artiche, article, artiste",4
artificiel,artifice,1
artillerie,artilleur,1
artilleur,"artillerie, articuler, ailleurs",3
artisan,artisanal,1
artisanal,artisan,1
artiste,"artistique, artifice, artère",3
artistique,artiste,1
artère,"artiche, article, artiste",3
arête,"arrêter, arrêt",2
arôme,"arme, armer, armée",3
ascendance,ascendant,1
ascendant,ascendance,1
asiatique,"aquatique, astiquer",2
asile,"aile, agile, aigle",3
asperge,"asperger, aspirine",2
asperger,"asperge, aspirer, apeurer",3
aspirant,"aspirine, attirant, apaisant",3
aspirateur,"admirateur, aspirer",2
aspiration,admiration,1
aspirer,"aspirine, asperger, aspirateur",3
aspirine,"aspirant, aspirer, asperge",3
aspérité,"austérité, apéritif",2
assaillant,assistant,1
assaillir,assouplir,1
assaisonner,assassiner,1
assassin,"assassiné, assassinat, assassiner",3
assassinat,"assassin, assassiné, assassiner",3
assassiner,"assassin, assassiné, assassinat, assaisonner",4
assassiné,"assassin, assassinat, assassiner",3
assemblage,"assemblée, assembler",2
assembler,"assemblée, assemblage, assimiler, assener, assumer",5
assemblée,"assembler, assemblage",2
assener,"assigner, assembler, asservir, absenter, assister",5
assentiment,assortiment,1
asseoir,"asservir, assortir, assoupir, assouvir, associer",5
asservir,"asseoir, assouvir, assener, assortir, assoupir",5
assidûment,assurément,1
assiette,"assister, assise, aigrette, aussitôt",4
assigner,"assener, assister, assiéger, aligner, assimiler",5
assimiler,"assembler, assigner, assister, assiéger, assumer",5
assis,"assise, aussi",2
assise,"assis, assister, assiette",3
assistance,"assistant, assurance",2
assistant,"assistance, assommant, assaillant",3
assister,"assise, assigner, assiéger, assimiler, assiette",5
assiéger,"assiégé, assigner, assister, assimiler, assener",5
assiégé,"assiéger, associé, assuré, assoiffé",4
associer,"associé, assommer, assoiffer, assécher, assortir",5
associé,"associer, assoiffé, assiégé, assuré",4
assoiffer,"assoiffé, associer, assommer, assigner, assister",5
assoiffé,"assoiffer, associé, assiégé",3
assombrir,"assommer, assortir, assoupir, assouvir, assouplir",5
assommant,assistant,1
assommer,"assumer, associer, assombrir, assoiffer, assortir",5
assorti,"assortir, assourdi",2
assortiment,"assentiment, assurément",2
assortir,"assorti, assoupir, assouvir, assourdir, amortir",5
assoupi,"assoupir, assouplir, assourdi, assouvir",4
assoupir,"assoupi, assouplir, assouvir, assourdir, assortir",5
assouplir,"assoupir, assoupi, assouvir, assourdir, assortir",5
assourdi,"assourdir, abasourdi, assoupi, assorti, assoupir",5
assourdir,"assourdi, abasourdir, assoupir, assouvir, assouplir",5
assouvir,"assoupir, assouplir, assourdir, assoupi, assortir",5
assumer,"assurer, assommer, assigner, assister, assiéger",5
assurance,assistance,1
assurer,"assumer, assuré, assigner, assister, assiéger",5
assuré,"assurer, assiégé, associé, asseoir",4
assurément,"assidûment, assortiment",2
assécher,"allécher, associer, assener, assumer, assurer",5
asthmatique,"automatique, arithmétique",2
asticot,asticoter,1
asticoter,"asticot, astiquer",2
astiquer,"abdiquer, attriquer, asticoter, asiatique, antique",5
astre,"antre, autre, austère",3
astreindre,atteindre,1
astucieux,audacieux,1
atelier,atteler,1
athlète,athée,1
athlétique,"arithmétique, atlantique",2
athée,"athéisme, athlète",2
athéisme,"athée, athénien",2
athénien,athéisme,1
atlantique,athlétique,1
atlas,alias,1
atome,atomique,1
atomique,"anatomique, atome, antique, anatomie, astiquer",5
atrocement,"attroupement, autrement, attouchement",3
atrocité,autorité,1
attabler,"atteler, attacher, attaquer, attarder, accabler",5
attachant,"attachement, attenant, attirant, atténuant",4
attache,"attacher, attaché, attente",3
attachement,"attouchement, arrachement, attachant",3
attacher,"attache, attaché, attabler, attaquer, attarder",5
attaché,"attache, attacher, atténué",3
attaque,"attaquer, attente, attitude",3
attaquer,"attaque, attriquer, attabler, attacher, attarder",5
attarder,"attardé, attabler, attacher, attaquer, atterrer",5
attardé,"attarder, atténué",2
atteindre,"attendre, atteinte, astreindre, attendrir, attente",5
atteint,"atteinte, attente, attenant, attentat, attentif",5
atteinte,"atteint, attente, atteindre, attentat, attenant",5
