chinese_word,french_translation,chinese_sentence,french_sentence
吃,manger,我们一起去吃午饭吧。,Allons déjeuner ensemble.
重新,de nouveau/encore,我需要重新开始。,Je dois recommencer.
抽烟,fumer,请不要在这里抽烟。,Veuillez ne pas fumer ici.
出,sortir,他刚才出去了。,Il vient de sortir.
出差,voyage d'affaires,我明天要出差到巴黎。,Je pars en voyage d'affaires à Paris demain.
出生,naître,她在法国出生。,Elle est née en France.
厨房,cuisine,妈妈在厨房做饭。,Maman cuisine dans la cuisine.
除了,sauf/excepté,除了他，所有人都来了。,Tout le monde est venu sauf lui.
船,bateau,那艘船很大。,Ce bateau est très grand.
春,printemps,春天来了。,Le printemps est arrivé.
次,fois,这是我第二次来巴黎。,C'est ma deuxième fois à Paris.
从,de; depuis,他从北京来。,Il vient de Pékin.
从来,toujours; jamais,我从来没去过法国。,Je ne suis jamais allé en France.
粗心,négligent,他做作业很粗心。,Il est négligent dans ses devoirs.
答案,réponse,这个问题的答案很简单。,La réponse à cette question est simple.
打扮,se préparer; s'habiller,她在打扮准备去派对。,Elle se prépare pour aller à la fête.
打算,avoir l'intention de,我打算明年去旅游。,J'ai l'intention de voyager l'année prochaine.
打印,imprimer,请帮我打印这份文件。,"S'il vous plaît, imprimez ce document pour moi."
打折,faire une réduction,这家商店正在打折。,Ce magasin fait des réductions.
大,grand,这是一个大房子。,C'est une grande maison.
大概,probablement,他大概明天来。,Il viendra probablement demain.
大家,tout le monde,大家都喜欢这部电影。,Tout le monde aime ce film.
戴,porter,她戴着一顶红帽子。,Elle porte un chapeau rouge.
代表,représentant,他是我们公司的代表。,Il est le représentant de notre entreprise.
代替,remplacer,她今天代替我工作。,Elle me remplace au travail aujourd'hui.
大夫,médecin,我需要去看大夫,J'ai besoin d'aller voir le médecin
担心,s'inquiéter,妈妈担心我的健康,Maman s'inquiète pour ma santé
蛋糕,gâteau,这个巧克力蛋糕很好吃,Ce gâteau au chocolat est délicieux
但是,mais,我想去但是没有时间,Je veux y aller mais je n'ai pas le temps
当,être,他当老师已经十年了,Il est professeur depuis dix ans
当地,local,我们喜欢吃当地的食物,Nous aimons manger la cuisine locale
当然,bien sûr,你想来吗？当然!,Tu veux venir? Bien sûr!
刀,couteau,这把刀很锋利,Ce couteau est très tranchant
到,arriver,他们已经到家了,Ils sont déjà arrivés à la maison
到底,finalement,你到底想要什么？,Que veux-tu finalement?
道歉,s'excuser,他向我道歉了,Il s'est excusé auprès de moi
得意,fier,他对考试结果很得意,Il est fier de ses résultats d'examen
地,particule -ment,她安静地看书,Elle lit tranquillement
的,de,这是我的书,C'est mon livre
得,particule de degré,他跑得很快,Il court très vite
得,devoir,我得早点回家。,Je dois rentrer tôt à la maison.
灯,lampe,请把灯打开。,Allume la lampe s'il te plaît.
等,attendre,请等一下。,Attendez un moment s'il vous plaît.
等,etcetera,我喜欢苹果、香蕉等水果。,"J'aime les pommes, les bananes, etc."
低,bas,他说话声音很低。,Il parle à voix basse.
底,fond,箱子的底是空的。,Le fond de la boîte est vide.
弟弟,petit frère,我的弟弟今年十岁。,Mon petit frère a dix ans.
地方,endroit,这是一个很好的地方。,C'est un très bon endroit.
地球,Terre,地球是我们的家。,La Terre est notre maison.
地址,adresse,请告诉我你的地址。,Donne-moi ton adresse s'il te plaît.
第一,premier,他是班上第一名。,Il est premier de sa classe.
点,point,墙上有一个黑点。,Il y a un point noir sur le mur.
掉,tomber,书从桌子上掉下来了。,Le livre est tombé de la table.
冬,hiver,冬天很冷。,L'hiver fait très froid.
懂,comprendre,我完全懂你的意思。,Je comprends parfaitement ce que tu veux dire.
都,"tout, tous",我们都喜欢吃冰淇淋,Nous aimons tous manger de la glace
肚子,ventre,我的肚子疼,J'ai mal au ventre
短,court,这条裙子太短了,Cette jupe est trop courte
段,"section, partie",这段路很难走,Cette section de route est difficile
断,"couper, rompre",别断了联系,Ne perdons pas contact
多,beaucoup,这里有很多书,Il y a beaucoup de livres ici
多么,"combien, comme",天气多么好啊！,Comme le temps est beau !
多少,combien,这本书多少钱？,Combien coûte ce livre ?
朵,classificateur de fleurs,一朵白花,Une fleur blanche
而,"et, mais",他聪明而且勤奋,Il est intelligent et diligent
而且,de plus,她漂亮而且聪明,"Elle est belle et, de plus, intelligente"
儿童,enfant,这是儿童公园,C'est un parc pour enfants
儿子,fils,我的儿子今年六岁,Mon fils a six ans
耳朵,oreille,他的耳朵很大,Ses oreilles sont grandes
二,deux,我住在二楼,J'habite au deuxième étage
法律,la loi,每个国家都有自己的法律,Chaque pays a ses propres lois
方便,pratique/commode,这个地方很方便买东西,C'est pratique d'acheter des choses dans cet endroit
方法,la méthode,我找到了解决问题的方法,J'ai trouvé la méthode pour résoudre le problème
方面,aspect/domaine,他在各个方面都很优秀,Il est excellent dans tous les domaines
方向,la direction,我不知道去车站的方向,Je ne connais pas la direction de la gare
放,mettre/placer,请把书放在桌子上,Mets le livre sur la table s'il te plaît
放弃,abandonner,他决定放弃这个工作,Il a décidé d'abandonner ce travail
放暑假,prendre les vacances d'été,学生们开始放暑假了,Les étudiants commencent leurs vacances d'été
放心,être rassuré,你可以放心去旅行,Tu peux partir en voyage tranquillement
非常,très/extrêmement,这个电影非常有意思,Ce film est très intéressant
分,diviser/partager,老师把学生分成小组,Le professeur divise les élèves en groupes
份,part/portion,我想要一份咖啡,Je voudrais une portion de café
丰富,riche/abondant,这里的文化很丰富,La culture est très riche ici
符合,correspondre à,这个答案符合要求,Cette réponse correspond aux exigences
富,riche,他是一个富商人,C'est un riche commerçant
附近,à proximité,学校附近有一家咖啡店,Il y a un café à proximité de l'école
复印,photocopier,我需要复印这些文件,J'ai besoin de photocopier ces documents
干杯,santé,让我们一起干杯吧,Trinquons ensemble
干燥,sec,冬天的空气很干燥,L'air est très sec en hiver
敢,oser,我敢说法语,J'ose parler français
感冒,rhume,我昨天感冒了,J'ai attrapé un rhume hier
感情,sentiment,他们的感情很好,Leur relation est très bonne
干,faire,我今天要干很多工作,J'ai beaucoup de travail à faire aujourd'hui
高,haut,这座山很高,Cette montagne est très haute
高兴,content,我很高兴见到你,Je suis content de te voir
哥哥,grand frère,我哥哥在北京工作,Mon grand frère travaille à Pékin
各,chaque,各个学生都有一本书,Chaque étudiant a un livre
个,classificateur,这个苹果很甜,Cette pomme est très sucrée
个子,taille,他个子很高,Il est de grande taille
跟,avec,我想跟你一起去,Je veux y aller avec toi
根据,selon,根据天气预报，明天会下雨。,"Selon les prévisions météo, il va pleuvoir demain."
更,encore plus,这个问题更难。,Cette question est encore plus difficile.
公斤,kilogramme,这个箱子重二十公斤。,Cette boîte pèse vingt kilogrammes.
公里,kilomètre,学校离我家五公里。,L'école est à cinq kilomètres de chez moi.
公司,entreprise,我在一家大公司工作。,Je travaille dans une grande entreprise.
公园,parc,周末我们去公园散步。,"Le weekend, nous nous promenons dans le parc."
工具,outil,我需要一些工具来修理自行车。,J'ai besoin d'outils pour réparer mon vélo.
工作,travail,我很喜欢我的新工作。,J'aime beaucoup mon nouveau travail.
共同,commun,我们有共同的爱好。,Nous avons des intérêts communs.
狗,chien,他养了一只可爱的狗。,Il a un chien adorable.
够,suffisant,这些钱够买票了吗？,Est-ce que cet argent est suffisant pour acheter le billet ?
鼓励,encourager,老师总是鼓励学生。,Le professeur encourage toujours ses élèves.
鼓掌,applaudir,演出结束后观众都鼓掌了。,Le public a applaudi après le spectacle.
故事,histoire,妈妈给我讲了一个有趣的故事。,Ma mère m'a raconté une histoire intéressante.
故意,délibérément,他不是故意打破杯子的。,Il n'a pas cassé le verre délibérément.
挂,accrocher,请把衣服挂在衣架上。,"S'il te plaît, accroche les vêtements sur le cintre."
关,fermer,请关门。,Ferme la porte s'il te plaît.
关系,relation,他们的关系很好。,Leur relation est très bonne.
关心,se soucier,妈妈很关心我的健康。,Ma mère se soucie beaucoup de ma santé.
关于,à propos de,我想和你谈谈关于工作的事。,Je voudrais te parler à propos du travail.
管理,gérer,他管理这家公司。,Il gère cette entreprise.
光,lumière,房间里的光很亮。,La lumière dans la pièce est très claire.
广播,radio,我每天早上听广播。,J'écoute la radio tous les matins.
广告,publicité,这是一个新的电视广告。,C'est une nouvelle publicité télévisée.
逛,se promener,周末我喜欢逛商场。,J'aime me promener dans les centres commerciaux le weekend.
国家,pays,中国是一个大国家。,La Chine est un grand pays.
果然,en effet,他果然来了。,"En effet, il est venu."
果汁,jus de fruit,这杯果汁很新鲜。,Ce jus de fruit est très frais.
孩子,enfant,这个孩子很可爱。,Cet enfant est très mignon.
海洋,océan,海洋很深很蓝。,L'océan est profond et bleu.
害怕,avoir peur,我害怕黑暗。,J'ai peur du noir.
害羞,timide,她是个害羞的女孩。,C'est une fille timide.
寒假,vacances d'hiver,寒假我要回家。,Je vais rentrer chez moi pendant les vacances d'hiver.
汗,sueur,跑步后我流了很多汗。,J'ai beaucoup transpiré après la course.
航班,vol,我的航班明天早上起飞。,Mon vol décolle demain matin.
好,bon,这个电影很好看。,Ce film est très bon.
好吃,délicieux,这家餐厅的菜很好吃。,La nourriture dans ce restaurant est délicieuse.
好像,sembler,他好像生病了。,Il semble être malade.
号,numéro,今天是三号。,C'est le trois du mois.
喝,boire,我想喝杯咖啡。,Je veux boire une tasse de café.
和,et,我和我的朋友去公园。,Mon ami et moi allons au parc.
河,rivière,这条河很长。,Cette rivière est très longue.
合格,qualifié,他的考试成绩合格了。,Il a obtenu une note suffisante à l'examen.
合适,convenable,这件衣服很合适你。,Ce vêtement te convient bien.
盒子,boîte,请把礼物放在盒子里。,"S'il te plaît, mets le cadeau dans la boîte."
黑,noir,这件衣服是黑色的。,Ce vêtement est noir.
黑板,tableau noir,老师在黑板上写字。,Le professeur écrit sur le tableau noir.
很,très,这个电影很有趣。,Ce film est très intéressant.
猴子,singe,猴子喜欢吃香蕉。,Le singe aime manger des bananes.
厚,épais,这本书很厚。,Ce livre est très épais.
后悔,regretter,我后悔没听他的建议。,Je regrette de ne pas avoir suivi son conseil.
后来,plus tard,后来他成为了医生。,"Plus tard, il est devenu médecin."
后面,derrière,我的房间在后面。,Ma chambre est derrière.
忽然,soudainement,他忽然站了起来。,Il s'est levé soudainement.
互相,mutuellement,我们要互相帮助。,Nous devons nous aider mutuellement.
花,fleur,她在花园里种花。,Elle plante des fleurs dans le jardin.
花园,jardin,这个花园很漂亮。,Ce jardin est très beau.
画,peindre,她喜欢画画。,Elle aime peindre.
坏,mauvais,这个手机坏了。,Ce téléphone est cassé.
黄,jaune,她穿着黄色的裙子。,Elle porte une robe jaune.
回,retourner,他回家了。,Il est retourné à la maison.
回答,répondre,请回答这个问题。,Veuillez répondre à cette question.
会,pouvoir/savoir,我会说法语。,Je sais parler français.
火,feu,房子着火了。,La maison est en feu.
或者,ou,你想喝茶或者咖啡？,Tu veux du thé ou du café ?
机会,opportunité,这是一个好机会。,C'est une bonne opportunité.
几乎,presque,我几乎每天都运动。,Je fais presque du sport tous les jours.
极,extrême,这是极重要的事。,C'est une affaire d'une extrême importance.
极其,extrêmement,这个问题极其复杂。,Cette question est extrêmement complexe.
集合,rassembler,学生们在操场集合。,Les élèves se rassemblent dans la cour.
即使,même si,即使下雨我也要去。,J'irai même s'il pleut.
几,combien/quelques,你有几本书？,Combien de livres as-tu ?
寄,envoyer,我要寄一封信。,Je vais envoyer une lettre.
既然,puisque,既然你同意，我们就开始吧。,"Puisque tu es d'accord, commençons."
家,maison/famille,我的家在北京。,Ma maison est à Pékin.
家具,meubles,我们需要买新的家具。,Nous devons acheter de nouveaux meubles.
加班,faire des heures supplémentaires,今晚我要加班。,Je dois faire des heures supplémentaires ce soir.
加油站,station-service,前面有一个加油站。,Il y a une station-service devant.
假,faux,这个包是假的。,Ce sac est faux.
价格,prix,这个价格太高了。,Ce prix est trop élevé.
减肥,perdre du poids,她正在努力减肥。,Elle essaie de perdre du poids.
减少,réduire,我们必须减少浪费。,Nous devons réduire le gaspillage.
件,pièce,我买了三件衣服。,J'ai acheté trois pièces de vêtements.
健康,santé,健康比什么都重要。,La santé est plus importante que tout.
将来,avenir,将来我想当医生。,"À l'avenir, je veux devenir médecin."
降低,baisser,商店降低了价格。,Le magasin a baissé ses prix.
教,enseigner,她在学校教法语。,Elle enseigne le français à l'école.
交,remettre,请交作业。,Veuillez remettre vos devoirs.
交流,échanger,我们需要多交流。,Nous devons plus échanger.
交通,circulation,这里的交通很拥挤。,La circulation est très dense ici.
角,angle/coin/corne,这个房间的角里有一张桌子,Il y a une table dans le coin de cette pièce
脚,pied/jambe,我的脚很疼,Mon pied me fait mal
叫,appeler/crier,我叫玛丽,Je m'appelle Marie
教室,salle de classe,学生们在教室里学习,Les élèves étudient dans la salle de classe
教授,professeur,他是大学的教授,Il est professeur d'université
教育,éducation,教育对孩子很重要,L'éducation est importante pour les enfants
接,recevoir/prendre,请接这个包裹,Veuillez prendre ce colis
接受,accepter,我接受你的建议,J'accepte ton conseil
街道,rue,这条街道很安静,Cette rue est très calme
姐姐,grande sœur,我的姐姐在北京工作,Ma grande sœur travaille à Pékin
解决,résoudre,我们需要解决这个问题,Nous devons résoudre ce problème
借,emprunter/prêter,可以借我一支笔吗？,Peux-tu me prêter un stylo ?
今天,aujourd'hui,今天天气很好,Il fait beau aujourd'hui
尽管,bien que/malgré,尽管下雨我们也去,"Bien qu'il pleuve, nous y allons"
近,proche/près,我家离学校很近,Ma maison est proche de l'école
禁止,interdire,这里禁止吸烟。,Il est interdit de fumer ici.
精彩,brillant/magnifique,这场比赛真精彩！,Ce match était vraiment magnifique !
精神,esprit,她今天的精神很好。,Elle a le moral très bon aujourd'hui.
警察,policier,警察在路上巡逻。,Le policier patrouille dans la rue.
竟然,étonnamment,他竟然没来上课。,"Étonnamment, il n'est pas venu en cours."
究竟,enfin/au fond,你究竟想要什么？,Que veux-tu au fond ?
九,neuf,我九点上班。,Je commence le travail à neuf heures.
久,longtemps,我们很久没见了。,Cela fait longtemps qu'on ne s'est pas vus.
旧,vieux/ancien,这是我的旧手机。,C'est mon ancien téléphone.
就,juste/alors,我就来了。,J'arrive tout de suite.
距离,distance,学校距离这里很近。,L'école est à courte distance d'ici.
句子,phrase,这个句子很简单。,Cette phrase est très simple.
决定,décider,我决定明天去北京。,J'ai décidé d'aller à Pékin demain.
咖啡,café,我每天早上喝咖啡。,Je bois du café tous les matins.
开,ouvrir,请开窗户。,Veuillez ouvrir la fenêtre.
开始,commencer,我们什么时候开始上课？,Quand commençons-nous le cours ?
开玩笑,plaisanter,他只是在开玩笑，别当真。,"Il plaisante seulement, ne le prends pas au sérieux."
看,regarder/voir,我要看一本书。,Je vais lire un livre.
看法,point de vue,我对这件事有不同的看法。,J'ai un point de vue différent sur cette question.
棵,classificateur,院子里有三棵树。,Il y a trois arbres dans la cour.
科学,science,我最喜欢的科目是科学。,Ma matière préférée est la science.
咳嗽,tousser,他感冒了，一直在咳嗽。,Il est enrhumé et il tousse sans arrêt.
渴,avoir soif,跑步后我很渴。,J'ai très soif après avoir couru.
可怜,pitoyable,那只小猫很可怜。,Ce petit chat est pitoyable.
可能,possible,明天可能会下雨。,Il est possible qu'il pleuve demain.
可是,mais,我想去，可是没有时间。,"Je veux y aller, mais je n'ai pas le temps."
可惜,dommage,可惜我没看到这部电影。,C'est dommage que je n'aie pas vu ce film.
可以,pouvoir,你可以用我的笔。,Tu peux utiliser mon stylo.
刻,quart d'heure,现在是三点一刻。,Il est trois heures et quart.
客人,invité/client,今天有客人来访。,"Aujourd'hui, nous avons des invités."
肯定,certain/sûr,我肯定会准时到达。,Je serai certainement à l'heure.
空气,l'air,今天的空气很新鲜。,L'air est très frais aujourd'hui.
恐怕,je crains que/peut-être,恐怕我今天不能去。,Je crains que je ne puisse pas venir aujourd'hui.
口,bouche,这个家有三口人。,Cette famille compte trois personnes.
哭,pleurer,孩子为什么在哭？,Pourquoi l'enfant pleure-t-il?
苦,amer/pénible,这个咖啡太苦了。,Ce café est trop amer.
快,rapide/vite,请快一点，我们要迟到了。,"Dépêche-toi, nous allons être en retard."
筷子,baguettes,我需要一双筷子。,J'ai besoin d'une paire de baguettes.
困,fatigué/coincé,我今天很困。,Je suis très fatigué aujourd'hui.
拉,tirer,请拉开窗帘。,"Tirez les rideaux, s'il vous plaît."
垃圾桶,poubelle,垃圾桶在厨房里。,La poubelle est dans la cuisine.
辣,piquant/épicé,这个菜很辣。,Ce plat est très épicé.
来,venir,他明天来北京。,Il vient à Pékin demain.
来不及,ne pas avoir le temps,我来不及吃早饭。,Je n'ai pas le temps de prendre le petit-déjeuner.
来得及,avoir le temps,我们来得及赶火车。,Nous avons le temps d'attraper le train.
浪漫,romantique,这家餐厅很浪漫,Ce restaurant est très romantique
老,vieux,老王是我的好朋友,Le vieux Wang est mon bon ami
老虎,tigre,动物园里有一只老虎,Il y a un tigre dans le zoo
了,particule de fin,我吃饭了,J'ai mangé
累,fatigué,工作一天我很累,Je suis fatigué après une journée de travail
冷,froid,今天天气很冷,Il fait très froid aujourd'hui
冷静,calme,请保持冷静,Restez calme s'il vous plaît
离,quitter,我们离火车站很近,Nous sommes près de la gare
离开,partir,他明天要离开北京,Il va partir de Pékin demain
里,dans,钱包在包里,Le portefeuille est dans le sac
理解,comprendre,我完全理解你的意思,Je comprends parfaitement ce que tu veux dire
理想,idéal,这是我的理想工作,C'est mon travail idéal
礼貌,politesse,他是个很有礼貌的人,C'est une personne très polie
礼物,cadeau,这是给你的生日礼物,C'est un cadeau d'anniversaire pour toi
厉害,fort/redoutable,他的中文说得很厉害,Il parle très bien le chinois
力气,force,他没有力气搬这张桌子。,Il n'a pas la force de déplacer cette table.
例如,par exemple,很多水果很甜，例如草莓。,"Beaucoup de fruits sont sucrés, par exemple les fraises."
凉快,frais,夏天晚上很凉快。,Les soirées d'été sont très fraîches.
两,deux,我买了两本书。,J'ai acheté deux livres.
亮,brillant,今天太阳很亮。,Le soleil est très brillant aujourd'hui.
聊天,bavarder,我们每天晚上都在线聊天。,Nous bavardons en ligne tous les soirs.
了解,comprendre,我完全了解你的意思。,Je comprends parfaitement ce que tu veux dire.
零,zéro,温度降到零度以下。,La température est descendue en dessous de zéro.
另外,en plus,我要咖啡，另外请给我一杯水。,"Je veux un café, et en plus un verre d'eau s'il vous plaît."
留,laisser,请给我留个信息。,Laisse-moi un message s'il te plaît.
留学,étudier à l'étranger,他去法国留学了。,Il est parti étudier en France.
流泪,pleurer,这个电影让我流泪了。,Ce film m'a fait pleurer.
流利,couramment,她说法语说得很流利。,Elle parle couramment le français.
流行,populaire,这首歌在年轻人中很流行。,Cette chanson est populaire parmi les jeunes.
六,six,我有六个苹果。,J'ai six pommes.
楼,immeuble,这个楼有十层高。,Cet immeuble fait dix étages.
路,route,这条路通向学校。,Cette route mène à l'école.
乱,désordonné,我的房间很乱。,Ma chambre est désordonnée.
旅游,voyager,我喜欢去中国旅游。,J'aime voyager en Chine.
慢,lent,他走路很慢。,Il marche très lentement.
忙,occupé,对不起，我现在很忙。,"Désolé, je suis très occupé maintenant."
猫,chat,我家有一只黑猫。,J'ai un chat noir à la maison.
毛巾,serviette,请给我一条干净的毛巾。,"Donnez-moi une serviette propre, s'il vous plaît."
帽子,chapeau,她戴着一顶红帽子。,Elle porte un chapeau rouge.
没,ne pas avoir,我没有时间。,Je n'ai pas le temps.
没关系,ce n'est pas grave,我迟到了。-没关系。,Je suis en retard. -Ce n'est pas grave.
每,chaque,他每天都去跑步。,Il va courir chaque jour.
妹妹,petite sœur,我的妹妹今年十岁。,Ma petite sœur a dix ans cette année.
门,porte,请关上门。,"Ferme la porte, s'il te plaît."
梦,rêve,我昨晚做了一个好梦。,J'ai fait un beau rêve la nuit dernière.
米,riz/mètre,我需要买一袋米。,J'ai besoin d'acheter un sac de riz.
面包,pain,每天早上我都吃面包。,Je mange du pain tous les matins.
面条,nouilles,这家餐厅的面条很好吃。,Les nouilles de ce restaurant sont délicieuses.
民族,nationalité/ethnie,中国有很多民族。,La Chine a beaucoup d'ethnies.
明白,comprendre/clair,我完全明白你的意思。,Je comprends parfaitement ce que tu veux dire.
明天,demain,明天我们去公园。,Demain nous allons au parc.
名字,nom,请告诉我你的名字。,"Dis-moi ton nom, s'il te plaît."
目的,but/objectif,我来这里的目的是学习。,Mon but ici est d'étudier.
拿,prendre/tenir,请拿着这本书。,"Prends ce livre, s'il te plaît."
哪,quel/lequel,你喜欢哪个颜色？,Quelle couleur préfères-tu?
哪儿,où,你的书在哪儿？,Où est ton livre?
那,ce/cela/celui-là,那是我的房子。,C'est ma maison.
那儿,là-bas,我的车在那儿。,Ma voiture est là-bas.
奶奶,grand-mère,我的奶奶住在北京。,Ma grand-mère habite à Pékin.
耐心,patient/patience,学习语言要有耐心。,Il faut être patient pour apprendre une langue.
南,sud,我家在南边。,Ma maison est au sud.
男人,homme,那个男人是我的老师。,Cet homme est mon professeur.
呢,et,你呢？你想去哪里？,Et toi ? Où veux-tu aller ?
内,intérieur,请往里面走。,Veuillez entrer à l'intérieur.
内容,contenu,这本书的内容很有趣。,Le contenu de ce livre est très intéressant.
能,pouvoir,我能说法语。,Je peux parler français.
能力,capacité,他的学习能力很强。,Sa capacité d'apprentissage est très forte.
你,tu,你住在哪里？,Où habites-tu ?
年,année,今年是2024年。,Cette année est 2024.
您,vous,您好，请坐。,"Bonjour, veuillez vous asseoir."
牛奶,lait,我每天早上喝牛奶。,Je bois du lait tous les matins.
弄,faire,我不知道怎么弄。,Je ne sais pas comment faire.
努力,s'efforcer,他很努力地学习。,Il étudie avec beaucoup d'efforts.
暖和,chaud,今天天气很暖和。,Il fait chaud aujourd'hui.
女儿,fille,我的女儿今年五岁。,Ma fille a cinq ans cette année.
女人,femme,这个女人是我的老师。,Cette femme est mon professeur.
偶尔,parfois,我偶尔去电影院。,Je vais parfois au cinéma.
爬山,faire de la randonnée,周末我喜欢和朋友爬山。,J'aime faire de la randonnée avec mes amis le week-end.
排列,arrangement,请把这些书按字母排列。,Veuillez arranger ces livres par ordre alphabétique.
判断,juger,很难判断这是对还是错。,Il est difficile de juger si c'est vrai ou faux.
胖,gros,这只猫很胖但很可爱。,Ce chat est gros mais mignon.
跑步,courir,我每天早上跑步。,Je cours tous les matins.
陪,accompagner,我今天要陪妈妈去购物。,Je vais accompagner ma mère faire du shopping aujourd'hui.
朋友,ami,他是我最好的朋友。,C'est mon meilleur ami.
皮肤,peau,她的皮肤很好。,Elle a une belle peau.
啤酒,bière,他喜欢喝啤酒。,Il aime boire de la bière.
脾气,tempérament,她的脾气很好。,Elle a un bon tempérament.
便宜,bon marché,这件衣服很便宜。,Ce vêtement est bon marché.
票,billet,我买了两张电影票。,J'ai acheté deux billets de cinéma.
漂亮,beau/belle,这朵花很漂亮。,Cette fleur est belle.
苹果,pomme,这个苹果很甜,Cette pomme est très sucrée
瓶子,bouteille,请把瓶子放在桌子上,"S'il te plaît, pose la bouteille sur la table"
破,cassé,我的手机屏幕破了,L'écran de mon téléphone est cassé
葡萄,raisin,我喜欢吃紫色的葡萄,J'aime manger les raisins violets
普遍,général,这是一个普遍的现象,C'est un phénomène général
七,sept,我有七本书,J'ai sept livres
妻子,épouse,他的妻子是老师,Son épouse est professeur
其次,ensuite,首先学习，其次运动,"D'abord étudier, ensuite faire du sport"
其他,autre,其他的学生都来了,Les autres étudiants sont tous venus
其中,parmi,其中有三个是我的朋友,"Parmi eux, trois sont mes amis"
奇怪,étrange,这件事很奇怪,Cette chose est étrange
起床,se lever,我每天七点起床,Je me lève tous les jours à sept heures
