chinese_word,french_translation,chinese_sentence,french_sentence
哪,quel/quelle,你住在哪个城市？,Dans quelle ville habites-tu?
哪儿,où,你的书在哪儿？,Où est ton livre?
那,"ce, cela, ça",我要那本书。,Je veux ce livre-là.
那儿,là-bas,我的车在那儿。,Ma voiture est là-bas.
奶奶,grand-mère,我的奶奶住在北京。,Ma grand-mère habite à Pékin.
南,sud,他家在南方。,Sa maison est dans le sud.
男人,homme,那个男人是我的老师。,Cet homme est mon professeur.
呢,et,你好，你呢？,"Bonjour, et toi?"
能,pouvoir,我能说法语。,Je peux parler français.
你,tu,你住在哪里？,Où habites-tu?
年,année,今年是2024年。,Cette année est 2024.
您,vous,您好，老师。,"Bonjour, professeur."
牛奶,lait,我每天喝牛奶。,Je bois du lait tous les jours.
努力,s'efforcer,我要努力学习。,Je dois étudier avec effort.
女儿,fille,她的女儿很可爱。,Sa fille est très mignonne.
女人,femme,那个女人是医生。,Cette femme est médecin.
爬山,faire de la randonnée,周末我喜欢和朋友一起爬山,Le weekend j'aime faire de la randonnée avec mes amis
胖,gros,我的猫最近变得很胖,Mon chat est devenu très gros récemment
跑步,courir,每天早上我都去公园跑步,Je vais courir au parc tous les matins
朋友,ami,她是我最好的朋友,Elle est ma meilleure amie
啤酒,bière,他喜欢喝冰啤酒,Il aime boire de la bière fraîche
便宜,pas cher,这件衣服很便宜,Ce vêtement est très bon marché
票,billet,我买了两张电影票,J'ai acheté deux billets de cinéma
漂亮,beau/belle,这朵花真漂亮,Cette fleur est très belle
苹果,pomme,我每天吃一个苹果,Je mange une pomme par jour
葡萄,raisin,我很喜欢吃葡萄,J'aime beaucoup manger des raisins
七,sept,我有七本书,J'ai sept livres
妻子,épouse,他的妻子是老师,Son épouse est professeur
其他,autre,其他人都回家了,Les autres sont rentrés chez eux
起床,se lever,我每天七点起床,Je me lève à sept heures tous les jours
千,mille,这本书卖一千元,Ce livre coûte mille yuans
前面,devant,请在前面等我。,Attendez-moi devant.
清楚,clair,我现在明白得很清楚。,Je comprends très clairement maintenant.
晴,ensoleillé,今天天气很晴。,Il fait beau aujourd'hui.
秋,automne,秋天是我最喜欢的季节。,L'automne est ma saison préférée.
去,aller,我要去超市买东西。,Je vais au supermarché faire des courses.
奇怪,étrange,这个声音很奇怪。,Ce bruit est étrange.
去年,l'année dernière,去年我去了法国。,"L'année dernière, je suis allé en France."
裙子,jupe,这条裙子很漂亮。,Cette jupe est très jolie.
然后,ensuite,我先吃饭，然后去工作。,"Je mange d'abord, ensuite je vais travailler."
人,personne,这个房间里有三个人。,Il y a trois personnes dans cette pièce.
日,jour,今日天气很好。,Le temps est beau aujourd'hui.
容易,facile,这个题目很容易。,Cet exercice est facile.
如果,si,如果下雨我就不去。,"Si il pleut, je n'irai pas."
三,trois,我有三本书。,J'ai trois livres.
商店,magasin,这个商店九点开门。,Ce magasin ouvre à neuf heures.
上,sur,书在桌子上,Le livre est sur la table
上班,aller au travail,我每天早上八点上班,Je vais au travail tous les jours à huit heures
上网,se connecter à Internet,我喜欢在家上网,J'aime me connecter à Internet à la maison
上午,matin,上午我去买菜,"Le matin, je vais faire les courses"
少,peu,这里的人很少,Il y a peu de gens ici
身体,corps,要注意保护身体,Il faut prendre soin de son corps
什么,quoi,你想吃什么？,Que veux-tu manger ?
生病,tomber malade,他昨天生病了,Il est tombé malade hier
生气,être en colère,请不要生气,"S'il te plaît, ne sois pas en colère"
生日,anniversaire,今天是我的生日,Aujourd'hui c'est mon anniversaire
声音,voix,这个声音很好听,Cette voix est très belle
十,dix,我有十本书,J'ai dix livres
使,faire,这使我很开心,Cela me rend heureux
是,être,他是老师,Il est professeur
世界,monde,这是一个美丽的世界,C'est un beau monde
事情,affaire,这件事情很重要,Cette affaire est très importante
手表,montre,我的手表坏了,Ma montre est cassée
手机,téléphone portable,我忘记带手机了,J'ai oublié mon téléphone portable
瘦,mince,她变得很瘦,Elle est devenue très mince
舒服,confortable,这张椅子很舒服,Cette chaise est très confortable
叔叔,oncle,我的叔叔住在巴黎,Mon oncle habite à Paris
数学,mathématiques,我喜欢学数学,J'aime étudier les mathématiques
双,paire,我买了一双新鞋,J'ai acheté une paire de nouvelles chaussures
水,eau,我每天喝很多水,Je bois beaucoup d'eau chaque jour
水果,fruit,她爱吃水果,Elle aime manger des fruits
水平,niveau,他的法语水平很高,Son niveau de français est élevé
司机,chauffeur,这个司机开车很好,Ce chauffeur conduit très bien
四,quatre,我有四本书,J'ai quatre livres
送,offrir,我想送你一个礼物,Je veux t'offrir un cadeau
虽然,bien que,虽然下雨了我们还是去了,"Bien qu'il pleuvait, nous y sommes allés"
所以,donc,因为下雨了，所以我们不能去公园。,"Comme il pleut, donc nous ne pouvons pas aller au parc."
他,il,他是我的好朋友。,Il est mon bon ami.
她,elle,她喜欢读书。,Elle aime lire des livres.
它,il/elle (pour objets),它是一只可爱的猫。,C'est un chat mignon.
太,trop,这个房间太小了。,Cette pièce est trop petite.
太阳,soleil,今天太阳很大。,Le soleil est fort aujourd'hui.
糖,sucre,我不喜欢吃太多糖。,Je n'aime pas manger trop de sucre.
特别,spécial/particulièrement,这个餐厅特别好吃。,Ce restaurant est particulièrement bon.
踢足球,jouer au football,我们周末喜欢踢足球。,Nous aimons jouer au football le weekend.
提高,améliorer,我想提高我的法语水平。,Je veux améliorer mon niveau de français.
体育,sport,他很喜欢体育运动。,Il aime beaucoup le sport.
天气,temps (météo),今天天气很好。,Il fait beau aujourd'hui.
甜,sucré,这个蛋糕很甜。,Ce gâteau est très sucré.
条,pièce/morceau,我买了一条新裤子。,J'ai acheté un nouveau pantalon.
跳舞,danser,她很会跳舞。,Elle danse très bien.
听,écouter,我喜欢听音乐,J'aime écouter de la musique
同事,collègue,这是我的新同事,C'est mon nouveau collègue
同学,camarade de classe,他是我的老同学,C'est mon ancien camarade de classe
同意,être d'accord,我同意你的想法,Je suis d'accord avec ton idée
突然,soudain,他突然来了,Il est venu soudainement
外,extérieur,外面下雨了,Il pleut dehors
完,finir,电影看完了,Le film est terminé
完成,accomplir,我完成了作业,J'ai terminé mes devoirs
玩,jouer,孩子们在公园玩,Les enfants jouent dans le parc
碗,bol,这个碗很漂亮,Ce bol est très joli
晚上,soir,晚上我们去吃饭,Nous allons dîner ce soir
万,dix mille,这本书卖了一万本,Ce livre s'est vendu à dix mille exemplaires
喂,allô,喂，你好吗？,"Allô, comment vas-tu ?"
位,personne (classificateur),这位是我的老师,Cette personne est mon professeur
文化,culture,中国文化很有趣,La culture chinoise est très intéressante
我,je/moi,我是学生,Je suis étudiant
五,cinq,我有五本书,J'ai cinq livres
西,ouest,太阳从西边落下,Le soleil se couche à l'ouest
西瓜,pastèque,夏天我喜欢吃西瓜,"En été, j'aime manger de la pastèque"
希望,espérer/espoir,我希望明天是晴天,J'espère qu'il fera beau demain
洗,laver,我要洗衣服,Je vais laver les vêtements
洗澡,se doucher,晚上我要洗澡,Je vais prendre une douche ce soir
下,bas/descendre,请往下看,Regardez en bas s'il vous plaît
下午,après-midi,下午我去买东西,Je vais faire des courses cet après-midi
下雨,pleuvoir,今天下雨了,Il pleut aujourd'hui
夏,été,夏天很热,L'été fait très chaud
先,d'abord,请你先坐,Asseyez-vous d'abord
先生,monsieur,王先生是老师,Monsieur Wang est professeur
香蕉,banane,我想买香蕉,Je veux acheter des bananes
相同,identique,这两本书是相同的,Ces deux livres sont identiques
相信,croire,我相信你会成功的,Je crois que tu vas réussir
想,penser/vouloir,我想去法国旅游,Je veux voyager en France
向,vers,他向学校走去,Il marche vers l'école
像,ressembler à,她很像她的妈妈,Elle ressemble beaucoup à sa mère
小,petit,这是一个小房间,C'est une petite chambre
小姐,mademoiselle,王小姐是我的老师,Mademoiselle Wang est mon professeur
小心,faire attention,过马路要小心,Il faut faire attention en traversant la rue
笑,rire/sourire,她总是在笑,Elle sourit toujours
些,quelques,我买了些水果,J'ai acheté quelques fruits
鞋,chaussures,这双鞋很舒服,Ces chaussures sont très confortables
写,écrire,我在写一封信,J'écris une lettre
新,nouveau,这是一本新书,C'est un nouveau livre
信,lettre,我收到一封信,J'ai reçu une lettre
星期,semaine,下星期我去北京,"La semaine prochaine, je vais à Pékin"
行李箱,valise,我的行李箱很重,Ma valise est très lourde
姓,nom de famille,你姓什么？,Quel est ton nom de famille?
兴趣,intérêt,我对音乐很有兴趣。,Je suis très intéressé par la musique.
熊猫,panda,熊猫喜欢吃竹子。,Les pandas aiment manger du bambou.
休息,se reposer,我们需要休息一下。,Nous avons besoin de nous reposer un peu.
需要,avoir besoin de,我需要买新衣服。,J'ai besoin d'acheter de nouveaux vêtements.
学生,étudiant,他是大学的学生。,Il est étudiant à l'université.
学校,école,这是我的学校。,C'est mon école.
雪,neige,今天下雪了。,Il neige aujourd'hui.
眼睛,yeux,她的眼睛很漂亮。,Ses yeux sont très beaux.
羊肉,mouton,这家餐厅的羊肉很好吃。,Le mouton de ce restaurant est délicieux.
要求,demander,老师要求我们做作业。,Le professeur nous demande de faire nos devoirs.
要,vouloir,我要去商店。,Je veux aller au magasin.
也,aussi,我也喜欢看电影。,J'aime aussi regarder des films.
一,un,我有一本书。,J'ai un livre.
衣服,vêtements,这件衣服很漂亮。,Ce vêtement est très joli.
医生,médecin,这位医生很有经验。,Ce médecin est très expérimenté.
医院,hôpital,医院在街道的右边。,L'hôpital est à droite de la rue.
一定,certainement,我一定会来参加你的生日派对。,Je viendrai certainement à ta fête d'anniversaire.
一共,en tout,这些书一共多少钱？,Combien coûtent ces livres en tout ?
一会儿,un moment,请等一会儿。,"Attendez un moment, s'il vous plaît."
以后,après,以后我想成为老师。,"Plus tard, je veux devenir professeur."
以前,avant,他以前住在巴黎。,"Avant, il habitait à Paris."
椅子,chaise,这把椅子很舒服。,Cette chaise est très confortable.
一般,général,他的法语水平一般。,Son niveau de français est moyen.
一起,ensemble,我们一起去吃饭吧。,Allons manger ensemble.
一直,toujours,他一直很喜欢运动。,Il a toujours aimé le sport.
意思,sens,这个词的意思是什么？,Quel est le sens de ce mot ?
阴,nuageux,今天天气很阴。,"Aujourd'hui, le temps est nuageux."
影响,influence,这件事会影响你的学习。,Cela va influencer tes études.
用,utiliser,我们用中文说话。,Nous parlons en chinois.
游泳,nager,我每周去游泳两次,Je nage deux fois par semaine
有,avoir/il y a,我有一本新书,J'ai un nouveau livre
有名,célèbre,这家餐厅很有名,Ce restaurant est très célèbre
又,encore/de nouveau,他又迟到了,Il est encore en retard
遇到,rencontrer,我在街上遇到了我的老师,J'ai rencontré mon professeur dans la rue
元,yuan,这本书二十元,Ce livre coûte vingt yuans
愿意,vouloir/être prêt à,我愿意帮助你,Je veux t'aider
月,mois/lune,一年有十二个月,Il y a douze mois dans une année
月亮,lune,今晚的月亮很圆,La lune est très ronde ce soir
越,de plus en plus,他跑得越来越快,Il court de plus en plus vite
云,dire,古人云：知识就是力量,Les anciens disent : le savoir est la force
在,être à/dans,他在学校,Il est à l'école
再,encore/de nouveau,请再说一遍,"Répétez encore une fois, s'il vous plaît"
早上,matin,早上好！,Bonjour !
怎么,comment/pourquoi,你怎么去学校？,Comment vas-tu à l'école ?
站,station/se tenir debout,请在这里站一下。,Veuillez vous tenir debout ici.
丈夫,mari,我的丈夫在医院工作。,Mon mari travaille à l'hôpital.
着急,s'inquiéter,别着急，我们会找到解决办法。,"Ne t'inquiète pas, nous trouverons une solution."
找,chercher,我在找我的钥匙。,Je cherche mes clés.
照片,photo,这是我家人的照片。,C'est une photo de ma famille.
照相机,appareil photo,我买了一个新的照相机。,J'ai acheté un nouvel appareil photo.
着,en train de,他穿着蓝色衬衫。,Il porte une chemise bleue.
真,vraiment,这个故事真有趣。,Cette histoire est vraiment intéressante.
正在,en train de,她正在做作业。,Elle est en train de faire ses devoirs.
知道,savoir,我知道他住在哪里。,Je sais où il habite.
只,seulement,我只有一本书。,J'ai seulement un livre.
中国,Chine,我想去中国旅游。,Je veux voyager en Chine.
中午,midi,中午我们一起吃饭吧。,Mangeons ensemble à midi.
种,type/planter,这种花很漂亮。,Ce type de fleur est très beau.
重要,important,这是一个重要的决定。,C'est une décision importante.
周末,le week-end,我周末去公园.,Je vais au parc le week-end.
主要,principal,这是主要的问题.,C'est le problème principal.
住,habiter,我住在巴黎.,J'habite à Paris.
祝,souhaiter,祝你生日快乐!,Je te souhaite un joyeux anniversaire!
注意,faire attention,请注意安全.,Faites attention à la sécurité.
桌子,la table,书在桌子上.,Le livre est sur la table.
字,caractère,这个字很难写.,Ce caractère est difficile à écrire.
字典,le dictionnaire,我需要买一本字典.,J'ai besoin d'acheter un dictionnaire.
自己,soi-même,我自己做饭.,Je cuisine moi-même.
走,marcher,我们一起走吧.,Marchons ensemble.
最,le plus,这是最好的.,C'est le meilleur.
最近,récemment,最近天气很好.,Le temps est bon récemment.
昨天,hier,昨天我去了商店.,"Hier, je suis allé au magasin."
坐,s'asseoir,请坐在这里.,"Asseyez-vous ici, s'il vous plaît."
做,faire,我在做作业.,Je fais mes devoirs.
作用,"effet, fonction, rôle",太阳光对植物的生长有重要作用。,La lumière du soleil a un effet important sur la croissance des plantes.
