chinese_word,french_translation,chinese_sentence,french_sentence
故事,histoire,妈妈给我讲了一个有趣的故事。,Maman m'a raconté une histoire intéressante.
故意,intentionnellement,他不是故意打破杯子的。,Il n'a pas cassé le verre intentionnellement.
挂,accrocher,请把照片挂在墙上。,"S'il vous plaît, accrochez la photo au mur."
关,fermer,请关门。,Fermez la porte s'il vous plaît.
关系,relation,我们的关系很好。,Notre relation est très bonne.
关心,se soucier,她很关心她的孩子。,Elle se soucie beaucoup de son enfant.
关于,à propos de,这本书是关于中国历史的。,Ce livre est à propos de l'histoire chinoise.
管理,gérer,他管理这家公司。,Il gère cette entreprise.
光,lumière,房间里的光很亮。,La lumière dans la pièce est très claire.
广播,radio,我每天早上听广播。,J'écoute la radio tous les matins.
广告,publicité,电视上有很多广告。,Il y a beaucoup de publicités à la télévision.
逛,se promener,周末我喜欢逛街。,J'aime me promener dans les rues le weekend.
国家,pays,中国是一个大国家。,La Chine est un grand pays.
果然,en effet,他果然来了。,"En effet, il est venu."
果汁,jus de fruit,我想喝杯果汁。,Je voudrais un verre de jus de fruit.
孩子,enfant,这个孩子很可爱。,Cet enfant est très mignon.
海洋,océan,太平洋是最大的海洋。,L'océan Pacifique est le plus grand océan.
害怕,avoir peur,我害怕一个人住在这里。,J'ai peur de vivre ici tout seul.
害羞,timide,她是一个很害羞的女孩。,C'est une fille très timide.
寒假,vacances d'hiver,寒假我要回家看父母。,Je vais rentrer voir mes parents pendant les vacances d'hiver.
汗,sueur,运动后我出了很多汗。,J'ai beaucoup transpiré après le sport.
航班,vol,我的航班明天早上八点起飞。,Mon vol décolle demain matin à huit heures.
好,bon,这个电影很好看。,Ce film est très bon.
好吃,délicieux,这家餐厅的菜很好吃。,La nourriture dans ce restaurant est délicieuse.
好像,on dirait que,好像要下雨了。,On dirait qu'il va pleuvoir.
号,numéro,今天是三月五号。,Aujourd'hui c'est le cinq mars.
喝,boire,我想喝一杯咖啡。,Je veux boire une tasse de café.
和,et,我和我的朋友去商店。,Mon ami et moi allons au magasin.
河,rivière,这条河很长。,Cette rivière est très longue.
合格,qualifié,他的考试成绩合格了。,Il a obtenu une note satisfaisante à son examen.
合适,convenable,这件衣服很合适你。,Ce vêtement te va très bien.
盒子,boîte,请把礼物放在盒子里。,"S'il te plaît, mets le cadeau dans la boîte."
黑,noir,这辆车是黑色的,Cette voiture est noire
黑板,tableau noir,老师在黑板上写字,Le professeur écrit sur le tableau noir
很,très,这个蛋糕很好吃,Ce gâteau est très bon
猴子,singe,猴子在树上跳来跳去,Le singe saute d'arbre en arbre
厚,épais,这本书很厚,Ce livre est très épais
后悔,regretter,我后悔没听你的话,Je regrette de ne pas t'avoir écouté
后来,plus tard,后来我们成了好朋友,"Plus tard, nous sommes devenus bons amis"
后面,derrière,我的房间在后面,Ma chambre est derrière
忽然,soudainement,他忽然站了起来,Il s'est levé soudainement
互相,mutuellement,我们要互相帮助,Nous devons nous aider mutuellement
花,fleur,她在花园里种花,Elle plante des fleurs dans le jardin
花园,jardin,这个花园很漂亮,Ce jardin est très beau
画,dessiner,她喜欢画画,Elle aime dessiner
坏,mauvais,这个手机坏了,Ce téléphone est cassé
黄,jaune,这朵花是黄色的,Cette fleur est jaune
回,retourner,他已经回家了,Il est déjà rentré à la maison
回答,répondre,请回答我的问题,"S'il vous plaît, répondez à ma question"
会,pouvoir,我会说法语,Je peux parler français
火,feu,房子着火了,La maison est en feu
或者,ou,你要咖啡或者茶？,Tu veux du café ou du thé ?
机会,opportunité,这是一个好机会,C'est une bonne opportunité
几乎,presque,我几乎每天都运动,Je fais presque du sport tous les jours
极,extrême,这是极重要的事,C'est une affaire d'extrême importance
极其,extrêmement,这个电影极其有趣,Ce film est extrêmement intéressant
集合,rassemblement,学生们在操场上集合,Les étudiants se rassemblent sur le terrain
即使,même si,即使下雨我也要去,J'irai même s'il pleut
几,combien,你有几本书？,Combien de livres as-tu ?
寄,envoyer,我要寄一封信,Je vais envoyer une lettre
既然,puisque,既然你来了，就坐下吧,"Puisque tu es là, assieds-toi"
家,maison,我的家在北京,Ma maison est à Pékin
家具,meubles,我们需要买新的家具。,Nous avons besoin d'acheter de nouveaux meubles.
加班,faire des heures supplémentaires,今天我要加班到很晚。,Aujourd'hui je dois faire des heures supplémentaires jusqu'à tard.
加油站,station-service,前面有一个加油站。,Il y a une station-service devant.
假,faux,这个手表是假的。,Cette montre est fausse.
价格,prix,这个商品的价格很合理。,Le prix de ce produit est raisonnable.
减肥,maigrir,她正在努力减肥。,Elle essaie de maigrir.
减少,réduire,我们必须减少垃圾。,Nous devons réduire nos déchets.
件,pièce,我买了三件衣服。,J'ai acheté trois pièces de vêtements.
健康,santé,保持健康很重要。,Il est important de rester en bonne santé.
将来,avenir,将来我想当医生。,"À l'avenir, je veux devenir médecin."
降低,baisser,公司决定降低价格。,L'entreprise a décidé de baisser les prix.
教,enseigner,她在大学教法语。,Elle enseigne le français à l'université.
交,remettre,请把作业交给老师。,Veuillez remettre le devoir au professeur.
交流,échanger,我们需要多交流。,Nous devons échanger davantage.
交通,circulation,这里的交通很方便。,La circulation est très pratique ici.
角,angle/coin/corne,这个房间的角有点脏。,Le coin de cette pièce est un peu sale.
脚,pied/jambe,我的脚很疼。,Mon pied me fait mal.
叫,appeler/crier,我叫Marie。,Je m'appelle Marie.
教室,salle de classe,教室里有很多学生。,Il y a beaucoup d'élèves dans la salle de classe.
教授,professeur,他是物理教授。,Il est professeur de physique.
教育,éducation,教育对孩子很重要。,L'éducation est très importante pour les enfants.
接,recevoir/prendre,请接电话。,"S'il vous plaît, répondez au téléphone."
接受,accepter,我接受你的建议。,J'accepte ton conseil.
街道,rue,这条街道很安静。,Cette rue est très calme.
姐姐,sœur aînée,我的姐姐在北京工作。,Ma sœur aînée travaille à Pékin.
解决,résoudre,我们需要解决这个问题。,Nous devons résoudre ce problème.
借,emprunter/prêter,我想借一本书。,Je voudrais emprunter un livre.
今天,aujourd'hui,今天天气很好。,Il fait beau aujourd'hui.
尽管,bien que/malgré,尽管下雨，他还是去了。,"Bien qu'il pleuve, il y est allé."
近,proche,我家离学校很近。,Ma maison est proche de l'école.
禁止,interdire,这里禁止吸烟。,Il est interdit de fumer ici.
精彩,brillant/magnifique,这个电影很精彩。,Ce film est magnifique.
精神,esprit/mental,他今天的精神很好。,Il a le moral très bon aujourd'hui.
警察,policier,警察在帮助人们。,Le policier aide les gens.
竟然,étonnamment,他竟然没来上课。,"Étonnamment, il n'est pas venu en cours."
究竟,finalement/au fond,你究竟想要什么？,Que veux-tu au fond ?
九,neuf,我有九本书。,J'ai neuf livres.
久,longtemps,我们很久没见面了。,Nous ne nous sommes pas vus depuis longtemps.
旧,vieux/ancien,这是我的旧手机。,C'est mon ancien téléphone.
就,tout de suite,我就来。,J'arrive tout de suite.
距离,distance,学校距离这里很近。,L'école est à courte distance d'ici.
句子,phrase,这个句子很简单。,Cette phrase est très simple.
决定,décider,我决定明天去北京。,J'ai décidé d'aller à Pékin demain.
咖啡,café,我每天早上喝咖啡。,Je bois du café tous les matins.
开,ouvrir,请开门。,Veuillez ouvrir la porte.
开始,commencer,我们什么时候开始上课？,Quand commençons-nous le cours ?
开玩笑,plaisanter,他只是在开玩笑，别当真。,"Il plaisante seulement, ne le prends pas au sérieux."
看,regarder/voir,我正在看一本有趣的书。,Je suis en train de lire un livre intéressant.
看法,opinion/point de vue,我同意你的看法。,Je suis d'accord avec ton point de vue.
棵,classifier,院子里有三棵树。,Il y a trois arbres dans la cour.
科学,science,我的儿子很喜欢学习科学。,Mon fils aime beaucoup étudier les sciences.
咳嗽,tousser,他感冒了，一直在咳嗽。,Il est enrhumé et ne cesse de tousser.
渴,avoir soif,我跑步后很渴。,J'ai très soif après avoir couru.
可怜,pitoyable,那只小猫看起来很可怜。,Ce petit chat a l'air pitoyable.
可能,possible/peut-être,明天可能会下雨。,Il va peut-être pleuvoir demain.
可是,mais,我想去，可是没有时间。,"Je veux y aller, mais je n'ai pas le temps."
可惜,dommage,真可惜你不能来参加派对。,C'est dommage que tu ne puisses pas venir à la fête.
可以,pouvoir,我们可以明天见面吗？,Pouvons-nous nous voir demain ?
刻,quart d'heure,现在是三点一刻。,Il est trois heures et quart.
客人,invité/client,我们家有客人来访。,Nous avons des invités à la maison.
肯定,"certain, sûr",我肯定会按时完成作业,Je vais certainement finir mes devoirs à temps
空气,l'air,今天的空气很新鲜,L'air est très frais aujourd'hui
恐怕,"je crains que, peut-être",恐怕我明天不能去,Je crains que je ne puisse pas venir demain
口,bouche,这个房间里有五口人,Il y a cinq personnes dans cette pièce
哭,pleurer,小孩子突然哭了起来,L'enfant s'est soudainement mis à pleurer
苦,"amer, pénible",这个咖啡太苦了,Ce café est trop amer
快,"rapide, vite",你要快点，要迟到了,"Dépêche-toi, tu vas être en retard"
筷子,baguettes,请给我一双筷子,Donnez-moi une paire de baguettes s'il vous plaît
困,"fatigué, piégé",我今天很困,Je suis très fatigué aujourd'hui
拉,tirer,请拉开窗帘,Tirez les rideaux s'il vous plaît
垃圾桶,poubelle,把纸扔进垃圾桶,Jette le papier dans la poubelle
辣,"épicé, piquant",这个菜很辣,Ce plat est très épicé
来,venir,他明天来北京,Il vient à Pékin demain
来不及,ne pas avoir le temps,我来不及吃早饭,Je n'ai pas le temps de prendre le petit déjeuner
来得及,avoir le temps,我们来得及赶火车,Nous avons le temps d'attraper le train
浪漫,romantique,这家餐厅很浪漫,Ce restaurant est très romantique
老,vieux,老王是我的邻居,Le vieux Wang est mon voisin
老虎,tigre,动物园里有一只老虎,Il y a un tigre dans le zoo
了,particule verbale,我吃了早饭,J'ai pris mon petit déjeuner
累,fatigué,工作后我很累,Je suis fatigué après le travail
冷,froid,今天天气很冷,Il fait très froid aujourd'hui
冷静,calme,请保持冷静,"Restez calme, s'il vous plaît"
离,quitter,我家离学校很近,Ma maison est proche de l'école
离开,partir,他明天离开北京,Il part de Pékin demain
里,dans,书在包里,Le livre est dans le sac
理解,comprendre,我完全理解你,Je te comprends parfaitement
理想,idéal,这是我的理想工作,C'est mon travail idéal
礼貌,politesse,他很有礼貌,Il est très poli
礼物,cadeau,这是给你的礼物,C'est un cadeau pour toi
厉害,formidable,你真厉害,Tu es vraiment formidable
力气,force,他的力气很大，可以搬动这个箱子。,"Il a beaucoup de force, il peut déplacer cette boîte."
例如,par exemple,很多水果都有维生素C，例如橙子和柠檬。,"Beaucoup de fruits contiennent de la vitamine C, par exemple les oranges et les citrons."
凉快,frais,夏天晚上很凉快，适合散步。,"Les soirées d'été sont fraîches, idéales pour se promener."
两,deux,我买了两本书。,J'ai acheté deux livres.
亮,lumineux,今天天气很好，太阳很亮。,"Il fait beau aujourd'hui, le soleil est lumineux."
聊天,bavarder,朋友们喜欢一起喝咖啡聊天。,Les amis aiment boire du café et bavarder ensemble.
了解,comprendre,我完全了解你的想法。,Je comprends parfaitement ce que tu penses.
零,zéro,温度降到零度以下了。,La température est descendue en dessous de zéro.
另外,en plus,我要一杯咖啡，另外再来一块蛋糕。,"Je voudrais un café et, en plus, un morceau de gâteau."
留,laisser,请留下你的电话号码。,"S'il vous plaît, laissez votre numéro de téléphone."
留学,étudier à l'étranger,他去法国留学了。,Il est parti étudier en France.
流泪,pleurer,这个电影太感人了，她看着看着就流泪了。,Le film était si émouvant qu'elle s'est mise à pleurer.
流利,couramment,她说法语说得很流利。,Elle parle français couramment.
流行,être à la mode,这种发型现在很流行。,Cette coiffure est très à la mode maintenant.
六,six,我有六个好朋友。,J'ai six bons amis.
楼,immeuble,我住在三楼。,J'habite au troisième étage.
路,route,这条路通向公园。,Cette route mène au parc.
乱,désordonné,房间很乱。,La chambre est en désordre.
旅游,voyager,我喜欢去中国旅游。,J'aime voyager en Chine.
慢,lent,他走路很慢。,Il marche très lentement.
忙,occupé,我今天很忙。,Je suis très occupé aujourd'hui.
猫,chat,我家有一只黑猫。,J'ai un chat noir à la maison.
毛巾,serviette,请给我一条毛巾。,"Donnez-moi une serviette, s'il vous plaît."
帽子,chapeau,她戴着红帽子。,Elle porte un chapeau rouge.
没,ne pas avoir,我没有时间。,Je n'ai pas le temps.
没关系,ce n'est pas grave,你迟到了，没关系。,"Tu es en retard, ce n'est pas grave."
每,chaque,每天我都喝咖啡。,Je bois du café chaque jour.
妹妹,petite sœur,我妹妹在学校。,Ma petite sœur est à l'école.
门,porte,请关上门。,"Ferme la porte, s'il te plaît."
梦,rêve,我做了一个好梦。,J'ai fait un beau rêve.
米,riz/mètre,我需要买一公斤米,J'ai besoin d'acheter un kilo de riz
面包,pain,每天早上我都吃面包,Je mange du pain tous les matins
面条,nouilles,这家餐馆的面条很好吃,Les nouilles de ce restaurant sont délicieuses
民族,nationalité/ethnie,中国有五十六个民族,La Chine compte cinquante-six ethnies
明白,comprendre/clair,现在我明白了,Maintenant je comprends
明天,demain,明天我要去上班,Demain je vais travailler
名字,nom,你的名字是什么？,Comment t'appelles-tu ?
目的,but/objectif,我的目的是学好法语,Mon but est d'apprendre bien le français
拿,prendre/tenir,请拿着这本书,"S'il te plaît, prends ce livre"
哪,quel/lequel,你喜欢哪个？,Lequel préfères-tu ?
哪儿,où,你的手机在哪儿？,Où est ton téléphone portable ?
那,ce/cela/celui-là,那是我的书,C'est mon livre
那儿,là-bas,我的包在那儿,Mon sac est là-bas
奶奶,grand-mère,我的奶奶住在北京,Ma grand-mère habite à Pékin
耐心,patient/patience,学习语言要有耐心,Il faut être patient pour apprendre une langue
南,sud,我家在南边。,Ma maison est au sud.
男人,homme,那个男人是我的老师。,Cet homme est mon professeur.
呢,et,你呢，你觉得怎么样？,"Et toi, qu'en penses-tu ?"
内,intérieur,请进到里内。,Veuillez entrer à l'intérieur.
内容,contenu,这本书的内容很有趣。,Le contenu de ce livre est très intéressant.
能,pouvoir,我能说法语。,Je peux parler français.
能力,capacité,他有很强的学习能力。,Il a une grande capacité d'apprentissage.
你,tu,你今天好吗？,Comment vas-tu aujourd'hui ?
年,année,今年是2024年。,"Cette année, c'est 2024."
您,vous,您好，请坐。,"Bonjour, veuillez vous asseoir."
牛奶,lait,我每天早上喝牛奶。,Je bois du lait tous les matins.
弄,faire,我不知道怎么弄。,Je ne sais pas comment faire.
努力,effort,他很努力地学习。,Il étudie avec beaucoup d'effort.
暖和,chaud,今天天气很暖和。,Il fait bien chaud aujourd'hui.
女儿,fille,我的女儿今年五岁。,Ma fille a cinq ans cette année.
女人,femme,这个女人很优雅,Cette femme est très élégante
偶尔,parfois,我偶尔去看电影,Je vais parfois au cinéma
爬山,faire de la randonnée,周末我喜欢爬山,J'aime faire de la randonnée le week-end
排列,arrangement,请把这些书排列整齐,Veuillez arranger ces livres en ordre
判断,juger,很难判断他说的是不是真的,Il est difficile de juger s'il dit la vérité
胖,gros,我的猫很胖,Mon chat est gros
跑步,courir,每天早上我去跑步,Je vais courir tous les matins
陪,accompagner,我陪你去医院,Je t'accompagne à l'hôpital
朋友,ami,他是我最好的朋友,Il est mon meilleur ami
皮肤,peau,她的皮肤很好,Elle a une belle peau
啤酒,bière,他喜欢喝啤酒,Il aime boire de la bière
脾气,caractère,她的脾气很好,Elle a un bon caractère
便宜,bon marché,这件衣服很便宜,Ce vêtement est bon marché
票,billet,我买了两张电影票,J'ai acheté deux billets de cinéma
漂亮,beau/belle,这朵花很漂亮,Cette fleur est belle
苹果,pomme,这个苹果很甜,Cette pomme est très sucrée
瓶子,bouteille,请把空瓶子放在这里,"S'il vous plaît, mettez la bouteille vide ici"
破,cassé,我的手机屏幕破了,L'écran de mon téléphone est cassé
葡萄,raisin,我喜欢吃新鲜葡萄,J'aime manger des raisins frais
