chinese_word,french_translation,chinese_sentence,french_sentence
名字,nom,你的名字是什么？,Quel est ton nom ?
哪,quel,你喜欢哪个颜色？,Quelle couleur préfères-tu ?
哪儿,où,你的书在哪儿？,Où est ton livre ?
那,"ce, cela",那是我的房子,C'est ma maison
那儿,là-bas,我的车在那儿,Ma voiture est là-bas
男人,homme,那个男人是我的老师,Cet homme est mon professeur
呢,et,你呢？,Et toi ?
能,pouvoir,我能说法语,Je peux parler français
你,"tu, toi",你好吗？,Comment vas-tu ?
年,année,今年是二零二四年,Cette année est 2024
您,vous,请问您贵姓？,Comment vous appelez-vous ?
牛奶,lait,我每天早上喝牛奶。,Je bois du lait tous les matins.
女儿,fille,我的女儿今年六岁。,Ma fille a six ans cette année.
女人,femme,那个女人是我的老师。,Cette femme est mon professeur.
跑步,courir,我每天早上去公园跑步。,Je vais courir au parc chaque matin.
朋友,ami(e),他是我最好的朋友。,C'est mon meilleur ami.
便宜,pas cher,这件衣服很便宜。,Ce vêtement est très bon marché.
票,billet,我需要买两张电影票。,J'ai besoin d'acheter deux billets de cinéma.
漂亮,joli(e),这朵花真漂亮。,Cette fleur est vraiment jolie.
苹果,pomme,我喜欢吃红苹果。,J'aime manger les pommes rouges.
七,sept,我家在七楼。,J'habite au septième étage.
妻子,épouse,我的妻子是医生。,Mon épouse est médecin.
起床,se lever,我每天七点起床。,Je me lève à sept heures tous les jours.
千,mille,这本书要一千元。,Ce livre coûte mille yuans.
前面,devant,超市就在前面。,Le supermarché est juste devant.
晴,ensoleillé,今天天气很晴朗。,"Aujourd'hui, le temps est ensoleillé."
去,aller,我们去公园吧。,Allons au parc.
去年,l'année dernière,去年我在巴黎学习。,"L'année dernière, j'étudiais à Paris."
人,personne,这个房间里有三个人。,Il y a trois personnes dans cette pièce.
日,jour/soleil,今日天气很好。,Le temps est beau aujourd'hui.
三,trois,我有三本书。,J'ai trois livres.
商店,magasin,这个商店九点开门。,Ce magasin ouvre à neuf heures.
上,sur/dessus,猫在桌子上。,Le chat est sur la table.
上班,aller au travail,我每天八点上班。,Je vais au travail à huit heures tous les jours.
上午,matin,上午我去购物。,"Le matin, je vais faire des courses."
少,peu,这里的人很少。,Il y a peu de monde ici.
身体,corps/santé,你的身体好吗？,Comment va ta santé ?
什么,quoi/que,你想吃什么？,Que veux-tu manger ?
生病,tomber malade,他昨天生病了。,Il est tombé malade hier.
生日,anniversaire,明天是我的生日。,"Demain, c'est mon anniversaire."
十,dix,我有十个苹果,J'ai dix pommes
是,être,他是我的朋友,Il est mon ami
事情,chose/affaire,这是一件重要的事情,C'est une chose importante
手表,montre,我买了一个新手表,J'ai acheté une nouvelle montre
手机,téléphone portable,我的手机在桌子上,Mon téléphone portable est sur la table
水,eau,我想喝水,Je veux boire de l'eau
水果,fruit,我喜欢吃水果,J'aime manger des fruits
四,quatre,我有四本书,J'ai quatre livres
送,donner/offrir,我要送礼物给他,Je veux lui offrir un cadeau
所以,donc/alors,下雨了，所以我带伞,"Il pleut, donc je prends un parapluie"
他,il,他在学校,Il est à l'école
她,elle,她很漂亮,Elle est belle
它,il/elle (pour objets),它是一只猫,C'est un chat
太,trop,这个太贵了,C'est trop cher
踢足球,jouer au football,我们周末踢足球,Nous jouons au football le weekend
天气,le temps,今天天气很好,Il fait beau aujourd'hui
跳舞,danser,她喜欢跳舞,Elle aime danser
听,écouter,我喜欢听音乐,J'aime écouter de la musique
同学,camarade de classe,他是我的同学,Il est mon camarade de classe
外,dehors,他在外面等你,Il t'attend dehors
完,finir,我做完作业了,J'ai fini mes devoirs
玩,jouer,孩子们在公园玩,Les enfants jouent dans le parc
晚上,soir,晚上我们去看电影,"Le soir, nous allons voir un film"
喂,allô,喂，你好吗？,"Allô, comment vas-tu ?"
我,je/moi,我是学生,Je suis étudiant
五,cinq,我有五本书,J'ai cinq livres
西瓜,pastèque,夏天我爱吃西瓜,"En été, j'aime manger de la pastèque"
希望,espérer,我希望明天会下雨,J'espère qu'il pleuvra demain
洗,laver,我要洗衣服,Je vais laver les vêtements
下,descendre/bas,下个星期见,À la semaine prochaine
下午,après-midi,我下午去图书馆,Je vais à la bibliothèque cet après-midi
下雨,pleuvoir,今天下雨了,Il pleut aujourd'hui
先生,monsieur,王先生是我的老师,Monsieur Wang est mon professeur
想,penser/vouloir,我想去中国,Je veux aller en Chine
向,vers,他向学校走去,Il marche vers l'école
小,petit,这是一个小房子,C'est une petite maison
小姐,mademoiselle,李小姐在商店工作,Mademoiselle Li travaille au magasin
笑,rire/sourire,她总是在笑,Elle sourit toujours
些,quelques,我买了些水果,J'ai acheté quelques fruits
写,écrire,我在写信,J'écris une lettre
新,nouveau,这是一本新书,C'est un nouveau livre
星期,semaine,一星期有七天,Une semaine a sept jours
姓,nom de famille,我姓王,Mon nom de famille est Wang
休息,se reposer,周末我要休息,Je vais me reposer ce week-end
学生,étudiant,他是大学学生,Il est étudiant à l'université
学校,école,我的学校很大,Mon école est grande
雪,neige,今天下雪了,Il neige aujourd'hui
眼睛,yeux,她的眼睛很漂亮,Ses yeux sont beaux
羊肉,mouton,这个羊肉很好吃,Ce mouton est délicieux
要,vouloir,我要去商店,Je veux aller au magasin
也,aussi,我也喜欢咖啡,J'aime aussi le café
一,un/une,我有一本书,J'ai un livre
衣服,vêtements,这件衣服很漂亮,Ce vêtement est très joli
医生,médecin,他是一个好医生,Il est un bon médecin
医院,hôpital,医院在那里,L'hôpital est là-bas
一起,ensemble,我们一起去吃饭,Allons manger ensemble
意思,sens/signification,这个字的意思是什么,Quel est le sens de ce mot
阴,nuageux,今天天气很阴,Le temps est nuageux aujourd'hui
在,être à/dans,我在家,Je suis à la maison
游泳,nager,我喜欢游泳,J'aime nager
有,avoir,我有一本书,J'ai un livre
元,yuan,这本书是十元,Ce livre coûte dix yuans
月,mois/lune,我的生日是三月,Mon anniversaire est en mars
再,encore/de nouveau,请再说一遍,Répète encore une fois s'il te plaît
早上,matin,早上好！,Bonjour !
怎么,comment/pourquoi,你怎么去学校？,Comment vas-tu à l'école ?
丈夫,mari,我的丈夫是医生,Mon mari est médecin
找,chercher,我在找我的钥匙,Je cherche mes clés
着,en train de,他正在看着电视,Il est en train de regarder la télévision
真,vraiment/vrai,这真好吃,C'est vraiment délicieux
正在,en train de,我正在学习法语,Je suis en train d'étudier le français
知道,savoir,我知道答案,Je connais la réponse
中国,Chine,我来自中国,Je viens de Chine
中午,midi,中午我去吃饭,Je vais déjeuner à midi
住,habiter,我住在巴黎,J'habite à Paris
桌子,table,这张桌子很漂亮。,Cette table est belle.
字,caractère,我正在学习中文字。,J'apprends les caractères chinois.
走,marcher,我们一起走去公园吧。,Marchons ensemble jusqu'au parc.
最,le plus,这是最好的餐厅。,C'est le meilleur restaurant.
昨天,hier,昨天我去了图书馆。,"Hier, je suis allé à la bibliothèque."
坐,s'asseoir,请坐在这里。,Veuillez vous asseoir ici.
做,faire,我要做我的作业。,Je vais faire mes devoirs.
